.HEADER
..NAMES
Time,V U2.F7
.DATA
0.0e+00,1.1999
9.6e-12,1.1999
1.93e-11,1.1999
2.89e-11,1.1999
3.86e-11,1.1999
4.82e-11,1.1999
5.79e-11,1.1999
6.75e-11,1.1999
7.72e-11,1.1999
8.68e-11,1.1999
9.65e-11,1.1999
1.061e-10,1.1999
1.157e-10,1.1999
1.254e-10,1.1999
1.350e-10,1.1999
1.447e-10,1.1999
1.543e-10,1.1999
1.640e-10,1.1968
1.736e-10,1.1743
1.833e-10,1.1386
1.929e-10,1.0832
2.025e-10,1.0060
2.122e-10,0.9260
2.218e-10,0.8505
2.315e-10,0.7693
2.411e-10,0.6866
2.508e-10,0.6080
2.604e-10,0.5270
2.701e-10,0.4512
2.797e-10,0.3893
2.893e-10,0.3391
2.990e-10,0.3055
3.086e-10,0.2902
3.183e-10,0.2835
3.279e-10,0.2824
3.376e-10,0.2889
3.472e-10,0.3010
3.569e-10,0.3211
3.665e-10,0.3499
3.762e-10,0.3729
3.858e-10,0.3864
3.954e-10,0.3978
4.051e-10,0.4067
4.147e-10,0.4162
4.244e-10,0.4287
4.340e-10,0.4380
4.437e-10,0.4428
4.533e-10,0.4471
4.630e-10,0.4507
4.726e-10,0.4557
4.823e-10,0.4654
4.919e-10,0.4754
5.015e-10,0.4832
5.112e-10,0.4888
5.208e-10,0.4887
5.305e-10,0.4827
5.401e-10,0.4744
5.498e-10,0.4634
5.594e-10,0.4502
5.691e-10,0.4382
5.787e-10,0.4285
5.883e-10,0.4241
5.980e-10,0.4293
6.076e-10,0.4423
6.173e-10,0.4603
6.269e-10,0.4834
6.366e-10,0.5081
6.462e-10,0.5312
6.559e-10,0.5524
6.655e-10,0.5681
6.751e-10,0.5739
6.848e-10,0.5683
6.944e-10,0.5498
7.041e-10,0.5183
7.137e-10,0.4774
7.234e-10,0.4296
7.330e-10,0.3758
7.427e-10,0.3170
7.523e-10,0.2533
7.620e-10,0.1864
7.716e-10,0.1216
7.812e-10,0.0786
7.909e-10,0.0522
8.005e-10,0.0432
8.102e-10,0.0472
8.198e-10,0.0591
8.295e-10,0.0814
8.391e-10,0.1228
8.488e-10,0.1774
8.584e-10,0.2402
8.681e-10,0.3046
8.777e-10,0.3585
8.873e-10,0.3999
