.HEADER
..NAMES
Time,V U2.H8
.DATA
0.0e+00,0.0022
9.6e-12,0.0022
1.93e-11,0.0022
2.89e-11,0.0022
3.86e-11,0.0022
4.82e-11,0.0022
5.79e-11,0.0022
6.75e-11,0.0022
7.72e-11,0.0022
8.68e-11,0.0022
9.65e-11,0.0022
1.061e-10,0.0022
1.157e-10,0.0022
1.254e-10,0.0022
1.350e-10,0.0022
1.447e-10,0.0022
1.543e-10,-0.0006
1.640e-10,-0.0019
1.736e-10,0.0099
1.833e-10,0.0349
1.929e-10,0.0650
2.025e-10,0.0986
2.122e-10,0.1370
2.218e-10,0.1810
2.315e-10,0.2332
2.411e-10,0.2872
2.508e-10,0.3380
2.604e-10,0.3870
2.701e-10,0.4288
2.797e-10,0.4602
2.893e-10,0.4852
2.990e-10,0.5067
3.086e-10,0.5266
3.183e-10,0.5475
3.279e-10,0.5679
3.376e-10,0.5863
3.472e-10,0.6020
3.569e-10,0.6109
3.665e-10,0.6124
3.762e-10,0.6109
3.858e-10,0.6090
3.954e-10,0.6091
4.051e-10,0.6127
4.147e-10,0.6184
4.244e-10,0.6243
4.340e-10,0.6289
4.437e-10,0.6290
4.533e-10,0.6243
4.630e-10,0.6183
4.726e-10,0.6130
4.823e-10,0.6089
4.919e-10,0.6067
5.015e-10,0.6058
5.112e-10,0.6040
5.208e-10,0.5992
5.305e-10,0.5912
5.401e-10,0.5831
5.498e-10,0.5775
5.594e-10,0.5744
5.691e-10,0.5733
5.787e-10,0.5741
5.883e-10,0.5761
5.980e-10,0.5769
6.076e-10,0.5745
6.173e-10,0.5686
6.269e-10,0.5602
6.366e-10,0.5508
6.462e-10,0.5420
6.559e-10,0.5361
6.655e-10,0.5343
6.751e-10,0.5354
6.848e-10,0.5376
6.944e-10,0.5414
7.041e-10,0.5489
7.137e-10,0.5619
7.234e-10,0.5814
7.330e-10,0.6076
7.427e-10,0.6398
7.523e-10,0.6765
7.620e-10,0.7160
7.716e-10,0.7565
7.812e-10,0.7945
7.909e-10,0.8081
8.005e-10,0.7944
8.102e-10,0.7649
8.198e-10,0.7146
8.295e-10,0.6505
8.391e-10,0.5976
8.488e-10,0.5585
8.584e-10,0.5321
8.681e-10,0.5159
8.777e-10,0.4928
8.873e-10,0.4609
8.970e-10,0.4247
9.066e-10,0.3773
9.163e-10,0.3275
9.259e-10,0.2929
9.356e-10,0.2746
9.452e-10,0.2706
9.549e-10,0.2785
9.645e-10,0.2892
9.741e-10,0.3011
9.838e-10,0.3155
9.934e-10,0.3279
1.0031e-09,0.3350
1.0127e-09,0.3419
1.0224e-09,0.3509
1.0320e-09,0.3641
1.0417e-09,0.3835
1.0513e-09,0.4033
1.0609e-09,0.4217
1.0706e-09,0.4407
1.0802e-09,0.4574
1.0899e-09,0.4713
1.0995e-09,0.4865
1.1092e-09,0.5015
1.1188e-09,0.5131
1.1285e-09,0.5223
1.1381e-09,0.5288
1.1478e-09,0.5301
1.1574e-09,0.5247
1.1670e-09,0.5133
1.1767e-09,0.4993
1.1863e-09,0.4865
1.1960e-09,0.4763
1.2056e-09,0.4710
1.2153e-09,0.4730
1.2249e-09,0.4799
1.2346e-09,0.4876
1.2442e-09,0.4946
1.2539e-09,0.5009
1.2635e-09,0.5053
1.2731e-09,0.5067
1.2828e-09,0.5040
1.2924e-09,0.4976
1.3021e-09,0.4869
1.3117e-09,0.4694
1.3214e-09,0.4435
1.3310e-09,0.4100
1.3407e-09,0.3691
1.3503e-09,0.3217
1.3599e-09,0.2699
1.3696e-09,0.2161
1.3792e-09,0.1622
1.3889e-09,0.1107
1.3985e-09,0.0656
1.4082e-09,0.0387
1.4178e-09,0.0292
1.4275e-09,0.0383
1.4371e-09,0.0592
1.4468e-09,0.0848
1.4564e-09,0.1163
1.4660e-09,0.1537
1.4757e-09,0.1934
1.4853e-09,0.2362
1.4950e-09,0.2801
1.5046e-09,0.3224
1.5143e-09,0.3631
1.5239e-09,0.3979
1.5336e-09,0.4248
1.5432e-09,0.4468
1.5528e-09,0.4649
1.5625e-09,0.4804
1.5721e-09,0.4973
1.5818e-09,0.5144
1.5914e-09,0.5296
1.6011e-09,0.5406
1.6107e-09,0.5445
1.6204e-09,0.5419
1.6300e-09,0.5362
1.6396e-09,0.5287
1.6493e-09,0.5216
1.6589e-09,0.5171
1.6686e-09,0.5138
1.6782e-09,0.5086
1.6879e-09,0.5003
1.6975e-09,0.4881
1.7072e-09,0.4735
1.7168e-09,0.4591
1.7265e-09,0.4472
1.7361e-09,0.4401
1.7457e-09,0.4387
1.7554e-09,0.4412
1.7650e-09,0.4449
1.7747e-09,0.4489
1.7843e-09,0.4522
1.7940e-09,0.4543
1.8036e-09,0.4546
1.8133e-09,0.4534
1.8229e-09,0.4519
1.8326e-09,0.4501
1.8422e-09,0.4472
1.8518e-09,0.4421
1.8615e-09,0.4346
1.8711e-09,0.4250
1.8808e-09,0.4152
1.8904e-09,0.4080
1.9001e-09,0.4056
1.9097e-09,0.4093
1.9194e-09,0.4184
1.9290e-09,0.4320
1.9386e-09,0.4500
1.9483e-09,0.4729
1.9579e-09,0.5012
1.9676e-09,0.5349
1.9772e-09,0.5734
1.9869e-09,0.6159
1.9965e-09,0.6612
2.0062e-09,0.7075
2.0158e-09,0.7531
2.0255e-09,0.7962
2.0351e-09,0.8257
2.0447e-09,0.8232
2.0544e-09,0.7968
2.0640e-09,0.7539
2.0737e-09,0.6896
2.0833e-09,0.6213
2.0930e-09,0.5677
2.1026e-09,0.5278
2.1123e-09,0.5037
2.1219e-09,0.4856
2.1315e-09,0.4600
2.1412e-09,0.4309
2.1508e-09,0.3950
2.1605e-09,0.3471
2.1701e-09,0.3023
2.1798e-09,0.2732
2.1894e-09,0.2590
2.1991e-09,0.2603
2.2087e-09,0.2719
2.2183e-09,0.2872
2.2280e-09,0.3067
2.2376e-09,0.3273
2.2473e-09,0.3422
2.2569e-09,0.3519
2.2666e-09,0.3617
2.2762e-09,0.3727
2.2859e-09,0.3886
2.2955e-09,0.4085
2.3052e-09,0.4266
2.3148e-09,0.4435
2.3244e-09,0.4583
2.3341e-09,0.4671
2.3437e-09,0.4722
2.3534e-09,0.4771
2.3630e-09,0.4796
2.3727e-09,0.4800
2.3823e-09,0.4809
2.3920e-09,0.4811
2.4016e-09,0.4779
2.4113e-09,0.4698
2.4209e-09,0.4585
2.4305e-09,0.4480
2.4402e-09,0.4407
2.4498e-09,0.4376
2.4595e-09,0.4408
2.4691e-09,0.4509
2.4788e-09,0.4634
2.4884e-09,0.4746
2.4981e-09,0.4836
2.5077e-09,0.4900
2.5173e-09,0.4926
2.5270e-09,0.4906
2.5366e-09,0.4843
2.5463e-09,0.4748
2.5559e-09,0.4609
2.5656e-09,0.4398
2.5752e-09,0.4107
2.5849e-09,0.3742
2.5945e-09,0.3306
2.6042e-09,0.2814
2.6138e-09,0.2293
2.6234e-09,0.1767
2.6331e-09,0.1257
2.6427e-09,0.0784
2.6524e-09,0.0421
2.6620e-09,0.0227
2.6717e-09,0.0210
2.6813e-09,0.0352
2.6910e-09,0.0568
2.7006e-09,0.0825
2.7102e-09,0.1156
2.7199e-09,0.1536
2.7295e-09,0.1950
2.7392e-09,0.2408
2.7488e-09,0.2868
2.7585e-09,0.3321
2.7681e-09,0.3743
2.7778e-09,0.4085
2.7874e-09,0.4351
2.7970e-09,0.4566
2.8067e-09,0.4741
2.8163e-09,0.4899
2.8260e-09,0.5068
2.8356e-09,0.5225
2.8453e-09,0.5346
2.8549e-09,0.5410
2.8646e-09,0.5399
2.8742e-09,0.5340
2.8839e-09,0.5261
2.8935e-09,0.5178
2.9031e-09,0.5117
2.9128e-09,0.5086
2.9224e-09,0.5061
2.9321e-09,0.5015
2.9417e-09,0.4936
2.9514e-09,0.4823
2.9610e-09,0.4697
2.9707e-09,0.4580
2.9803e-09,0.4496
2.9900e-09,0.4462
2.9996e-09,0.4474
3.0092e-09,0.4505
3.0189e-09,0.4535
3.0285e-09,0.4556
3.0382e-09,0.4564
3.0478e-09,0.4560
3.0575e-09,0.4545
3.0671e-09,0.4526
3.0768e-09,0.4512
3.0864e-09,0.4500
3.0960e-09,0.4474
3.1057e-09,0.4424
3.1153e-09,0.4349
3.1250e-09,0.4256
3.1346e-09,0.4168
3.1443e-09,0.4112
3.1539e-09,0.4108
3.1636e-09,0.4160
3.1732e-09,0.4262
3.1828e-09,0.4405
3.1925e-09,0.4591
3.2021e-09,0.4829
3.2118e-09,0.5122
3.2214e-09,0.5468
3.2311e-09,0.5864
3.2407e-09,0.6299
3.2504e-09,0.6759
3.2600e-09,0.7223
3.2697e-09,0.7675
3.2793e-09,0.8096
3.2889e-09,0.8476
3.2986e-09,0.8813
3.3082e-09,0.9110
3.3179e-09,0.9375
3.3275e-09,0.9611
3.3372e-09,0.9815
3.3468e-09,0.9988
3.3565e-09,1.0129
3.3661e-09,1.0242
3.3757e-09,1.0332
3.3854e-09,1.0408
3.3950e-09,1.0481
3.4047e-09,1.0558
3.4143e-09,1.0637
3.4240e-09,1.0719
3.4336e-09,1.0802
3.4433e-09,1.0886
3.4529e-09,1.0971
3.4626e-09,1.1061
3.4722e-09,1.1156
3.4818e-09,1.1258
3.4915e-09,1.1364
3.5011e-09,1.1469
3.5108e-09,1.1572
3.5204e-09,1.1673
3.5301e-09,1.1767
3.5397e-09,1.1852
3.5494e-09,1.1926
3.5590e-09,1.1986
3.5687e-09,1.2032
3.5783e-09,1.2063
3.5879e-09,1.2074
3.5976e-09,1.2062
3.6072e-09,1.2027
3.6169e-09,1.1969
3.6265e-09,1.1895
3.6362e-09,1.1814
3.6458e-09,1.1734
3.6555e-09,1.1661
3.6651e-09,1.1598
3.6747e-09,1.1545
3.6844e-09,1.1504
3.6940e-09,1.1476
3.7037e-09,1.1458
3.7133e-09,1.1448
3.7230e-09,1.1444
3.7326e-09,1.1443
3.7423e-09,1.1446
3.7519e-09,1.1453
3.7616e-09,1.1463
3.7712e-09,1.1473
3.7808e-09,1.1479
3.7905e-09,1.1480
3.8001e-09,1.1475
3.8098e-09,1.1466
3.8194e-09,1.1456
3.8291e-09,1.1448
3.8387e-09,1.1444
3.8484e-09,1.1445
3.8580e-09,1.1451
3.8676e-09,1.1462
3.8773e-09,1.1480
3.8869e-09,1.1503
3.8966e-09,1.1531
3.9062e-09,1.1564
3.9159e-09,1.1506
3.9255e-09,1.1221
3.9352e-09,1.0721
3.9448e-09,0.9922
3.9545e-09,0.8873
3.9641e-09,0.7833
3.9737e-09,0.6949
3.9834e-09,0.6289
3.9930e-09,0.5901
4.0027e-09,0.5701
4.0123e-09,0.5547
4.0220e-09,0.5333
4.0316e-09,0.4927
4.0413e-09,0.4336
4.0509e-09,0.3751
4.0605e-09,0.3292
4.0702e-09,0.3024
4.0798e-09,0.2996
4.0895e-09,0.3154
4.0991e-09,0.3408
4.1088e-09,0.3679
4.1184e-09,0.3865
4.1281e-09,0.3863
4.1377e-09,0.3739
4.1474e-09,0.3603
4.1570e-09,0.3546
4.1666e-09,0.3652
4.1763e-09,0.3874
4.1859e-09,0.4126
4.1956e-09,0.4367
4.2052e-09,0.4534
4.2149e-09,0.4597
4.2245e-09,0.4615
4.2342e-09,0.4655
4.2438e-09,0.4744
4.2534e-09,0.4912
4.2631e-09,0.5131
