.HEADER
..NAMES
Time,V U2.B8
.DATA
0.0e+00,1.1999
9.6e-12,1.1999
1.93e-11,1.1999
2.89e-11,1.1999
3.86e-11,1.1999
4.82e-11,1.1999
5.79e-11,1.1999
6.75e-11,1.1999
7.72e-11,1.1999
8.68e-11,1.1999
9.65e-11,1.1999
1.061e-10,1.1999
1.157e-10,1.1999
1.254e-10,1.1999
1.350e-10,1.1999
1.447e-10,1.1999
1.543e-10,1.1999
1.640e-10,1.2003
1.736e-10,1.1875
1.833e-10,1.1582
1.929e-10,1.1081
2.025e-10,1.0295
2.122e-10,0.9303
2.218e-10,0.8282
2.315e-10,0.7265
2.411e-10,0.6296
2.508e-10,0.5489
2.604e-10,0.4847
2.701e-10,0.4310
2.797e-10,0.3910
2.893e-10,0.3627
2.990e-10,0.3394
3.086e-10,0.3235
3.183e-10,0.3170
3.279e-10,0.3154
3.376e-10,0.3167
3.472e-10,0.3240
3.569e-10,0.3367
3.665e-10,0.3549
3.762e-10,0.3761
3.858e-10,0.3933
3.954e-10,0.4043
4.051e-10,0.4115
4.147e-10,0.4172
4.244e-10,0.4231
4.340e-10,0.4295
4.437e-10,0.4352
4.533e-10,0.4400
4.630e-10,0.4454
4.726e-10,0.4529
4.823e-10,0.4601
4.919e-10,0.4639
5.015e-10,0.4625
5.112e-10,0.4539
5.208e-10,0.4367
5.305e-10,0.4121
5.401e-10,0.3840
5.498e-10,0.3574
5.594e-10,0.3393
5.691e-10,0.3376
5.787e-10,0.3576
5.883e-10,0.3995
5.980e-10,0.4581
6.076e-10,0.5232
6.173e-10,0.5822
6.269e-10,0.6254
6.366e-10,0.6484
6.462e-10,0.6504
6.559e-10,0.6345
6.655e-10,0.6065
6.751e-10,0.5715
6.848e-10,0.5321
6.944e-10,0.4886
7.041e-10,0.4401
7.137e-10,0.3859
7.234e-10,0.3277
7.330e-10,0.2683
7.427e-10,0.2099
7.523e-10,0.1537
7.620e-10,0.1016
7.716e-10,0.0562
7.812e-10,0.0199
7.909e-10,-0.0069
8.005e-10,-0.0257
8.102e-10,-0.0389
8.198e-10,-0.0489
8.295e-10,-0.0573
8.391e-10,-0.0653
8.488e-10,-0.0732
8.584e-10,-0.0807
8.681e-10,-0.0870
8.777e-10,-0.0902
