.HEADER
..NAMES
Time,V U1.E1&E2
.DATA
0.0e+00,-0.6923
2.33e-11,-0.6923
4.65e-11,-0.6923
6.98e-11,-0.6923
9.31e-11,-0.6923
1.163e-10,-0.6923
1.396e-10,-0.6923
1.629e-10,-0.6923
1.861e-10,-0.6923
2.094e-10,-0.6923
2.327e-10,-0.6923
2.559e-10,-0.6923
2.792e-10,-0.6923
3.025e-10,-0.6923
3.257e-10,-0.6923
3.490e-10,-0.6923
3.723e-10,-0.6923
3.955e-10,-0.6923
4.188e-10,-0.6923
4.421e-10,-0.6923
4.653e-10,-0.6923
4.886e-10,-0.6923
5.119e-10,-0.6923
5.351e-10,-0.6923
5.584e-10,-0.6923
5.817e-10,-0.6923
6.049e-10,-0.6923
6.282e-10,-0.6923
6.515e-10,-0.6923
6.747e-10,-0.6923
6.980e-10,-0.6923
7.213e-10,-0.6923
7.445e-10,-0.6923
7.678e-10,-0.6895
7.911e-10,-0.6485
8.143e-10,-0.5321
8.376e-10,-0.2066
8.609e-10,0.0805
8.841e-10,0.2806
9.074e-10,0.4159
9.307e-10,0.5016
9.539e-10,0.5538
9.772e-10,0.5636
1.0005e-09,0.5421
1.0237e-09,0.5317
1.0470e-09,0.5459
1.0703e-09,0.5742
1.0935e-09,0.6039
1.1168e-09,0.6248
1.1401e-09,0.6389
1.1633e-09,0.6592
1.1866e-09,0.6787
1.2099e-09,0.6782
1.2332e-09,0.6557
1.2564e-09,0.6204
1.2797e-09,0.5862
1.3030e-09,0.5638
1.3262e-09,0.5478
1.3495e-09,0.5299
1.3728e-09,0.5174
1.3960e-09,0.5157
1.4193e-09,0.4911
1.4426e-09,0.3748
1.4658e-09,0.0609
1.4891e-09,-0.1944
1.5124e-09,-0.3555
1.5356e-09,-0.4571
1.5589e-09,-0.5208
1.5822e-09,-0.5552
1.6054e-09,-0.5570
1.6287e-09,-0.5417
1.6520e-09,-0.5430
1.6752e-09,-0.5633
1.6985e-09,-0.5925
1.7218e-09,-0.6215
1.7450e-09,-0.6419
1.7683e-09,-0.6548
1.7916e-09,-0.6689
1.8148e-09,-0.6755
1.8381e-09,-0.6628
1.8614e-09,-0.6340
1.8846e-09,-0.5976
1.9079e-09,-0.5648
1.9312e-09,-0.5440
1.9544e-09,-0.5295
1.9777e-09,-0.5172
2.0010e-09,-0.5146
2.0242e-09,-0.5199
2.0475e-09,-0.4920
2.0708e-09,-0.3483
2.0940e-09,-0.0356
2.1173e-09,0.2193
2.1406e-09,0.3647
2.1638e-09,0.4704
2.1871e-09,0.5309
2.2104e-09,0.5647
2.2336e-09,0.5622
2.2569e-09,0.5456
2.2802e-09,0.5480
2.3034e-09,0.5704
2.3267e-09,0.6011
2.3500e-09,0.6281
2.3732e-09,0.6438
2.3965e-09,0.6541
2.4198e-09,0.6687
2.4430e-09,0.6757
2.4663e-09,0.6619
2.4896e-09,0.6310
2.5128e-09,0.5935
2.5361e-09,0.5628
2.5594e-09,0.5456
2.5826e-09,0.5329
2.6059e-09,0.5207
2.6292e-09,0.5175
2.6524e-09,0.5176
2.6757e-09,0.4839
2.6990e-09,0.3091
2.7222e-09,-0.0092
2.7455e-09,-0.2288
2.7688e-09,-0.3781
2.7920e-09,-0.4769
2.8153e-09,-0.5315
2.8386e-09,-0.5600
2.8618e-09,-0.5558
2.8851e-09,-0.5436
2.9084e-09,-0.5504
2.9316e-09,-0.5724
2.9549e-09,-0.6011
2.9782e-09,-0.6270
3.0014e-09,-0.6435
3.0247e-09,-0.6557
3.0480e-09,-0.6692
3.0712e-09,-0.6713
3.0945e-09,-0.6546
3.1178e-09,-0.6243
3.1410e-09,-0.5890
3.1643e-09,-0.5600
3.1876e-09,-0.5424
3.2108e-09,-0.5284
3.2341e-09,-0.5179
3.2574e-09,-0.5189
3.2806e-09,-0.5155
3.3039e-09,-0.4779
3.3272e-09,-0.2610
3.3504e-09,0.0540
3.3737e-09,0.2658
3.3970e-09,0.4023
3.4202e-09,0.4859
3.4435e-09,0.5443
3.4668e-09,0.5669
3.4901e-09,0.5562
3.5133e-09,0.5422
3.5366e-09,0.5519
3.5599e-09,0.5781
3.5831e-09,0.6089
3.6064e-09,0.6329
3.6297e-09,0.6459
3.6529e-09,0.6574
3.6762e-09,0.6724
3.6995e-09,0.6741
3.7227e-09,0.6546
3.7460e-09,0.6205
3.7693e-09,0.5836
3.7925e-09,0.5568
3.8158e-09,0.5421
3.8391e-09,0.5291
3.8623e-09,0.5180
3.8856e-09,0.5191
3.9089e-09,0.5122
3.9321e-09,0.4580
3.9554e-09,0.2210
3.9787e-09,-0.0714
4.0019e-09,-0.2848
4.0252e-09,-0.4124
4.0485e-09,-0.4963
4.0717e-09,-0.5451
4.0950e-09,-0.5640
4.1183e-09,-0.5535
4.1415e-09,-0.5440
4.1648e-09,-0.5547
4.1881e-09,-0.5794
4.2113e-09,-0.6088
4.2346e-09,-0.6329
4.2579e-09,-0.6474
4.2811e-09,-0.6598
4.3044e-09,-0.6716
4.3277e-09,-0.6691
4.3509e-09,-0.6484
4.3742e-09,-0.6155
4.3975e-09,-0.5802
4.4207e-09,-0.5541
4.4440e-09,-0.5382
4.4673e-09,-0.5249
4.4905e-09,-0.5168
4.5138e-09,-0.5214
4.5371e-09,-0.5073
4.5603e-09,-0.4384
4.5836e-09,-0.1648
4.6069e-09,0.1215
4.6301e-09,0.2982
4.6534e-09,0.4250
4.6767e-09,0.5045
4.6999e-09,0.5510
4.7232e-09,0.5646
4.7465e-09,0.5487
4.7697e-09,0.5425
4.7930e-09,0.5589
4.8163e-09,0.5868
4.8395e-09,0.6161
4.8628e-09,0.6370
4.8861e-09,0.6483
4.9093e-09,0.6618
4.9326e-09,0.6750
4.9559e-09,0.6700
4.9791e-09,0.6452
5.0024e-09,0.6096
5.0257e-09,0.5748
5.0489e-09,0.5522
5.0722e-09,0.5388
5.0955e-09,0.5252
5.1187e-09,0.5167
5.1420e-09,0.5217
5.1653e-09,0.5050
5.1885e-09,0.4256
5.2118e-09,0.1330
5.2351e-09,-0.1434
5.2583e-09,-0.3261
5.2816e-09,-0.4434
5.3049e-09,-0.5133
5.3281e-09,-0.5550
5.3514e-09,-0.5646
5.3747e-09,-0.5504
5.3979e-09,-0.5451
5.4212e-09,-0.5602
5.4445e-09,-0.5876
5.4677e-09,-0.6167
5.4910e-09,-0.6381
5.5143e-09,-0.6506
5.5375e-09,-0.6634
5.5608e-09,-0.6730
5.5841e-09,-0.6656
5.6073e-09,-0.6406
5.6306e-09,-0.6056
5.6539e-09,-0.5715
5.6771e-09,-0.5489
5.7004e-09,-0.5345
5.7237e-09,-0.5221
5.7469e-09,-0.5166
5.7702e-09,-0.5201
5.7935e-09,-0.4985
5.8168e-09,-0.3896
5.8400e-09,-0.0828
5.8633e-09,0.1654
5.8866e-09,0.3376
5.9098e-09,0.4508
5.9331e-09,0.5186
5.9564e-09,0.5581
5.9796e-09,0.5620
6.0029e-09,0.5458
6.0262e-09,0.5456
6.0494e-09,0.5652
6.0727e-09,0.5942
6.0960e-09,0.6222
6.1192e-09,0.6404
6.1425e-09,0.6512
6.1658e-09,0.6659
6.1890e-09,0.6752
6.2123e-09,0.6647
6.2356e-09,0.6367
6.2588e-09,0.6003
6.2821e-09,0.5678
6.3054e-09,0.5483
6.3286e-09,0.5350
6.3519e-09,0.5221
6.3752e-09,0.5169
6.3984e-09,0.5198
6.4217e-09,0.4932
6.4450e-09,0.3531
6.4682e-09,0.0384
6.4915e-09,-0.2102
6.5148e-09,-0.3629
6.5380e-09,-0.4631
6.5613e-09,-0.5267
6.5846e-09,-0.5603
6.6078e-09,-0.5600
6.6311e-09,-0.5445
6.6544e-09,-0.5471
6.6776e-09,-0.5682
6.7009e-09,-0.5972
6.7242e-09,-0.6244
6.7474e-09,-0.6421
6.7707e-09,-0.6538
6.7940e-09,-0.6678
6.8172e-09,-0.6735
6.8405e-09,-0.6598
6.8638e-09,-0.6304
6.8870e-09,-0.5944
6.9103e-09,-0.5635
6.9336e-09,-0.5447
6.9568e-09,-0.5309
6.9801e-09,-0.5191
7.0034e-09,-0.5173
7.0266e-09,-0.5201
7.0499e-09,-0.4878
7.0732e-09,-0.3213
7.0964e-09,-0.0071
7.1197e-09,0.2350
7.1430e-09,0.3772
7.1662e-09,0.4771
7.1895e-09,0.5354
7.2128e-09,0.5652
7.2360e-09,0.5596
7.2593e-09,0.5439
7.2826e-09,0.5486
7.3058e-09,0.5722
7.3291e-09,0.6029
7.3524e-09,0.6291
7.3756e-09,0.6440
7.3989e-09,0.6549
7.4222e-09,0.6697
7.4454e-09,0.6748
7.4687e-09,0.6590
7.4920e-09,0.6271
7.5152e-09,0.5898
7.5385e-09,0.5602
7.5618e-09,0.5438
7.5850e-09,0.5310
7.6083e-09,0.5192
7.6316e-09,0.5175
7.6548e-09,0.5146
7.6781e-09,0.4761
7.7014e-09,0.2756
7.7246e-09,-0.0404
7.7479e-09,-0.2469
7.7712e-09,-0.3934
7.7944e-09,-0.4835
7.8177e-09,-0.5370
7.8410e-09,-0.5615
7.8642e-09,-0.5546
7.8875e-09,-0.5434
7.9108e-09,-0.5525
7.9340e-09,-0.5758
7.9573e-09,-0.6047
7.9806e-09,-0.6297
8.0038e-09,-0.6452
8.0271e-09,-0.6576
8.0504e-09,-0.6709
8.0736e-09,-0.6710
8.0969e-09,-0.6524
8.1202e-09,-0.6210
8.1435e-09,-0.5857
8.1667e-09,-0.5581
8.1900e-09,-0.5414
8.2133e-09,-0.5274
8.2365e-09,-0.5176
8.2598e-09,-0.5202
8.2831e-09,-0.5137
8.3063e-09,-0.4641
8.3296e-09,-0.2296
8.3529e-09,0.0745
8.3761e-09,0.2805
8.3994e-09,0.4120
8.4227e-09,0.4925
8.4459e-09,0.5481
8.4692e-09,0.5674
8.4925e-09,0.5541
8.5157e-09,0.5420
8.5390e-09,0.5536
8.5623e-09,0.5807
8.5855e-09,0.6113
8.6088e-09,0.6343
8.6321e-09,0.6467
8.6553e-09,0.6586
8.6786e-09,0.6730
8.7019e-09,0.6727
8.7251e-09,0.6513
8.7484e-09,0.6164
8.7717e-09,0.5800
8.7949e-09,0.5545
8.8182e-09,0.5404
8.8415e-09,0.5274
8.8647e-09,0.5171
8.8880e-09,0.5198
8.9113e-09,0.5084
8.9345e-09,0.4484
8.9578e-09,0.1843
8.9811e-09,-0.0978
9.0043e-09,-0.2980
9.0276e-09,-0.4221
9.0509e-09,-0.5027
9.0741e-09,-0.5480
9.0974e-09,-0.5639
9.1207e-09,-0.5520
9.1439e-09,-0.5448
9.1672e-09,-0.5574
9.1905e-09,-0.5828
9.2137e-09,-0.6119
9.2370e-09,-0.6351
9.2603e-09,-0.6488
9.2835e-09,-0.6615
9.3068e-09,-0.6726
9.3301e-09,-0.6680
9.3533e-09,-0.6456
9.3766e-09,-0.6121
9.3999e-09,-0.5773
9.4231e-09,-0.5526
9.4464e-09,-0.5372
9.4697e-09,-0.5241
9.4929e-09,-0.5169
9.5162e-09,-0.5222
9.5395e-09,-0.5044
9.5627e-09,-0.4268
9.5860e-09,-0.1326
9.6093e-09,0.1439
9.6325e-09,0.3136
9.6558e-09,0.4355
9.6791e-09,0.5105
9.7023e-09,0.5542
9.7256e-09,0.5637
9.7489e-09,0.5467
9.7721e-09,0.5429
9.7954e-09,0.5610
9.8187e-09,0.5897
9.8419e-09,0.6187
9.8652e-09,0.6382
9.8885e-09,0.6490
9.9117e-09,0.6632
9.9350e-09,0.6754
9.9583e-09,0.6680
9.9815e-09,0.6417
1.00048e-08,0.6053
1.00281e-08,0.5714
1.00513e-08,0.5503
1.00746e-08,0.5371
1.00979e-08,0.5236
1.01211e-08,0.5162
1.01444e-08,0.5208
1.01677e-08,0.5023
1.01909e-08,0.4011
1.02142e-08,0.1014
1.02375e-08,-0.1628
1.02607e-08,-0.3409
1.02840e-08,-0.4517
1.03073e-08,-0.5183
1.03305e-08,-0.5579
1.03538e-08,-0.5643
1.03771e-08,-0.5495
1.04003e-08,-0.5461
1.04236e-08,-0.5629
1.04469e-08,-0.5909
1.04702e-08,-0.6196
1.04934e-08,-0.6399
1.05167e-08,-0.6521
1.05400e-08,-0.6650
1.05632e-08,-0.6733
1.05865e-08,-0.6640
1.06098e-08,-0.6377
1.06330e-08,-0.6022
1.06563e-08,-0.5689
1.06796e-08,-0.5475
1.07028e-08,-0.5334
1.07261e-08,-0.5214
1.07494e-08,-0.5170
1.07726e-08,-0.5209
1.07959e-08,-0.4950
1.08192e-08,-0.3679
1.08424e-08,-0.0518
1.08657e-08,0.1935
1.08890e-08,0.3504
1.09122e-08,0.4588
1.09355e-08,0.5239
1.09588e-08,0.5599
1.09820e-08,0.5600
1.10053e-08,0.5440
1.10286e-08,0.5465
1.10518e-08,0.5678
1.10751e-08,0.5973
1.10984e-08,0.6246
1.11216e-08,0.6414
1.11449e-08,0.6523
1.11682e-08,0.6673
1.11914e-08,0.6750
1.12147e-08,0.6623
1.12380e-08,0.6328
1.12612e-08,0.5961
1.12845e-08,0.5648
1.13078e-08,0.5466
1.13310e-08,0.5334
1.13543e-08,0.5207
1.13776e-08,0.5170
1.14008e-08,0.5182
1.14241e-08,0.4873
1.14474e-08,0.3275
1.14706e-08,0.0103
1.14939e-08,-0.2296
1.15172e-08,-0.3765
1.15404e-08,-0.4740
1.15637e-08,-0.5327
1.15870e-08,-0.5625
1.16102e-08,-0.5591
1.16335e-08,-0.5440
1.16568e-08,-0.5487
1.16800e-08,-0.5711
1.17033e-08,-0.6005
1.17266e-08,-0.6271
1.17498e-08,-0.6437
1.17731e-08,-0.6554
1.17964e-08,-0.6692
1.18196e-08,-0.6733
1.18429e-08,-0.6577
1.18662e-08,-0.6271
1.18894e-08,-0.5909
1.19127e-08,-0.5610
1.19360e-08,-0.5433
1.19592e-08,-0.5297
1.19825e-08,-0.5185
1.20058e-08,-0.5181
1.20290e-08,-0.5186
1.20523e-08,-0.4802
1.20756e-08,-0.2887
1.20988e-08,0.0246
1.21221e-08,0.2498
1.21454e-08,0.3928
1.21686e-08,0.4834
1.21919e-08,0.5397
1.22152e-08,0.5657
1.22384e-08,0.5573
1.22617e-08,0.5430
1.22850e-08,0.5503
1.23082e-08,0.5751
1.23315e-08,0.6057
1.23548e-08,0.6308
1.23780e-08,0.6448
1.24013e-08,0.6561
1.24246e-08,0.6709
1.24478e-08,0.6738
1.24711e-08,0.6560
1.24944e-08,0.6230
1.25176e-08,0.5860
1.25409e-08,0.5580
1.25642e-08,0.5424
1.25874e-08,0.5295
1.26107e-08,0.5182
1.26340e-08,0.5182
1.26572e-08,0.5122
1.26805e-08,0.4653
1.27038e-08,0.2369
1.27270e-08,-0.0671
1.27503e-08,-0.2687
1.27736e-08,-0.4038
1.27968e-08,-0.4900
1.28201e-08,-0.5415
1.28434e-08,-0.5626
1.28667e-08,-0.5531
1.28899e-08,-0.5434
1.29132e-08,-0.5547
1.29365e-08,-0.5789
1.29597e-08,-0.6078
1.29830e-08,-0.6319
1.30063e-08,-0.6466
1.30295e-08,-0.6592
1.30528e-08,-0.6720
1.30761e-08,-0.6701
1.30993e-08,-0.6497
1.31226e-08,-0.6174
1.31459e-08,-0.5824
1.31691e-08,-0.5561
1.31924e-08,-0.5401
1.32157e-08,-0.5263
1.32389e-08,-0.5173
1.32622e-08,-0.5215
1.32855e-08,-0.5111
1.33087e-08,-0.4546
1.33320e-08,-0.1955
1.33553e-08,0.0966
1.33785e-08,0.2955
1.34018e-08,0.4222
1.34251e-08,0.5031
1.34483e-08,0.5513
1.34716e-08,0.5671
1.34949e-08,0.5522
1.35181e-08,0.5422
1.35414e-08,0.5556
1.35647e-08,0.5835
1.35879e-08,0.6138
1.36112e-08,0.6358
1.36345e-08,0.6476
1.36577e-08,0.6600
1.36810e-08,0.6737
1.37043e-08,0.6712
1.37275e-08,0.6482
1.37508e-08,0.6125
1.37741e-08,0.5766
1.37973e-08,0.5525
1.38206e-08,0.5389
1.38439e-08,0.5258
1.38671e-08,0.5165
1.38904e-08,0.5199
1.39137e-08,0.5050
1.39369e-08,0.4416
1.39602e-08,0.1502
1.39835e-08,-0.1251
1.40067e-08,-0.3116
1.40300e-08,-0.4378
1.40533e-08,-0.5082
1.40765e-08,-0.5510
1.40998e-08,-0.5635
1.41231e-08,-0.5505
1.41463e-08,-0.5456
1.41696e-08,-0.5599
1.41929e-08,-0.5859
1.42161e-08,-0.6147
1.42394e-08,-0.6369
1.42627e-08,-0.6500
1.42859e-08,-0.6631
1.43092e-08,-0.6732
1.43325e-08,-0.6665
1.43557e-08,-0.6426
1.43790e-08,-0.6086
1.44023e-08,-0.5744
1.44255e-08,-0.5510
1.44488e-08,-0.5360
1.44721e-08,-0.5230
1.44953e-08,-0.5170
1.45186e-08,-0.5219
1.45419e-08,-0.5017
1.45651e-08,-0.4026
1.45884e-08,-0.1009
1.46117e-08,0.1640
1.46349e-08,0.3342
1.46582e-08,0.4437
1.46815e-08,0.5158
1.47047e-08,0.5573
1.47280e-08,0.5628
1.47513e-08,0.5451
1.47745e-08,0.5437
1.47978e-08,0.5634
1.48211e-08,0.5928
1.48443e-08,0.6212
1.48676e-08,0.6395
1.48909e-08,0.6500
1.49141e-08,0.6647
1.49374e-08,0.6755
1.49607e-08,0.6660
1.49839e-08,0.6381
1.50072e-08,0.6013
1.50305e-08,0.5683
1.50537e-08,0.5486
1.50770e-08,0.5356
1.51003e-08,0.5222
1.51236e-08,0.5160
1.51468e-08,0.5217
1.51701e-08,0.4988
1.51934e-08,0.3804
1.52166e-08,0.0716
1.52399e-08,-0.1992
1.52632e-08,-0.3528
1.52864e-08,-0.4599
1.53097e-08,-0.5236
1.53330e-08,-0.5602
1.53562e-08,-0.5632
1.53795e-08,-0.5484
1.54028e-08,-0.5471
1.54260e-08,-0.5656
1.54493e-08,-0.5941
1.54726e-08,-0.6222
1.54958e-08,-0.6416
1.55191e-08,-0.6534
1.55424e-08,-0.6664
1.55656e-08,-0.6733
1.55889e-08,-0.6621
1.56122e-08,-0.6345
1.56354e-08,-0.5987
1.56587e-08,-0.5664
1.56820e-08,-0.5460
1.57052e-08,-0.5322
1.57285e-08,-0.5206
1.57518e-08,-0.5175
1.57750e-08,-0.5196
1.57983e-08,-0.4890
1.58216e-08,-0.3391
1.58448e-08,-0.0225
1.58681e-08,0.2108
1.58914e-08,0.3629
1.59146e-08,0.4702
1.59379e-08,0.5291
1.59612e-08,0.5611
1.59844e-08,0.5578
1.60077e-08,0.5426
1.60310e-08,0.5479
1.60542e-08,0.5706
1.60775e-08,0.6005
1.61008e-08,0.6268
