.HEADER
..NAMES
Time,V U1.W2
.DATA
0.0e+00,0.0022
9.6e-12,0.0022
1.93e-11,0.0022
2.89e-11,0.0022
3.86e-11,0.0022
4.82e-11,0.0022
5.79e-11,0.0022
6.75e-11,0.0022
7.72e-11,0.0022
8.68e-11,0.0022
9.65e-11,0.0022
1.061e-10,0.0022
1.157e-10,0.0022
1.254e-10,0.0022
1.350e-10,0.0022
1.447e-10,0.0022
1.543e-10,0.0022
1.640e-10,0.0022
1.736e-10,0.0022
1.833e-10,0.0022
1.929e-10,0.0022
2.025e-10,0.0022
2.122e-10,0.0022
2.218e-10,0.0022
2.315e-10,0.0022
2.411e-10,0.0022
2.508e-10,0.0022
2.604e-10,0.0022
2.701e-10,0.0022
2.797e-10,0.0022
2.893e-10,0.0022
2.990e-10,0.0022
3.086e-10,0.0022
3.183e-10,0.0022
3.279e-10,0.0022
3.376e-10,0.0022
3.472e-10,0.0021
3.569e-10,0.0020
3.665e-10,0.0019
3.762e-10,0.0027
3.858e-10,0.0056
3.954e-10,0.0114
4.051e-10,0.0210
4.147e-10,0.0350
4.244e-10,0.0542
4.340e-10,0.0797
4.437e-10,0.1120
4.533e-10,0.1516
4.630e-10,0.1980
4.726e-10,0.2500
4.823e-10,0.3062
4.919e-10,0.3653
5.015e-10,0.4263
5.112e-10,0.4881
5.208e-10,0.5499
5.305e-10,0.6107
5.401e-10,0.6698
5.498e-10,0.7261
5.594e-10,0.7791
5.691e-10,0.8283
5.787e-10,0.8734
5.883e-10,0.9145
5.980e-10,0.9517
6.076e-10,0.9852
6.173e-10,1.0151
6.269e-10,1.0418
6.366e-10,1.0653
6.462e-10,1.0859
6.559e-10,1.1038
6.655e-10,1.1193
6.751e-10,1.1327
6.848e-10,1.1442
6.944e-10,1.1542
7.041e-10,1.1628
7.137e-10,1.1704
7.234e-10,1.1772
7.330e-10,1.1837
7.427e-10,1.1899
7.523e-10,1.1960
7.620e-10,1.2021
7.716e-10,1.2081
7.812e-10,1.2139
7.909e-10,1.2192
8.005e-10,1.2237
8.102e-10,1.2272
8.198e-10,1.2298
8.295e-10,1.2314
8.391e-10,1.2324
8.488e-10,1.2330
8.584e-10,1.2336
8.681e-10,1.2342
8.777e-10,1.2351
8.873e-10,1.2364
8.970e-10,1.2382
9.066e-10,1.2405
9.163e-10,1.2431
9.259e-10,1.2455
9.356e-10,1.2473
9.452e-10,1.2482
9.549e-10,1.2481
9.645e-10,1.2470
9.741e-10,1.2449
9.838e-10,1.2416
9.934e-10,1.2370
1.0031e-09,1.2312
1.0127e-09,1.2242
1.0224e-09,1.2165
1.0320e-09,1.2083
1.0417e-09,1.2000
1.0513e-09,1.1920
1.0609e-09,1.1846
1.0706e-09,1.1778
1.0802e-09,1.1718
1.0899e-09,1.1664
1.0995e-09,1.1619
1.1092e-09,1.1581
1.1188e-09,1.1551
1.1285e-09,1.1528
1.1381e-09,1.1510
1.1478e-09,1.1499
1.1574e-09,1.1494
1.1670e-09,1.1494
1.1767e-09,1.1501
1.1863e-09,1.1515
1.1960e-09,1.1536
1.2056e-09,1.1563
1.2153e-09,1.1595
1.2249e-09,1.1630
1.2346e-09,1.1665
1.2442e-09,1.1699
1.2539e-09,1.1729
1.2635e-09,1.1754
1.2731e-09,1.1774
1.2828e-09,1.1789
1.2924e-09,1.1800
1.3021e-09,1.1809
1.3117e-09,1.1815
1.3214e-09,1.1821
1.3310e-09,1.1826
1.3407e-09,1.1832
1.3503e-09,1.1839
1.3599e-09,1.1849
1.3696e-09,1.1860
1.3792e-09,1.1872
1.3889e-09,1.1885
1.3985e-09,1.1897
1.4082e-09,1.1908
1.4178e-09,1.1918
1.4275e-09,1.1926
1.4371e-09,1.1931
1.4468e-09,1.1933
1.4564e-09,1.1930
1.4660e-09,1.1925
1.4757e-09,1.1918
1.4853e-09,1.1912
1.4950e-09,1.1908
1.5046e-09,1.1907
1.5143e-09,1.1909
1.5239e-09,1.1914
1.5336e-09,1.1922
1.5432e-09,1.1931
1.5528e-09,1.1943
1.5625e-09,1.1956
1.5721e-09,1.1969
1.5818e-09,1.1982
1.5914e-09,1.1994
1.6011e-09,1.2006
1.6107e-09,1.2017
1.6204e-09,1.2027
1.6300e-09,1.2038
1.6396e-09,1.2049
1.6493e-09,1.2061
1.6589e-09,1.2073
1.6686e-09,1.2084
1.6782e-09,1.2095
1.6879e-09,1.2103
1.6975e-09,1.2109
1.7072e-09,1.2112
1.7168e-09,1.2112
1.7265e-09,1.2110
1.7361e-09,1.2106
1.7457e-09,1.2100
1.7554e-09,1.2092
1.7650e-09,1.2083
1.7747e-09,1.2072
1.7843e-09,1.2062
1.7940e-09,1.2052
1.8036e-09,1.2044
1.8133e-09,1.2037
1.8229e-09,1.2033
1.8326e-09,1.2031
1.8422e-09,1.2031
1.8518e-09,1.2032
1.8615e-09,1.2033
1.8711e-09,1.2034
1.8808e-09,1.2035
1.8904e-09,1.2034
1.9001e-09,1.2032
1.9097e-09,1.2029
1.9194e-09,1.2025
1.9290e-09,1.2021
1.9386e-09,1.2018
1.9483e-09,1.2015
1.9579e-09,1.2014
1.9676e-09,1.2014
1.9772e-09,1.2015
1.9869e-09,1.2016
1.9965e-09,1.2018
2.0062e-09,1.2021
2.0158e-09,1.2023
2.0255e-09,1.2024
2.0351e-09,1.2026
2.0447e-09,1.2026
2.0544e-09,1.2025
2.0640e-09,1.2024
2.0737e-09,1.2023
2.0833e-09,1.2022
2.0930e-09,1.2021
2.1026e-09,1.2021
2.1123e-09,1.2020
2.1219e-09,1.2020
2.1315e-09,1.2019
2.1412e-09,1.2019
2.1508e-09,1.2018
2.1605e-09,1.2017
2.1701e-09,1.2017
2.1798e-09,1.2015
2.1894e-09,1.2013
2.1991e-09,1.2011
2.2087e-09,1.2007
2.2183e-09,1.2004
2.2280e-09,1.1999
2.2376e-09,1.1992
2.2473e-09,1.1971
2.2569e-09,1.1918
2.2666e-09,1.1806
2.2762e-09,1.1606
2.2859e-09,1.1292
2.2955e-09,1.0855
2.3052e-09,1.0302
2.3148e-09,0.9647
2.3244e-09,0.8909
2.3341e-09,0.8110
2.3437e-09,0.7266
2.3534e-09,0.6391
2.3630e-09,0.5496
2.3727e-09,0.4594
2.3823e-09,0.3702
2.3920e-09,0.2836
2.4016e-09,0.2011
2.4113e-09,0.1240
2.4209e-09,0.0534
2.4305e-09,-0.0101
2.4402e-09,-0.0658
2.4498e-09,-0.1136
2.4595e-09,-0.1538
2.4691e-09,-0.1869
2.4788e-09,-0.2137
2.4884e-09,-0.2344
2.4981e-09,-0.2495
2.5077e-09,-0.2595
2.5173e-09,-0.2653
2.5270e-09,-0.2676
2.5366e-09,-0.2674
2.5463e-09,-0.2654
2.5559e-09,-0.2623
2.5656e-09,-0.2587
2.5752e-09,-0.2550
2.5849e-09,-0.2520
2.5945e-09,-0.2501
2.6042e-09,-0.2499
2.6138e-09,-0.2514
2.6234e-09,-0.2544
2.6331e-09,-0.2585
2.6427e-09,-0.2627
2.6524e-09,-0.2662
2.6620e-09,-0.2684
2.6717e-09,-0.2688
2.6813e-09,-0.2675
2.6910e-09,-0.2646
2.7006e-09,-0.2611
2.7102e-09,-0.2578
2.7199e-09,-0.2553
2.7295e-09,-0.2543
2.7392e-09,-0.2549
2.7488e-09,-0.2567
2.7585e-09,-0.2593
2.7681e-09,-0.2620
2.7778e-09,-0.2647
2.7874e-09,-0.2672
2.7970e-09,-0.2697
2.8067e-09,-0.2723
2.8163e-09,-0.2748
2.8260e-09,-0.2767
2.8356e-09,-0.2772
2.8453e-09,-0.2758
2.8549e-09,-0.2722
2.8646e-09,-0.2664
2.8742e-09,-0.2584
2.8839e-09,-0.2486
2.8935e-09,-0.2372
2.9031e-09,-0.2246
2.9128e-09,-0.2108
2.9224e-09,-0.1963
2.9321e-09,-0.1811
2.9417e-09,-0.1655
2.9514e-09,-0.1495
2.9610e-09,-0.1331
2.9707e-09,-0.1162
2.9803e-09,-0.0990
2.9900e-09,-0.0815
2.9996e-09,-0.0642
3.0092e-09,-0.0472
3.0189e-09,-0.0310
3.0285e-09,-0.0161
3.0382e-09,-0.0029
3.0478e-09,0.0082
3.0575e-09,0.0170
3.0671e-09,0.0236
3.0768e-09,0.0282
3.0864e-09,0.0315
3.0960e-09,0.0339
3.1057e-09,0.0359
3.1153e-09,0.0379
3.1250e-09,0.0398
3.1346e-09,0.0418
3.1443e-09,0.0437
3.1539e-09,0.0454
3.1636e-09,0.0470
3.1732e-09,0.0486
3.1828e-09,0.0502
3.1925e-09,0.0519
3.2021e-09,0.0537
3.2118e-09,0.0556
3.2214e-09,0.0573
3.2311e-09,0.0588
3.2407e-09,0.0597
3.2504e-09,0.0598
3.2600e-09,0.0593
3.2697e-09,0.0584
3.2793e-09,0.0573
3.2889e-09,0.0565
3.2986e-09,0.0562
3.3082e-09,0.0566
3.3179e-09,0.0574
3.3275e-09,0.0587
3.3372e-09,0.0603
3.3468e-09,0.0620
3.3565e-09,0.0638
3.3661e-09,0.0657
3.3757e-09,0.0674
3.3854e-09,0.0689
3.3950e-09,0.0703
3.4047e-09,0.0715
3.4143e-09,0.0726
3.4240e-09,0.0738
3.4336e-09,0.0751
3.4433e-09,0.0764
3.4529e-09,0.0776
3.4626e-09,0.0785
3.4722e-09,0.0787
3.4818e-09,0.0778
3.4915e-09,0.0757
3.5011e-09,0.0732
3.5108e-09,0.0714
3.5204e-09,0.0716
3.5301e-09,0.0749
3.5397e-09,0.0822
3.5494e-09,0.0947
3.5590e-09,0.1133
3.5687e-09,0.1390
3.5783e-09,0.1722
3.5879e-09,0.2127
3.5976e-09,0.2594
3.6072e-09,0.3110
3.6169e-09,0.3665
3.6265e-09,0.4248
3.6362e-09,0.4850
3.6458e-09,0.5460
3.6555e-09,0.6066
3.6651e-09,0.6658
3.6747e-09,0.7224
3.6844e-09,0.7755
3.6940e-09,0.8247
3.7037e-09,0.8697
3.7133e-09,0.9106
3.7230e-09,0.9476
3.7326e-09,0.9811
3.7423e-09,1.0114
3.7519e-09,1.0387
3.7616e-09,1.0630
3.7712e-09,1.0845
3.7808e-09,1.1033
3.7905e-09,1.1197
3.8001e-09,1.1338
3.8098e-09,1.1459
3.8194e-09,1.1561
3.8291e-09,1.1647
3.8387e-09,1.1721
3.8484e-09,1.1787
3.8580e-09,1.1848
3.8676e-09,1.1908
3.8773e-09,1.1969
3.8869e-09,1.2032
3.8966e-09,1.2096
3.9062e-09,1.2158
3.9159e-09,1.2215
3.9255e-09,1.2263
3.9352e-09,1.2299
3.9448e-09,1.2323
3.9545e-09,1.2337
3.9641e-09,1.2345
3.9737e-09,1.2349
3.9834e-09,1.2351
3.9930e-09,1.2355
4.0027e-09,1.2361
4.0123e-09,1.2371
4.0220e-09,1.2387
4.0316e-09,1.2409
4.0413e-09,1.2436
4.0509e-09,1.2467
4.0605e-09,1.2496
4.0702e-09,1.2520
4.0798e-09,1.2539
4.0895e-09,1.2548
4.0991e-09,1.2546
4.1088e-09,1.2523
4.1184e-09,1.2463
4.1281e-09,1.2341
4.1377e-09,1.2138
4.1474e-09,1.1837
4.1570e-09,1.1430
4.1666e-09,1.0921
4.1763e-09,1.0324
4.1859e-09,0.9655
4.1956e-09,0.8927
4.2052e-09,0.8152
4.2149e-09,0.7342
