.HEADER
..NAMES
Time,V U1.E3
.DATA
0.0e+00,1.1999
9.6e-12,1.1999
1.93e-11,1.1999
2.89e-11,1.1999
3.86e-11,1.1999
4.82e-11,1.1999
5.79e-11,1.1999
6.75e-11,1.1999
7.72e-11,1.1999
8.68e-11,1.1999
9.65e-11,1.1999
1.061e-10,1.1999
1.157e-10,1.1999
1.254e-10,1.1999
1.350e-10,1.1999
1.447e-10,1.1999
1.543e-10,1.1999
1.640e-10,1.1999
1.736e-10,1.1999
1.833e-10,1.1999
1.929e-10,1.1999
2.025e-10,1.1999
2.122e-10,1.1999
2.218e-10,1.1999
2.315e-10,1.1999
2.411e-10,1.1999
2.508e-10,1.1999
2.604e-10,1.1999
2.701e-10,1.1999
2.797e-10,1.1999
2.893e-10,1.1999
2.990e-10,1.1999
3.086e-10,1.1999
3.183e-10,1.1999
3.279e-10,1.1999
3.376e-10,1.1999
3.472e-10,1.1999
3.569e-10,1.1997
3.665e-10,1.1986
3.762e-10,1.1957
3.858e-10,1.1899
3.954e-10,1.1797
4.051e-10,1.1639
4.147e-10,1.1414
4.244e-10,1.1109
4.340e-10,1.0714
4.437e-10,1.0222
4.533e-10,0.9635
4.630e-10,0.8958
4.726e-10,0.8203
4.823e-10,0.7379
4.919e-10,0.6501
5.015e-10,0.5588
5.112e-10,0.4659
5.208e-10,0.3732
5.305e-10,0.2824
5.401e-10,0.1952
5.498e-10,0.1135
5.594e-10,0.0384
5.691e-10,-0.0291
5.787e-10,-0.0889
5.883e-10,-0.1404
5.980e-10,-0.1829
6.076e-10,-0.2159
6.173e-10,-0.2398
6.269e-10,-0.2557
6.366e-10,-0.2648
6.462e-10,-0.2686
6.559e-10,-0.2681
6.655e-10,-0.2648
6.751e-10,-0.2597
6.848e-10,-0.2537
6.944e-10,-0.2473
7.041e-10,-0.2411
7.137e-10,-0.2353
7.234e-10,-0.2300
7.330e-10,-0.2255
7.427e-10,-0.2218
7.523e-10,-0.2189
7.620e-10,-0.2172
7.716e-10,-0.2168
7.812e-10,-0.2176
7.909e-10,-0.2199
8.005e-10,-0.2237
8.102e-10,-0.2291
8.198e-10,-0.2356
8.295e-10,-0.2429
8.391e-10,-0.2506
8.488e-10,-0.2582
8.584e-10,-0.2654
8.681e-10,-0.2718
