.HEADER
..NAMES
Time,V U2.H7
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1999
3.723e-10,1.1999
3.955e-10,1.1999
4.188e-10,1.1999
4.421e-10,1.1999
4.653e-10,1.1999
4.886e-10,1.1999
5.119e-10,1.1999
5.351e-10,1.1999
5.584e-10,1.1999
5.817e-10,1.1999
6.049e-10,1.1999
6.282e-10,1.1999
6.515e-10,1.1949
6.747e-10,1.1804
6.980e-10,1.1399
7.213e-10,1.0715
7.445e-10,0.9858
7.678e-10,0.8785
7.911e-10,0.7660
8.143e-10,0.6496
8.376e-10,0.5244
8.609e-10,0.4004
8.841e-10,0.2827
9.074e-10,0.1782
9.307e-10,0.0936
9.539e-10,0.0295
9.772e-10,-0.0177
1.0005e-09,-0.0507
1.0237e-09,-0.0749
1.0470e-09,-0.0957
1.0703e-09,-0.1144
1.0935e-09,-0.1308
1.1168e-09,-0.1440
1.1401e-09,-0.1523
1.1633e-09,-0.1585
1.1866e-09,-0.1642
1.2099e-09,-0.1677
1.2332e-09,-0.1655
1.2564e-09,-0.1528
1.2797e-09,-0.1286
1.3030e-09,-0.0887
1.3262e-09,-0.0220
1.3495e-09,0.0738
1.3728e-09,0.1886
1.3960e-09,0.3227
1.4193e-09,0.4599
1.4426e-09,0.5930
1.4658e-09,0.7289
1.4891e-09,0.8564
1.5124e-09,0.9710
1.5356e-09,1.0667
1.5589e-09,1.1377
1.5822e-09,1.1874
1.6054e-09,1.2216
1.6287e-09,1.2441
1.6520e-09,1.2593
1.6752e-09,1.2708
1.6985e-09,1.2809
1.7218e-09,1.2904
1.7450e-09,1.2979
1.7683e-09,1.3010
1.7916e-09,1.2997
1.8148e-09,1.2957
1.8381e-09,1.2879
1.8614e-09,1.2746
1.8846e-09,1.2527
1.9079e-09,1.2217
1.9312e-09,1.1855
1.9544e-09,1.1500
1.9777e-09,1.1197
2.0010e-09,1.0949
2.0242e-09,1.0761
