.HEADER
..NAMES
Time,V U2.J3
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0027
3.955e-10,0.0027
4.188e-10,0.0027
4.421e-10,0.0027
4.653e-10,0.0027
4.886e-10,0.0027
5.119e-10,0.0027
5.351e-10,0.0027
5.584e-10,0.0027
5.817e-10,0.0027
6.049e-10,0.0027
6.282e-10,0.0027
6.515e-10,0.0031
6.747e-10,0.0083
6.980e-10,0.0276
7.213e-10,0.0753
7.445e-10,0.1435
7.678e-10,0.2315
7.911e-10,0.3410
8.143e-10,0.4538
8.376e-10,0.5715
8.609e-10,0.6922
8.841e-10,0.8080
9.074e-10,0.9127
9.307e-10,1.0044
9.539e-10,1.0836
9.772e-10,1.1386
1.0005e-09,1.1726
1.0237e-09,1.1985
1.0470e-09,1.2168
1.0703e-09,1.2305
1.0935e-09,1.2467
1.1168e-09,1.2642
1.1401e-09,1.2746
1.1633e-09,1.2821
1.1866e-09,1.2911
1.2099e-09,1.2935
1.2332e-09,1.2889
1.2564e-09,1.2822
1.2797e-09,1.2696
1.3030e-09,1.2451
1.3262e-09,1.2142
1.3495e-09,1.1832
1.3728e-09,1.1511
1.3960e-09,1.1235
1.4193e-09,1.1069
1.4426e-09,1.0973
1.4658e-09,1.0900
1.4891e-09,1.0897
1.5124e-09,1.0967
1.5356e-09,1.1054
1.5589e-09,1.1172
1.5822e-09,1.1333
1.6054e-09,1.1479
1.6287e-09,1.1573
1.6520e-09,1.1635
1.6752e-09,1.1665
1.6985e-09,1.1652
1.7218e-09,1.1650
1.7450e-09,1.1694
1.7683e-09,1.1749
1.7916e-09,1.1807
1.8148e-09,1.1892
1.8381e-09,1.1992
1.8614e-09,1.2086
1.8846e-09,1.2184
1.9079e-09,1.2213
1.9312e-09,1.2085
1.9544e-09,1.1592
1.9777e-09,1.0834
2.0010e-09,0.9865
2.0242e-09,0.8609
2.0475e-09,0.7322
2.0708e-09,0.6023
2.0940e-09,0.4692
2.1173e-09,0.3420
2.1406e-09,0.2288
2.1638e-09,0.1312
2.1871e-09,0.0478
2.2104e-09,-0.0085
2.2336e-09,-0.0397
2.2569e-09,-0.0623
2.2802e-09,-0.0795
2.3034e-09,-0.0926
2.3267e-09,-0.1101
2.3500e-09,-0.1326
2.3732e-09,-0.1479
2.3965e-09,-0.1580
2.4198e-09,-0.1695
2.4430e-09,-0.1740
2.4663e-09,-0.1689
2.4896e-09,-0.1602
2.5128e-09,-0.1447
2.5361e-09,-0.1118
2.5594e-09,-0.0566
2.5826e-09,0.0299
2.6059e-09,0.1428
2.6292e-09,0.2700
2.6524e-09,0.4070
2.6757e-09,0.5423
2.6990e-09,0.6724
2.7222e-09,0.8007
2.7455e-09,0.9175
2.7688e-09,1.0156
2.7920e-09,1.0989
2.8153e-09,1.1634
2.8386e-09,1.2040
2.8618e-09,1.2258
2.8851e-09,1.2410
2.9084e-09,1.2557
2.9316e-09,1.2678
2.9549e-09,1.2825
2.9782e-09,1.2963
3.0014e-09,1.2989
3.0247e-09,1.2957
3.0480e-09,1.2930
3.0712e-09,1.2837
3.0945e-09,1.2660
3.1178e-09,1.2465
3.1410e-09,1.2208
3.1643e-09,1.1773
3.1876e-09,1.1116
3.2108e-09,1.0198
3.2341e-09,0.9106
3.2574e-09,0.7912
3.2806e-09,0.6646
3.3039e-09,0.5436
3.3272e-09,0.4213
3.3504e-09,0.2995
3.3737e-09,0.1943
3.3970e-09,0.1033
3.4202e-09,0.0260
3.4435e-09,-0.0309
3.4668e-09,-0.0659
3.4901e-09,-0.0874
3.5133e-09,-0.1064
3.5366e-09,-0.1209
3.5599e-09,-0.1337
3.5831e-09,-0.1482
3.6064e-09,-0.1560
3.6297e-09,-0.1543
3.6529e-09,-0.1525
3.6762e-09,-0.1508
3.6995e-09,-0.1403
3.7227e-09,-0.1246
3.7460e-09,-0.1068
3.7693e-09,-0.0805
3.7925e-09,-0.0409
3.8158e-09,0.0146
3.8391e-09,0.0977
3.8623e-09,0.1992
3.8856e-09,0.3132
3.9089e-09,0.4373
3.9321e-09,0.5621
3.9554e-09,0.6887
3.9787e-09,0.8087
4.0019e-09,0.9178
4.0252e-09,1.0118
4.0485e-09,1.0893
4.0717e-09,1.1514
4.0950e-09,1.1918
4.1183e-09,1.2158
4.1415e-09,1.2328
4.1648e-09,1.2452
4.1881e-09,1.2549
4.2113e-09,1.2642
4.2346e-09,1.2719
4.2579e-09,1.2732
4.2811e-09,1.2727
4.3044e-09,1.2724
4.3277e-09,1.2655
4.3509e-09,1.2524
4.3742e-09,1.2371
4.3975e-09,1.2171
4.4207e-09,1.1894
