.HEADER
..NAMES
Time,V U1.U1
.DATA
0.0e+00,1.1999
9.6e-12,1.1999
1.93e-11,1.1999
2.89e-11,1.1999
3.86e-11,1.1999
4.82e-11,1.1999
5.79e-11,1.1999
6.75e-11,1.1999
7.72e-11,1.1999
8.68e-11,1.1999
9.65e-11,1.1999
1.061e-10,1.1999
1.157e-10,1.1999
1.254e-10,1.1999
1.350e-10,1.1999
1.447e-10,1.1999
1.543e-10,1.1999
1.640e-10,1.1999
1.736e-10,1.1999
1.833e-10,1.1999
1.929e-10,1.1999
2.025e-10,1.1999
2.122e-10,1.1999
2.218e-10,1.1999
2.315e-10,1.1999
2.411e-10,1.1999
2.508e-10,1.1999
2.604e-10,1.1999
2.701e-10,1.1999
2.797e-10,1.1999
2.893e-10,1.1999
2.990e-10,1.1999
3.086e-10,1.1999
3.183e-10,1.1999
3.279e-10,1.1999
3.376e-10,1.1999
3.472e-10,1.1999
3.569e-10,1.1999
3.665e-10,1.1998
3.762e-10,1.1990
3.858e-10,1.1964
3.954e-10,1.1898
4.051e-10,1.1765
4.147e-10,1.1538
4.244e-10,1.1196
4.340e-10,1.0734
4.437e-10,1.0161
4.533e-10,0.9496
4.630e-10,0.8765
4.726e-10,0.7992
4.823e-10,0.7197
4.919e-10,0.6395
5.015e-10,0.5590
5.112e-10,0.4787
5.208e-10,0.3989
5.305e-10,0.3200
5.401e-10,0.2422
5.498e-10,0.1660
5.594e-10,0.0922
5.691e-10,0.0220
5.787e-10,-0.0432
5.883e-10,-0.1024
5.980e-10,-0.1547
6.076e-10,-0.1994
6.173e-10,-0.2357
6.269e-10,-0.2637
6.366e-10,-0.2839
6.462e-10,-0.2975
6.559e-10,-0.3058
6.655e-10,-0.3105
6.751e-10,-0.3127
6.848e-10,-0.3137
6.944e-10,-0.3142
7.041e-10,-0.3143
7.137e-10,-0.3140
7.234e-10,-0.3128
7.330e-10,-0.3105
7.427e-10,-0.3068
7.523e-10,-0.3016
7.620e-10,-0.2951
7.716e-10,-0.2875
7.812e-10,-0.2793
7.909e-10,-0.2709
8.005e-10,-0.2625
8.102e-10,-0.2542
8.198e-10,-0.2460
8.295e-10,-0.2376
8.391e-10,-0.2291
8.488e-10,-0.2205
8.584e-10,-0.2121
8.681e-10,-0.2047
