.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
0.0e+00,0.5159
2.33e-11,0.5159
4.65e-11,0.5159
6.98e-11,0.5159
9.31e-11,0.5159
1.163e-10,0.5159
1.396e-10,0.5159
1.629e-10,0.5159
1.861e-10,0.5159
2.094e-10,0.5159
2.327e-10,0.5159
2.559e-10,0.5159
2.792e-10,0.5159
3.025e-10,0.5159
3.257e-10,0.5159
3.490e-10,0.5159
3.723e-10,0.5159
3.955e-10,0.5159
4.188e-10,0.5159
4.421e-10,0.5159
4.653e-10,0.5159
4.886e-10,0.5159
5.119e-10,0.5159
5.351e-10,0.5159
5.584e-10,0.5159
5.817e-10,0.5159
6.049e-10,0.5159
6.282e-10,0.5159
6.515e-10,0.5159
6.747e-10,0.5159
6.980e-10,0.5159
7.213e-10,0.5159
7.445e-10,0.5159
7.678e-10,0.5159
7.911e-10,0.5159
8.143e-10,0.5159
8.376e-10,0.5159
8.609e-10,0.5159
8.841e-10,0.5159
9.074e-10,0.5159
9.307e-10,0.5159
9.539e-10,0.5165
9.772e-10,0.5211
1.0005e-09,0.5413
1.0237e-09,0.5975
1.0470e-09,0.6911
1.0703e-09,0.8017
1.0935e-09,0.9012
1.1168e-09,0.9774
1.1401e-09,1.0379
1.1633e-09,1.0946
1.1866e-09,1.1469
1.2099e-09,1.1837
1.2332e-09,1.2004
1.2564e-09,1.2016
1.2797e-09,1.1972
1.3030e-09,1.1942
1.3262e-09,1.1936
1.3495e-09,1.1929
1.3728e-09,1.1922
1.3960e-09,1.1948
1.4193e-09,1.2027
1.4426e-09,1.2139
1.4658e-09,1.2227
1.4891e-09,1.2251
1.5124e-09,1.2226
1.5356e-09,1.2189
1.5589e-09,1.2145
1.5822e-09,1.2053
1.6054e-09,1.1846
1.6287e-09,1.1423
1.6520e-09,1.0690
1.6752e-09,0.9746
1.6985e-09,0.8800
1.7218e-09,0.8040
1.7450e-09,0.7484
1.7683e-09,0.7031
1.7916e-09,0.6585
1.8148e-09,0.6171
1.8381e-09,0.5872
1.8614e-09,0.5697
1.8846e-09,0.5610
1.9079e-09,0.5557
1.9312e-09,0.5503
1.9544e-09,0.5440
1.9777e-09,0.5385
2.0010e-09,0.5332
2.0242e-09,0.5270
2.0475e-09,0.5197
2.0708e-09,0.5121
2.0940e-09,0.5057
2.1173e-09,0.5010
2.1406e-09,0.4972
2.1638e-09,0.4944
2.1871e-09,0.4954
2.2104e-09,0.5032
2.2336e-09,0.5208
2.2569e-09,0.5598
2.2802e-09,0.6354
2.3034e-09,0.7417
2.3267e-09,0.8548
2.3500e-09,0.9491
2.3732e-09,1.0185
2.3965e-09,1.0730
2.4198e-09,1.1234
2.4430e-09,1.1664
2.4663e-09,1.1931
2.4896e-09,1.2023
2.5128e-09,1.2001
2.5361e-09,1.1955
2.5594e-09,1.1936
2.5826e-09,1.1944
2.6059e-09,1.1957
2.6292e-09,1.1976
2.6524e-09,1.2024
2.6757e-09,1.2110
2.6990e-09,1.2209
2.7222e-09,1.2267
2.7455e-09,1.2258
2.7688e-09,1.2209
2.7920e-09,1.2155
2.8153e-09,1.2094
2.8386e-09,1.1980
2.8618e-09,1.1735
2.8851e-09,1.1237
2.9084e-09,1.0435
2.9316e-09,0.9473
2.9549e-09,0.8571
2.9782e-09,0.7881
3.0014e-09,0.7367
3.0247e-09,0.6921
3.0480e-09,0.6469
3.0712e-09,0.6077
3.0945e-09,0.5811
3.1178e-09,0.5664
3.1410e-09,0.5589
3.1643e-09,0.5535
3.1876e-09,0.5475
3.2108e-09,0.5415
3.2341e-09,0.5365
3.2574e-09,0.5314
3.2806e-09,0.5252
3.3039e-09,0.5178
3.3272e-09,0.5106
3.3504e-09,0.5049
3.3737e-09,0.5007
3.3970e-09,0.4969
3.4202e-09,0.4945
3.4435e-09,0.4967
3.4668e-09,0.5066
3.4901e-09,0.5283
3.5133e-09,0.5768
3.5366e-09,0.6624
3.5599e-09,0.7733
3.5831e-09,0.8832
3.6064e-09,0.9702
3.6297e-09,1.0346
3.6529e-09,1.0880
3.6762e-09,1.1376
3.6995e-09,1.1766
3.7227e-09,1.1978
3.7460e-09,1.2030
3.7693e-09,1.1994
3.7925e-09,1.1952
3.8158e-09,1.1941
3.8391e-09,1.1949
3.8623e-09,1.1959
3.8856e-09,1.1984
3.9089e-09,1.2043
3.9321e-09,1.2138
3.9554e-09,1.2230
3.9787e-09,1.2270
4.0019e-09,1.2246
4.0252e-09,1.2194
4.0485e-09,1.2141
4.0717e-09,1.2073
4.0950e-09,1.1932
4.1183e-09,1.1638
4.1415e-09,1.1059
4.1648e-09,1.0200
4.1881e-09,0.9227
4.2113e-09,0.8361
4.2346e-09,0.7717
4.2579e-09,0.7233
4.2811e-09,0.6791
4.3044e-09,0.6349
4.3277e-09,0.5985
4.3509e-09,0.5748
4.3742e-09,0.5626
4.3975e-09,0.5564
4.4207e-09,0.5513
4.4440e-09,0.5454
4.4673e-09,0.5396
4.4905e-09,0.5348
4.5138e-09,0.5296
4.5371e-09,0.5232
4.5603e-09,0.5159
4.5836e-09,0.5089
4.6069e-09,0.5036
4.6301e-09,0.4996
4.6534e-09,0.4961
4.6767e-09,0.4946
4.6999e-09,0.4986
4.7232e-09,0.5109
4.7465e-09,0.5383
4.7697e-09,0.5972
4.7930e-09,0.6914
4.8163e-09,0.8037
4.8395e-09,0.9078
4.8628e-09,0.9879
4.8861e-09,1.0489
4.9093e-09,1.1015
4.9326e-09,1.1492
4.9559e-09,1.1830
4.9791e-09,1.1995
5.0024e-09,1.2018
5.0257e-09,1.1980
5.0489e-09,1.1948
5.0722e-09,1.1944
5.0955e-09,1.1951
5.1187e-09,1.1964
5.1420e-09,1.1998
