.HEADER
..NAMES
Time,V U2.B7&A7
.DATA
0.0e+00,1.2000
2.33e-11,1.2000
4.65e-11,1.2000
6.98e-11,1.2000
9.31e-11,1.2000
1.163e-10,1.2000
1.396e-10,1.2000
1.629e-10,1.2000
1.861e-10,1.2000
2.094e-10,1.2000
2.327e-10,1.2000
2.559e-10,1.2000
2.792e-10,1.2000
3.025e-10,1.2000
3.257e-10,1.2000
3.490e-10,1.2000
3.723e-10,1.2000
3.955e-10,1.2000
4.188e-10,1.2000
4.421e-10,1.2000
4.653e-10,1.2000
4.886e-10,1.2000
5.119e-10,1.2000
5.351e-10,1.2000
5.584e-10,1.2000
5.817e-10,1.2000
6.049e-10,1.2000
6.282e-10,1.2000
6.515e-10,1.2000
6.747e-10,1.2000
6.980e-10,1.2000
7.213e-10,1.2000
7.445e-10,1.2000
7.678e-10,1.2000
7.911e-10,1.2000
8.143e-10,1.2000
8.376e-10,1.2000
8.609e-10,1.2000
8.841e-10,1.2000
9.074e-10,1.2000
9.307e-10,1.1998
9.539e-10,1.1963
9.772e-10,1.1760
1.0005e-09,1.1180
1.0237e-09,1.0097
1.0470e-09,0.8961
1.0703e-09,0.8173
1.0935e-09,0.7652
1.1168e-09,0.7188
1.1401e-09,0.6767
1.1633e-09,0.6440
1.1866e-09,0.6209
1.2099e-09,0.5992
1.2332e-09,0.5808
1.2564e-09,0.5693
1.2797e-09,0.5588
1.3030e-09,0.5445
1.3262e-09,0.5301
1.3495e-09,0.5207
1.3728e-09,0.5167
1.3960e-09,0.5179
1.4193e-09,0.5175
1.4426e-09,0.5082
1.4658e-09,0.4942
1.4891e-09,0.4867
1.5124e-09,0.4909
1.5356e-09,0.5003
1.5589e-09,0.5071
1.5822e-09,0.5150
1.6054e-09,0.5354
1.6287e-09,0.5952
1.6520e-09,0.7145
1.6752e-09,0.8450
1.6985e-09,0.9352
1.7218e-09,0.9975
1.7450e-09,1.0533
1.7683e-09,1.1053
1.7916e-09,1.1455
1.8148e-09,1.1667
1.8381e-09,1.1796
1.8614e-09,1.1892
1.8846e-09,1.1911
1.9079e-09,1.1895
1.9312e-09,1.1933
1.9544e-09,1.2016
1.9777e-09,1.2102
2.0010e-09,1.2147
2.0242e-09,1.2119
2.0475e-09,1.2093
2.0708e-09,1.2149
2.0940e-09,1.2237
2.1173e-09,1.2242
2.1406e-09,1.2119
2.1638e-09,1.1963
2.1871e-09,1.1875
2.2104e-09,1.1796
2.2336e-09,1.1515
2.2569e-09,1.0793
2.2802e-09,0.9656
2.3034e-09,0.8607
2.3267e-09,0.7928
2.3500e-09,0.7458
2.3732e-09,0.7033
2.3965e-09,0.6649
2.4198e-09,0.6359
2.4430e-09,0.6120
2.4663e-09,0.5881
2.4896e-09,0.5712
2.5128e-09,0.5633
2.5361e-09,0.5554
2.5594e-09,0.5412
2.5826e-09,0.5255
2.6059e-09,0.5154
2.6292e-09,0.5138
2.6524e-09,0.5178
2.6757e-09,0.5168
2.6990e-09,0.5052
2.7222e-09,0.4914
2.7455e-09,0.4873
2.7688e-09,0.4945
2.7920e-09,0.5039
2.8153e-09,0.5101
2.8386e-09,0.5199
2.8618e-09,0.5472
2.8851e-09,0.6217
2.9084e-09,0.7477
2.9316e-09,0.8679
2.9549e-09,0.9508
2.9782e-09,1.0127
3.0014e-09,1.0669
3.0247e-09,1.1151
3.0480e-09,1.1501
3.0712e-09,1.1697
3.0945e-09,1.1830
3.1178e-09,1.1905
3.1410e-09,1.1899
3.1643e-09,1.1894
3.1876e-09,1.1949
3.2108e-09,1.2033
3.2341e-09,1.2113
3.2574e-09,1.2141
3.2806e-09,1.2108
3.3039e-09,1.2103
3.3272e-09,1.2172
3.3504e-09,1.2241
3.3737e-09,1.2213
3.3970e-09,1.2079
3.4202e-09,1.1942
3.4435e-09,1.1863
3.4668e-09,1.1738
3.4901e-09,1.1356
3.5133e-09,1.0490
3.5366e-09,0.9321
3.5599e-09,0.8383
3.5831e-09,0.7803
3.6064e-09,0.7352
3.6297e-09,0.6930
3.6529e-09,0.6566
3.6762e-09,0.6302
3.6995e-09,0.6066
3.7227e-09,0.5837
3.7460e-09,0.5694
3.7693e-09,0.5623
3.7925e-09,0.5524
3.8158e-09,0.5367
3.8391e-09,0.5224
3.8623e-09,0.5146
3.8856e-09,0.5149
3.9089e-09,0.5184
3.9321e-09,0.5143
3.9554e-09,0.5008
3.9787e-09,0.4888
4.0019e-09,0.4885
4.0252e-09,0.4976
4.0485e-09,0.5061
4.0717e-09,0.5118
4.0950e-09,0.5243
4.1183e-09,0.5605
4.1415e-09,0.6520
4.1648e-09,0.7842
4.1881e-09,0.8960
4.2113e-09,0.9701
4.2346e-09,1.0282
4.2579e-09,1.0808
4.2811e-09,1.1270
4.3044e-09,1.1571
4.3277e-09,1.1735
4.3509e-09,1.1854
4.3742e-09,1.1909
4.3975e-09,1.1892
4.4207e-09,1.1899
4.4440e-09,1.1968
4.4673e-09,1.2059
4.4905e-09,1.2131
4.5138e-09,1.2136
4.5371e-09,1.2098
4.5603e-09,1.2113
4.5836e-09,1.2195
4.6069e-09,1.2251
4.6301e-09,1.2189
4.6534e-09,1.2039
4.6767e-09,1.1913
4.6999e-09,1.1837
4.7232e-09,1.1664
4.7465e-09,1.1162
4.7697e-09,1.0148
4.7930e-09,0.9003
4.8163e-09,0.8196
4.8395e-09,0.7684
4.8628e-09,0.7231
4.8861e-09,0.6819
4.9093e-09,0.6485
4.9326e-09,0.6244
4.9559e-09,0.6004
4.9791e-09,0.5786
5.0024e-09,0.5672
5.0257e-09,0.5605
5.0489e-09,0.5487
5.0722e-09,0.5326
5.0955e-09,0.5195
5.1187e-09,0.5138
5.1420e-09,0.5161
5.1653e-09,0.5186
5.1885e-09,0.5111
5.2118e-09,0.4965
5.2351e-09,0.4873
5.2583e-09,0.4907
5.2816e-09,0.5006
5.3049e-09,0.5075
5.3281e-09,0.5140
5.3514e-09,0.5306
5.3747e-09,0.5794
5.3979e-09,0.6872
5.4212e-09,0.8204
5.4445e-09,0.9211
5.4677e-09,0.9882
5.4910e-09,1.0439
5.5143e-09,1.0960
5.5375e-09,1.1384
5.5608e-09,1.1632
5.5841e-09,1.1776
5.6073e-09,1.1883
5.6306e-09,1.1913
5.6539e-09,1.1887
5.6771e-09,1.1912
5.7004e-09,1.1994
5.7237e-09,1.2086
5.7469e-09,1.2140
5.7702e-09,1.2124
5.7935e-09,1.2093
5.8168e-09,1.2132
5.8400e-09,1.2219
5.8633e-09,1.2249
5.8866e-09,1.2153
5.9098e-09,1.1997
5.9331e-09,1.1889
5.9564e-09,1.1810
5.9796e-09,1.1574
6.0029e-09,1.0942
