.HEADER
..NAMES
Time,V U2.J7
.DATA
0.0e+00,0.0022
9.6e-12,0.0022
1.93e-11,0.0022
2.89e-11,0.0022
3.86e-11,0.0022
4.82e-11,0.0022
5.79e-11,0.0022
6.75e-11,0.0022
7.72e-11,0.0022
8.68e-11,0.0022
9.65e-11,0.0022
1.061e-10,0.0022
1.157e-10,0.0022
1.254e-10,0.0022
1.350e-10,0.0022
1.447e-10,0.0022
1.543e-10,-0.0006
1.640e-10,-0.0008
1.736e-10,0.0107
1.833e-10,0.0297
1.929e-10,0.0487
2.025e-10,0.0714
2.122e-10,0.1007
2.218e-10,0.1376
2.315e-10,0.1890
2.411e-10,0.2487
2.508e-10,0.3062
2.604e-10,0.3613
2.701e-10,0.4115
2.797e-10,0.4554
2.893e-10,0.4981
2.990e-10,0.5380
3.086e-10,0.5705
3.183e-10,0.5952
3.279e-10,0.6100
3.376e-10,0.6141
3.472e-10,0.6137
3.569e-10,0.6123
3.665e-10,0.6107
3.762e-10,0.6107
3.858e-10,0.6108
3.954e-10,0.6091
4.051e-10,0.6079
4.147e-10,0.6086
4.244e-10,0.6112
4.340e-10,0.6171
4.437e-10,0.6240
4.533e-10,0.6284
4.630e-10,0.6301
4.726e-10,0.6297
4.823e-10,0.6268
4.919e-10,0.6226
5.015e-10,0.6178
5.112e-10,0.6113
5.208e-10,0.6035
5.305e-10,0.5959
5.401e-10,0.5899
5.498e-10,0.5871
5.594e-10,0.5884
5.691e-10,0.5932
5.787e-10,0.6011
5.883e-10,0.6110
5.980e-10,0.6208
6.076e-10,0.6291
6.173e-10,0.6357
6.269e-10,0.6396
6.366e-10,0.6395
6.462e-10,0.6343
6.559e-10,0.6231
6.655e-10,0.6070
6.751e-10,0.5893
6.848e-10,0.5723
6.944e-10,0.5580
7.041e-10,0.5479
7.137e-10,0.5418
7.234e-10,0.5398
7.330e-10,0.5438
7.427e-10,0.5552
7.523e-10,0.5741
7.620e-10,0.5996
7.716e-10,0.6289
7.812e-10,0.6572
7.909e-10,0.6641
8.005e-10,0.6554
8.102e-10,0.6449
8.198e-10,0.6206
8.295e-10,0.5859
8.391e-10,0.5614
8.488e-10,0.5289
8.584e-10,0.4820
8.681e-10,0.4371
8.777e-10,0.3874
8.873e-10,0.3386
8.970e-10,0.3085
9.066e-10,0.2889
9.163e-10,0.2745
9.259e-10,0.2719
9.356e-10,0.2719
9.452e-10,0.2720
9.549e-10,0.2812
9.645e-10,0.2957
9.741e-10,0.3136
9.838e-10,0.3390
9.934e-10,0.3637
1.0031e-09,0.3765
1.0127e-09,0.3839
1.0224e-09,0.3886
1.0320e-09,0.3921
1.0417e-09,0.4008
1.0513e-09,0.4102
1.0609e-09,0.4149
1.0706e-09,0.4190
1.0802e-09,0.4232
1.0899e-09,0.4271
1.0995e-09,0.4368
1.1092e-09,0.4519
1.1188e-09,0.4655
1.1285e-09,0.4770
1.1381e-09,0.4852
1.1478e-09,0.4867
1.1574e-09,0.4833
1.1670e-09,0.4779
1.1767e-09,0.4696
1.1863e-09,0.4590
1.1960e-09,0.4471
1.2056e-09,0.4349
1.2153e-09,0.4268
1.2249e-09,0.4260
1.2346e-09,0.4314
1.2442e-09,0.4428
1.2539e-09,0.4590
1.2635e-09,0.4762
1.2731e-09,0.4939
1.2828e-09,0.5128
1.2924e-09,0.5302
1.3021e-09,0.5440
1.3117e-09,0.5520
1.3214e-09,0.5507
1.3310e-09,0.5402
1.3407e-09,0.5229
1.3503e-09,0.4992
1.3599e-09,0.4696
1.3696e-09,0.4348
1.3792e-09,0.3929
1.3889e-09,0.3445
1.3985e-09,0.2928
1.4082e-09,0.2396
1.4178e-09,0.1872
1.4275e-09,0.1398
1.4371e-09,0.0978
1.4468e-09,0.0599
1.4564e-09,0.0266
1.4660e-09,-0.0011
1.4757e-09,-0.0227
1.4853e-09,-0.0371
1.4950e-09,-0.0453
1.5046e-09,-0.0498
1.5143e-09,-0.0532
1.5239e-09,-0.0574
1.5336e-09,-0.0633
1.5432e-09,-0.0691
1.5528e-09,-0.0733
1.5625e-09,-0.0754
1.5721e-09,-0.0756
1.5818e-09,-0.0750
1.5914e-09,-0.0746
1.6011e-09,-0.0732
1.6107e-09,-0.0700
1.6204e-09,-0.0648
1.6300e-09,-0.0579
1.6396e-09,-0.0509
1.6493e-09,-0.0457
1.6589e-09,-0.0428
1.6686e-09,-0.0422
1.6782e-09,-0.0434
1.6879e-09,-0.0451
1.6975e-09,-0.0464
1.7072e-09,-0.0482
1.7168e-09,-0.0508
1.7265e-09,-0.0545
1.7361e-09,-0.0595
1.7457e-09,-0.0648
1.7554e-09,-0.0696
1.7650e-09,-0.0740
1.7747e-09,-0.0782
1.7843e-09,-0.0826
1.7940e-09,-0.0872
1.8036e-09,-0.0912
1.8133e-09,-0.0941
1.8229e-09,-0.0952
1.8326e-09,-0.0946
1.8422e-09,-0.0927
1.8518e-09,-0.0906
1.8615e-09,-0.0886
1.8711e-09,-0.0871
1.8808e-09,-0.0864
1.8904e-09,-0.0865
1.9001e-09,-0.0871
1.9097e-09,-0.0883
1.9194e-09,-0.0894
1.9290e-09,-0.0900
1.9386e-09,-0.0895
1.9483e-09,-0.0876
1.9579e-09,-0.0835
1.9676e-09,-0.0775
1.9772e-09,-0.0699
1.9869e-09,-0.0612
1.9965e-09,-0.0520
2.0062e-09,-0.0428
2.0158e-09,-0.0339
2.0255e-09,-0.0281
2.0351e-09,-0.0267
2.0447e-09,-0.0177
2.0544e-09,0.0023
2.0640e-09,0.0235
2.0737e-09,0.0448
2.0833e-09,0.0722
2.0930e-09,0.1046
2.1026e-09,0.1496
2.1123e-09,0.2090
2.1219e-09,0.2695
2.1315e-09,0.3283
2.1412e-09,0.3840
2.1508e-09,0.4324
2.1605e-09,0.4779
2.1701e-09,0.5232
2.1798e-09,0.5630
2.1894e-09,0.5957
2.1991e-09,0.6200
2.2087e-09,0.6322
2.2183e-09,0.6361
2.2280e-09,0.6375
2.2376e-09,0.6367
2.2473e-09,0.6360
2.2569e-09,0.6356
2.2666e-09,0.6328
2.2762e-09,0.6289
2.2859e-09,0.6266
2.2955e-09,0.6262
2.3052e-09,0.6295
2.3148e-09,0.6369
2.3244e-09,0.6440
2.3341e-09,0.6493
2.3437e-09,0.6533
2.3534e-09,0.6553
2.3630e-09,0.6550
2.3727e-09,0.6535
2.3823e-09,0.6499
2.3920e-09,0.6435
2.4016e-09,0.6356
2.4113e-09,0.6279
2.4209e-09,0.6225
2.4305e-09,0.6209
2.4402e-09,0.6233
2.4498e-09,0.6297
2.4595e-09,0.6396
2.4691e-09,0.6511
2.4788e-09,0.6621
2.4884e-09,0.6719
2.4981e-09,0.6796
2.5077e-09,0.6837
2.5173e-09,0.6828
2.5270e-09,0.6754
2.5366e-09,0.6612
2.5463e-09,0.6429
2.5559e-09,0.6235
2.5656e-09,0.6054
2.5752e-09,0.5904
2.5849e-09,0.5790
2.5945e-09,0.5707
2.6042e-09,0.5668
2.6138e-09,0.5695
2.6234e-09,0.5796
2.6331e-09,0.5975
2.6427e-09,0.6213
2.6524e-09,0.6475
2.6620e-09,0.6747
2.6717e-09,0.7036
2.6813e-09,0.7344
2.6910e-09,0.7669
2.7006e-09,0.8001
2.7102e-09,0.8322
2.7199e-09,0.8615
2.7295e-09,0.8876
2.7392e-09,0.9108
2.7488e-09,0.9322
2.7585e-09,0.9531
2.7681e-09,0.9735
2.7778e-09,0.9931
2.7874e-09,1.0117
2.7970e-09,1.0294
2.8067e-09,1.0469
2.8163e-09,1.0654
2.8260e-09,1.0849
2.8356e-09,1.1045
2.8453e-09,1.1228
2.8549e-09,1.1383
2.8646e-09,1.1504
2.8742e-09,1.1595
2.8839e-09,1.1658
2.8935e-09,1.1699
2.9031e-09,1.1722
2.9128e-09,1.1728
2.9224e-09,1.1719
2.9321e-09,1.1707
2.9417e-09,1.1699
2.9514e-09,1.1702
2.9610e-09,1.1718
2.9707e-09,1.1745
2.9803e-09,1.1779
2.9900e-09,1.1816
2.9996e-09,1.1849
3.0092e-09,1.1878
3.0189e-09,1.1902
3.0285e-09,1.1926
3.0382e-09,1.1952
3.0478e-09,1.1981
3.0575e-09,1.2010
3.0671e-09,1.2038
3.0768e-09,1.2067
3.0864e-09,1.2102
3.0960e-09,1.2140
3.1057e-09,1.2180
3.1153e-09,1.2217
3.1250e-09,1.2246
3.1346e-09,1.2266
3.1443e-09,1.2279
3.1539e-09,1.2289
3.1636e-09,1.2295
3.1732e-09,1.2295
3.1828e-09,1.2285
3.1925e-09,1.2265
3.2021e-09,1.2236
3.2118e-09,1.2198
3.2214e-09,1.2151
3.2311e-09,1.2092
3.2407e-09,1.2021
3.2504e-09,1.1941
3.2600e-09,1.1857
3.2697e-09,1.1775
3.2793e-09,1.1701
3.2889e-09,1.1639
3.2986e-09,1.1591
3.3082e-09,1.1558
3.3179e-09,1.1539
3.3275e-09,1.1533
3.3372e-09,1.1539
3.3468e-09,1.1554
3.3565e-09,1.1573
3.3661e-09,1.1592
3.3757e-09,1.1606
3.3854e-09,1.1616
3.3950e-09,1.1624
3.4047e-09,1.1633
3.4143e-09,1.1645
3.4240e-09,1.1661
3.4336e-09,1.1679
3.4433e-09,1.1699
3.4529e-09,1.1722
3.4626e-09,1.1747
3.4722e-09,1.1774
3.4818e-09,1.1801
3.4915e-09,1.1828
3.5011e-09,1.1850
3.5108e-09,1.1870
3.5204e-09,1.1887
3.5301e-09,1.1903
3.5397e-09,1.1919
3.5494e-09,1.1934
3.5590e-09,1.1949
3.5687e-09,1.1961
3.5783e-09,1.1970
3.5879e-09,1.1972
3.5976e-09,1.1969
3.6072e-09,1.1961
3.6169e-09,1.1950
3.6265e-09,1.1937
3.6362e-09,1.1923
3.6458e-09,1.1909
3.6555e-09,1.1898
3.6651e-09,1.1891
3.6747e-09,1.1891
3.6844e-09,1.1896
3.6940e-09,1.1906
3.7037e-09,1.1918
3.7133e-09,1.1929
3.7230e-09,1.1938
3.7326e-09,1.1945
3.7423e-09,1.1950
3.7519e-09,1.1955
3.7616e-09,1.1959
3.7712e-09,1.1964
3.7808e-09,1.1972
3.7905e-09,1.1982
3.8001e-09,1.1996
3.8098e-09,1.2013
3.8194e-09,1.2033
3.8291e-09,1.2054
3.8387e-09,1.2074
3.8484e-09,1.2091
3.8580e-09,1.2104
3.8676e-09,1.2113
3.8773e-09,1.2120
3.8869e-09,1.2124
3.8966e-09,1.2126
3.9062e-09,1.2130
3.9159e-09,1.2064
3.9255e-09,1.1818
3.9352e-09,1.1441
3.9448e-09,1.0845
3.9545e-09,1.0053
3.9641e-09,0.9259
3.9737e-09,0.8469
3.9834e-09,0.7612
3.9930e-09,0.6757
4.0027e-09,0.5925
4.0123e-09,0.5084
4.0220e-09,0.4341
4.0316e-09,0.3735
4.0413e-09,0.3257
4.0509e-09,0.2969
4.0605e-09,0.2844
4.0702e-09,0.2794
4.0798e-09,0.2817
4.0895e-09,0.2908
4.0991e-09,0.3051
4.1088e-09,0.3284
4.1184e-09,0.3571
4.1281e-09,0.3769
4.1377e-09,0.3899
4.1474e-09,0.4009
4.1570e-09,0.4096
4.1666e-09,0.4210
4.1763e-09,0.4336
4.1859e-09,0.4405
4.1956e-09,0.4433
4.2052e-09,0.4455
4.2149e-09,0.4466
