.HEADER
..NAMES
Time,V U2.A3
.DATA
0.0e+00,1.1999
9.6e-12,1.1999
1.93e-11,1.1999
2.89e-11,1.1999
3.86e-11,1.1999
4.82e-11,1.1999
5.79e-11,1.1999
6.75e-11,1.1999
7.72e-11,1.1999
8.68e-11,1.1999
9.65e-11,1.1999
1.061e-10,1.1999
1.157e-10,1.1999
1.254e-10,1.1999
1.350e-10,1.1999
1.447e-10,1.1999
1.543e-10,1.1999
1.640e-10,1.2005
1.736e-10,1.1869
1.833e-10,1.1516
1.929e-10,1.0924
2.025e-10,1.0012
2.122e-10,0.8846
2.218e-10,0.7654
2.315e-10,0.6539
2.411e-10,0.5534
2.508e-10,0.4743
2.604e-10,0.4244
2.701e-10,0.3982
2.797e-10,0.3879
2.893e-10,0.3888
2.990e-10,0.3973
3.086e-10,0.4077
3.183e-10,0.4141
3.279e-10,0.4156
3.376e-10,0.4118
3.472e-10,0.4023
3.569e-10,0.3919
3.665e-10,0.3905
3.762e-10,0.3975
3.858e-10,0.4019
3.954e-10,0.4057
4.051e-10,0.4162
4.147e-10,0.4330
4.244e-10,0.4532
4.340e-10,0.4745
4.437e-10,0.4938
4.533e-10,0.5065
4.630e-10,0.5107
4.726e-10,0.5076
4.823e-10,0.4972
4.919e-10,0.4792
5.015e-10,0.4568
5.112e-10,0.4346
5.208e-10,0.4132
5.305e-10,0.3902
5.401e-10,0.3672
5.498e-10,0.3476
5.594e-10,0.3321
5.691e-10,0.3198
5.787e-10,0.3132
5.883e-10,0.3171
5.980e-10,0.3349
6.076e-10,0.3687
6.173e-10,0.4176
6.269e-10,0.4759
6.366e-10,0.5339
6.462e-10,0.5814
6.559e-10,0.6106
6.655e-10,0.6163
6.751e-10,0.5982
6.848e-10,0.5638
6.944e-10,0.5240
7.041e-10,0.4870
7.137e-10,0.4565
7.234e-10,0.4333
7.330e-10,0.4160
7.427e-10,0.4005
7.523e-10,0.3816
7.620e-10,0.3554
7.716e-10,0.3196
7.812e-10,0.2733
7.909e-10,0.2182
8.005e-10,0.1577
8.102e-10,0.0962
8.198e-10,0.0380
8.295e-10,-0.0117
8.391e-10,-0.0492
8.488e-10,-0.0732
8.584e-10,-0.0850
8.681e-10,-0.0860
8.777e-10,-0.0780
8.873e-10,-0.0638
