.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
0.0e+00,1.2000
2.33e-11,1.2000
4.65e-11,1.2000
6.98e-11,1.2000
9.31e-11,1.2000
1.163e-10,1.2000
1.396e-10,1.2000
1.629e-10,1.2000
1.861e-10,1.2000
2.094e-10,1.2000
2.327e-10,1.2000
2.559e-10,1.2000
2.792e-10,1.2000
3.025e-10,1.2000
3.257e-10,1.2000
3.490e-10,1.2000
3.723e-10,1.2000
3.955e-10,1.2000
4.188e-10,1.2000
4.421e-10,1.2000
4.653e-10,1.2000
4.886e-10,1.2000
5.119e-10,1.2000
5.351e-10,1.2000
5.584e-10,1.2000
5.817e-10,1.2000
6.049e-10,1.2000
6.282e-10,1.2000
6.515e-10,1.2000
6.747e-10,1.2000
6.980e-10,1.2000
7.213e-10,1.2000
7.445e-10,1.2000
7.678e-10,1.1971
7.911e-10,1.1626
8.143e-10,1.0950
8.376e-10,0.9403
8.609e-10,0.8092
8.841e-10,0.7219
9.074e-10,0.6645
9.307e-10,0.6284
9.539e-10,0.6144
9.772e-10,0.6091
1.0005e-09,0.5991
1.0237e-09,0.5830
1.0470e-09,0.5659
1.0703e-09,0.5502
1.0935e-09,0.5348
1.1168e-09,0.5199
1.1401e-09,0.5099
1.1633e-09,0.5093
1.1866e-09,0.5162
1.2099e-09,0.5251
1.2332e-09,0.5328
1.2564e-09,0.5430
1.2797e-09,0.5587
1.3030e-09,0.5745
1.3262e-09,0.5839
1.3495e-09,0.5859
1.3728e-09,0.5833
1.3960e-09,0.5769
1.4193e-09,0.5759
1.4426e-09,0.6323
1.4658e-09,0.8068
1.4891e-09,0.9564
1.5124e-09,1.0530
1.5356e-09,1.1143
1.5589e-09,1.1503
1.5822e-09,1.1599
1.6054e-09,1.1556
1.6287e-09,1.1560
1.6520e-09,1.1619
1.6752e-09,1.1683
1.6985e-09,1.1737
1.7218e-09,1.1810
1.7450e-09,1.1906
1.7683e-09,1.1969
1.7916e-09,1.1943
1.8148e-09,1.1844
1.8381e-09,1.1743
1.8614e-09,1.1671
1.8846e-09,1.1593
1.9079e-09,1.1474
1.9312e-09,1.1367
1.9544e-09,1.1335
1.9777e-09,1.1383
2.0010e-09,1.1467
2.0242e-09,1.1487
2.0475e-09,1.1176
2.0708e-09,1.0379
2.0940e-09,0.8926
2.1173e-09,0.7715
2.1406e-09,0.6991
2.1638e-09,0.6478
2.1871e-09,0.6202
2.2104e-09,0.6097
2.2336e-09,0.6021
2.2569e-09,0.5889
2.2802e-09,0.5722
2.3034e-09,0.5572
2.3267e-09,0.5437
2.3500e-09,0.5291
2.3732e-09,0.5156
2.3965e-09,0.5093
2.4198e-09,0.5131
2.4430e-09,0.5225
2.4663e-09,0.5312
2.4896e-09,0.5386
2.5128e-09,0.5495
2.5361e-09,0.5651
2.5594e-09,0.5785
2.5826e-09,0.5846
2.6059e-09,0.5843
2.6292e-09,0.5804
2.6524e-09,0.5727
2.6757e-09,0.5801
2.6990e-09,0.6666
2.7222e-09,0.8508
2.7455e-09,0.9761
2.7688e-09,1.0676
2.7920e-09,1.1281
2.8153e-09,1.1523
2.8386e-09,1.1572
2.8618e-09,1.1546
2.8851e-09,1.1570
2.9084e-09,1.1629
2.9316e-09,1.1687
2.9549e-09,1.1749
2.9782e-09,1.1833
3.0014e-09,1.1926
3.0247e-09,1.1968
3.0480e-09,1.1922
3.0712e-09,1.1822
3.0945e-09,1.1731
3.1178e-09,1.1660
3.1410e-09,1.1569
3.1643e-09,1.1448
3.1876e-09,1.1361
3.2108e-09,1.1351
3.2341e-09,1.1406
3.2574e-09,1.1490
3.2806e-09,1.1401
3.3039e-09,1.1051
3.3272e-09,0.9955
3.3504e-09,0.8523
3.3737e-09,0.7488
3.3970e-09,0.6857
3.4202e-09,0.6424
3.4435e-09,0.6177
3.4668e-09,0.6100
3.4901e-09,0.6004
3.5133e-09,0.5851
3.5366e-09,0.5680
3.5599e-09,0.5534
3.5831e-09,0.5397
3.6064e-09,0.5250
3.6297e-09,0.5129
3.6529e-09,0.5096
3.6762e-09,0.5156
3.6995e-09,0.5254
3.7227e-09,0.5334
3.7460e-09,0.5412
3.7693e-09,0.5538
3.7925e-09,0.5696
3.8158e-09,0.5811
3.8391e-09,0.5850
3.8623e-09,0.5833
3.8856e-09,0.5786
3.9089e-09,0.5720
3.9321e-09,0.5919
3.9554e-09,0.7176
3.9787e-09,0.8882
4.0019e-09,1.0122
4.0252e-09,1.0890
4.0485e-09,1.1363
4.0717e-09,1.1564
4.0950e-09,1.1562
4.1183e-09,1.1541
4.1415e-09,1.1580
4.1648e-09,1.1644
4.1881e-09,1.1703
4.2113e-09,1.1770
4.2346e-09,1.1861
4.2579e-09,1.1948
4.2811e-09,1.1969
4.3044e-09,1.1901
4.3277e-09,1.1796
4.3509e-09,1.1711
4.3742e-09,1.1640
4.3975e-09,1.1539
4.4207e-09,1.1418
4.4440e-09,1.1347
4.4673e-09,1.1357
4.4905e-09,1.1426
4.5138e-09,1.1516
4.5371e-09,1.1317
4.5603e-09,1.0872
4.5836e-09,0.9471
4.6069e-09,0.8162
4.6301e-09,0.7320
4.6534e-09,0.6720
4.6767e-09,0.6351
4.6999e-09,0.6169
4.7232e-09,0.6092
4.7465e-09,0.5972
4.7697e-09,0.5801
4.7930e-09,0.5637
4.8163e-09,0.5499
4.8395e-09,0.5359
4.8628e-09,0.5211
4.8861e-09,0.5109
4.9093e-09,0.5107
4.9326e-09,0.5186
4.9559e-09,0.5281
4.9791e-09,0.5354
5.0024e-09,0.5442
5.0257e-09,0.5584
5.0489e-09,0.5738
5.0722e-09,0.5830
5.0955e-09,0.5848
5.1187e-09,0.5822
5.1420e-09,0.5767
5.1653e-09,0.5726
5.1885e-09,0.6095
5.2118e-09,0.7700
5.2351e-09,0.9294
5.2583e-09,1.0354
5.2816e-09,1.1086
5.3049e-09,1.1459
5.3281e-09,1.1591
5.3514e-09,1.1562
5.3747e-09,1.1550
5.3979e-09,1.1600
5.4212e-09,1.1663
5.4445e-09,1.1720
5.4677e-09,1.1792
5.4910e-09,1.1889
5.5143e-09,1.1965
5.5375e-09,1.1960
5.5608e-09,1.1873
5.5841e-09,1.1769
5.6073e-09,1.1692
5.6306e-09,1.1617
5.6539e-09,1.1505
5.6771e-09,1.1389
5.7004e-09,1.1340
5.7237e-09,1.1371
5.7469e-09,1.1449
5.7702e-09,1.1490
5.7935e-09,1.1236
5.8168e-09,1.0571
5.8400e-09,0.9109
5.8633e-09,0.7925
5.8866e-09,0.7129
5.9098e-09,0.6593
5.9331e-09,0.6262
5.9564e-09,0.6134
5.9796e-09,0.6054
6.0029e-09,0.5923
