.HEADER
..NAMES
Time,V U2.L3
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0037
3.490e-10,0.0138
3.723e-10,0.0529
3.955e-10,0.1519
4.188e-10,0.2938
4.421e-10,0.4291
4.653e-10,0.5592
4.886e-10,0.7072
5.119e-10,0.8583
5.351e-10,0.9913
5.584e-10,1.0954
5.817e-10,1.1674
6.049e-10,1.2101
6.282e-10,1.2338
6.515e-10,1.2507
6.747e-10,1.2691
6.980e-10,1.2907
7.213e-10,1.3073
7.445e-10,1.3109
7.678e-10,1.3034
7.911e-10,1.2923
8.143e-10,1.2763
8.376e-10,1.2409
8.609e-10,1.1840
8.841e-10,1.1246
9.074e-10,1.0789
9.307e-10,1.0489
9.539e-10,1.0321
9.772e-10,1.0270
1.0005e-09,1.0318
1.0237e-09,1.0450
1.0470e-09,1.0656
1.0703e-09,1.0916
1.0935e-09,1.1184
1.1168e-09,1.1391
1.1401e-09,1.1484
1.1633e-09,1.1499
1.1866e-09,1.1537
1.2099e-09,1.1664
1.2332e-09,1.1852
1.2564e-09,1.2037
1.2797e-09,1.2218
1.3030e-09,1.2422
1.3262e-09,1.2627
1.3495e-09,1.2772
1.3728e-09,1.2812
1.3960e-09,1.2743
1.4193e-09,1.2587
1.4426e-09,1.2395
1.4658e-09,1.2218
1.4891e-09,1.2088
1.5124e-09,1.2000
1.5356e-09,1.1930
1.5589e-09,1.1871
1.5822e-09,1.1845
1.6054e-09,1.1870
1.6287e-09,1.1917
1.6520e-09,1.1929
1.6752e-09,1.1881
1.6985e-09,1.1800
1.7218e-09,1.1724
1.7450e-09,1.1675
1.7683e-09,1.1659
1.7916e-09,1.1679
1.8148e-09,1.1734
1.8381e-09,1.1819
1.8614e-09,1.1929
1.8846e-09,1.2047
1.9079e-09,1.2147
1.9312e-09,1.2202
1.9544e-09,1.2198
1.9777e-09,1.2159
2.0010e-09,1.2118
2.0242e-09,1.2094
2.0475e-09,1.2080
2.0708e-09,1.2063
2.0940e-09,1.2050
2.1173e-09,1.2053
2.1406e-09,1.2078
2.1638e-09,1.2110
2.1871e-09,1.2132
2.2104e-09,1.2127
2.2336e-09,1.2092
2.2569e-09,1.2036
2.2802e-09,1.1978
2.3034e-09,1.1931
2.3267e-09,1.1898
2.3500e-09,1.1880
2.3732e-09,1.1880
2.3965e-09,1.1903
2.4198e-09,1.1947
2.4430e-09,1.1996
2.4663e-09,1.2030
2.4896e-09,1.2038
2.5128e-09,1.2027
2.5361e-09,1.2012
2.5594e-09,1.2000
2.5826e-09,1.1992
2.6059e-09,1.1987
2.6292e-09,1.1985
2.6524e-09,1.1990
2.6757e-09,1.2006
2.6990e-09,1.2034
2.7222e-09,1.2064
2.7455e-09,1.2084
2.7688e-09,1.2087
2.7920e-09,1.2073
2.8153e-09,1.2015
2.8386e-09,1.1766
2.8618e-09,1.1127
2.8851e-09,0.9862
2.9084e-09,0.8280
2.9316e-09,0.6857
2.9549e-09,0.5480
2.9782e-09,0.3939
3.0014e-09,0.2409
3.0247e-09,0.1113
3.0480e-09,0.0152
3.0712e-09,-0.0474
3.0945e-09,-0.0825
3.1178e-09,-0.1037
3.1410e-09,-0.1221
3.1643e-09,-0.1439
3.1876e-09,-0.1666
3.2108e-09,-0.1799
3.2341e-09,-0.1777
3.2574e-09,-0.1645
3.2806e-09,-0.1477
3.3039e-09,-0.1229
3.3272e-09,-0.0758
3.3504e-09,-0.0087
3.3737e-09,0.0556
3.3970e-09,0.1020
3.4202e-09,0.1318
3.4435e-09,0.1497
3.4668e-09,0.1577
3.4901e-09,0.1569
3.5133e-09,0.1476
3.5366e-09,0.1302
3.5599e-09,0.1074
3.5831e-09,0.0849
3.6064e-09,0.0701
3.6297e-09,0.0662
3.6529e-09,0.0669
3.6762e-09,0.0615
3.6995e-09,0.0453
3.7227e-09,0.0237
3.7460e-09,0.0032
3.7693e-09,-0.0169
3.7925e-09,-0.0396
3.8158e-09,-0.0618
3.8391e-09,-0.0765
3.8623e-09,-0.0796
3.8856e-09,-0.0717
3.9089e-09,-0.0564
3.9321e-09,-0.0392
3.9554e-09,-0.0247
3.9787e-09,-0.0147
4.0019e-09,-0.0075
4.0252e-09,-0.0004
4.0485e-09,0.0060
4.0717e-09,0.0092
4.0950e-09,0.0148
4.1183e-09,0.0463
4.1415e-09,0.1385
4.1648e-09,0.2853
4.1881e-09,0.4337
4.2113e-09,0.5710
4.2346e-09,0.7198
4.2579e-09,0.8717
4.2811e-09,1.0040
4.3044e-09,1.1049
4.3277e-09,1.1708
4.3509e-09,1.2047
4.3742e-09,1.2180
4.3975e-09,1.2265
4.4207e-09,1.2417
4.4440e-09,1.2662
