.HEADER
..NAMES
Time,V U2.K7&K8
.DATA
0.0e+00,-0.6157
2.33e-11,-0.6157
4.65e-11,-0.6157
6.98e-11,-0.6157
9.31e-11,-0.6157
1.163e-10,-0.6157
1.396e-10,-0.6157
1.629e-10,-0.6157
1.861e-10,-0.6157
2.094e-10,-0.6157
2.327e-10,-0.6157
2.559e-10,-0.6157
2.792e-10,-0.6157
3.025e-10,-0.6157
3.257e-10,-0.6157
3.490e-10,-0.6157
3.723e-10,-0.6157
3.955e-10,-0.6157
4.188e-10,-0.6157
4.421e-10,-0.6157
4.653e-10,-0.6157
4.886e-10,-0.6157
5.119e-10,-0.6157
5.351e-10,-0.6157
5.584e-10,-0.6157
5.817e-10,-0.6157
6.049e-10,-0.6157
6.282e-10,-0.6157
6.515e-10,-0.6157
6.747e-10,-0.6157
6.980e-10,-0.6157
7.213e-10,-0.6157
7.445e-10,-0.6157
7.678e-10,-0.6157
7.911e-10,-0.6157
8.143e-10,-0.6157
8.376e-10,-0.6157
8.609e-10,-0.6157
8.841e-10,-0.6156
9.074e-10,-0.6122
9.307e-10,-0.5938
9.539e-10,-0.5356
9.772e-10,-0.4063
1.0005e-09,-0.2438
1.0237e-09,-0.0857
1.0470e-09,0.1001
1.0703e-09,0.3090
1.0935e-09,0.4852
1.1168e-09,0.5801
1.1401e-09,0.6151
1.1633e-09,0.6347
1.1866e-09,0.6378
1.2099e-09,0.6196
1.2332e-09,0.6028
1.2564e-09,0.6113
1.2797e-09,0.6419
1.3030e-09,0.6741
1.3262e-09,0.6940
1.3495e-09,0.6971
1.3728e-09,0.6827
1.3960e-09,0.6506
1.4193e-09,0.6049
1.4426e-09,0.5588
1.4658e-09,0.5297
1.4891e-09,0.5258
1.5124e-09,0.5409
1.5356e-09,0.5629
1.5589e-09,0.5734
1.5822e-09,0.5362
1.6054e-09,0.4120
1.6287e-09,0.2462
1.6520e-09,0.0731
1.6752e-09,-0.1405
1.6985e-09,-0.3696
1.7218e-09,-0.5455
1.7450e-09,-0.6218
1.7683e-09,-0.6358
1.7916e-09,-0.6342
1.8148e-09,-0.6125
1.8381e-09,-0.5773
1.8614e-09,-0.5619
1.8846e-09,-0.5862
1.9079e-09,-0.6362
1.9312e-09,-0.6863
1.9544e-09,-0.7199
1.9777e-09,-0.7267
2.0010e-09,-0.7036
2.0242e-09,-0.6559
2.0475e-09,-0.5942
2.0708e-09,-0.5352
2.0940e-09,-0.5008
2.1173e-09,-0.5023
2.1406e-09,-0.5305
2.1638e-09,-0.5651
2.1871e-09,-0.5837
2.2104e-09,-0.5452
2.2336e-09,-0.4138
2.2569e-09,-0.2385
2.2802e-09,-0.0473
2.3034e-09,0.1815
2.3267e-09,0.4147
2.3500e-09,0.5827
2.3732e-09,0.6462
2.3965e-09,0.6466
2.4198e-09,0.6295
2.4430e-09,0.5965
2.4663e-09,0.5589
2.4896e-09,0.5484
2.5128e-09,0.5821
2.5361e-09,0.6423
2.5594e-09,0.6995
2.5826e-09,0.7346
2.6059e-09,0.7383
2.6292e-09,0.7088
2.6524e-09,0.6517
2.6757e-09,0.5816
2.6990e-09,0.5204
2.7222e-09,0.4899
2.7455e-09,0.4968
2.7688e-09,0.5306
2.7920e-09,0.5717
2.8153e-09,0.5911
2.8386e-09,0.5402
2.8618e-09,0.3956
2.8851e-09,0.2189
2.9084e-09,0.0196
2.9316e-09,-0.2208
2.9549e-09,-0.4529
2.9782e-09,-0.6045
3.0014e-09,-0.6502
3.0247e-09,-0.6450
3.0480e-09,-0.6239
3.0712e-09,-0.5844
3.0945e-09,-0.5466
3.1178e-09,-0.5451
3.1410e-09,-0.5886
3.1643e-09,-0.6530
3.1876e-09,-0.7105
3.2108e-09,-0.7434
3.2341e-09,-0.7411
3.2574e-09,-0.7037
3.2806e-09,-0.6407
3.3039e-09,-0.5678
3.3272e-09,-0.5072
3.3504e-09,-0.4815
3.3737e-09,-0.4962
3.3970e-09,-0.5362
3.4202e-09,-0.5773
3.4435e-09,-0.5924
3.4668e-09,-0.5310
3.4901e-09,-0.3784
3.5133e-09,-0.1943
3.5366e-09,0.0137
3.5599e-09,0.2557
3.5831e-09,0.4808
3.6064e-09,0.6198
3.6297e-09,0.6554
3.6529e-09,0.6429
3.6762e-09,0.6163
3.6995e-09,0.5761
3.7227e-09,0.5425
3.7460e-09,0.5468
3.7693e-09,0.5955
3.7925e-09,0.6626
3.8158e-09,0.7190
3.8391e-09,0.7472
3.8623e-09,0.7400
3.8856e-09,0.6985
3.9089e-09,0.6316
3.9321e-09,0.5578
3.9554e-09,0.5015
3.9787e-09,0.4821
4.0019e-09,0.5004
4.0252e-09,0.5423
4.0485e-09,0.5847
4.0717e-09,0.5935
4.0950e-09,0.5154
4.1183e-09,0.3538
4.1415e-09,0.1708
4.1648e-09,-0.0430
4.1881e-09,-0.2903
4.2113e-09,-0.5089
4.2346e-09,-0.6296
4.2579e-09,-0.6526
4.2811e-09,-0.6394
4.3044e-09,-0.6116
4.3277e-09,-0.5684
4.3509e-09,-0.5377
4.3742e-09,-0.5507
4.3975e-09,-0.6052
4.4207e-09,-0.6723
4.4440e-09,-0.7259
4.4673e-09,-0.7500
4.4905e-09,-0.7367
4.5138e-09,-0.6894
4.5371e-09,-0.6202
4.5603e-09,-0.5467
4.5836e-09,-0.4931
4.6069e-09,-0.4794
4.6301e-09,-0.5044
4.6534e-09,-0.5487
4.6767e-09,-0.5868
4.6999e-09,-0.5864
4.7232e-09,-0.4957
4.7465e-09,-0.3275
4.7697e-09,-0.1393
4.7930e-09,0.0828
4.8163e-09,0.3280
4.8395e-09,0.5341
4.8628e-09,0.6403
4.8861e-09,0.6547
4.9093e-09,0.6370
4.9326e-09,0.6045
4.9559e-09,0.5621
4.9791e-09,0.5371
5.0024e-09,0.5561
5.0257e-09,0.6143
5.0489e-09,0.6814
5.0722e-09,0.7315
5.0955e-09,0.7501
5.1187e-09,0.7323
5.1420e-09,0.6813
5.1653e-09,0.6094
5.1885e-09,0.5376
5.2118e-09,0.4905
5.2351e-09,0.4831
5.2583e-09,0.5105
5.2816e-09,0.5559
5.3049e-09,0.5936
5.3281e-09,0.5845
5.3514e-09,0.4777
5.3747e-09,0.3034
5.3979e-09,0.1157
5.4212e-09,-0.1100
5.4445e-09,-0.3579
5.4677e-09,-0.5556
5.4910e-09,-0.6444
5.5143e-09,-0.6497
5.5375e-09,-0.6325
5.5608e-09,-0.6003
5.5841e-09,-0.5567
5.6073e-09,-0.5357
5.6306e-09,-0.5625
5.6539e-09,-0.6246
5.6771e-09,-0.6903
5.7004e-09,-0.7368
5.7237e-09,-0.7505
5.7469e-09,-0.7267
5.7702e-09,-0.6715
5.7935e-09,-0.5988
5.8168e-09,-0.5280
5.8400e-09,-0.4841
5.8633e-09,-0.4827
5.8866e-09,-0.5160
5.9098e-09,-0.5614
5.9331e-09,-0.5933
5.9564e-09,-0.5735
5.9796e-09,-0.4570
6.0029e-09,-0.2805
6.0262e-09,-0.0838
6.0494e-09,0.1481
6.0727e-09,0.3886
6.0960e-09,0.5723
6.1192e-09,0.6503
6.1425e-09,0.6519
6.1658e-09,0.6291
6.1890e-09,0.5922
6.2123e-09,0.5519
6.2356e-09,0.5376
6.2588e-09,0.5691
6.2821e-09,0.6326
6.3054e-09,0.6974
6.3286e-09,0.7404
6.3519e-09,0.7493
6.3752e-09,0.7216
6.3984e-09,0.6632
6.4217e-09,0.5891
6.4450e-09,0.5217
6.4682e-09,0.4844
6.4915e-09,0.4874
6.5148e-09,0.5217
6.5380e-09,0.5680
6.5613e-09,0.5974
6.5846e-09,0.5638
6.6078e-09,0.4306
6.6311e-09,0.2521
6.6544e-09,0.0571
6.6776e-09,-0.1811
6.7009e-09,-0.4226
6.7242e-09,-0.5922
6.7474e-09,-0.6507
6.7707e-09,-0.6463
6.7940e-09,-0.6261
6.8172e-09,-0.5879
6.8405e-09,-0.5466
6.8638e-09,-0.5382
6.8870e-09,-0.5777
6.9103e-09,-0.6437
6.9336e-09,-0.7057
6.9568e-09,-0.7441
6.9801e-09,-0.7474
7.0034e-09,-0.7138
7.0266e-09,-0.6521
7.0499e-09,-0.5776
7.0732e-09,-0.5120
7.0964e-09,-0.4795
7.1197e-09,-0.4895
7.1430e-09,-0.5287
7.1662e-09,-0.5732
7.1895e-09,-0.5967
7.2128e-09,-0.5524
7.2360e-09,-0.4108
7.2593e-09,-0.2272
7.2826e-09,-0.0235
7.3058e-09,0.2162
7.3291e-09,0.4501
7.3524e-09,0.6071
7.3756e-09,0.6563
7.3989e-09,0.6463
7.4222e-09,0.6204
7.4454e-09,0.5810
7.4687e-09,0.5439
7.4920e-09,0.5410
7.5152e-09,0.5846
7.5385e-09,0.6522
7.5618e-09,0.7128
7.5850e-09,0.7468
7.6083e-09,0.7454
7.6316e-09,0.7082
7.6548e-09,0.6434
7.6781e-09,0.5684
7.7014e-09,0.5070
7.7246e-09,0.4808
7.7479e-09,0.4942
7.7712e-09,0.5344
7.7944e-09,0.5793
7.8177e-09,0.5970
7.8410e-09,0.5360
7.8642e-09,0.3826
7.8875e-09,0.2015
7.9108e-09,-0.0061
7.9340e-09,-0.2520
7.9573e-09,-0.4801
7.9806e-09,-0.6190
8.0038e-09,-0.6533
8.0271e-09,-0.6426
8.0504e-09,-0.6168
8.0736e-09,-0.5744
8.0969e-09,-0.5393
8.1202e-09,-0.5447
8.1435e-09,-0.5947
8.1667e-09,-0.6622
8.1900e-09,-0.7196
8.2133e-09,-0.7493
8.2365e-09,-0.7419
8.2598e-09,-0.6991
8.2831e-09,-0.6318
8.3063e-09,-0.5573
8.3296e-09,-0.4987
8.3529e-09,-0.4781
8.3761e-09,-0.4981
8.3994e-09,-0.5414
8.4227e-09,-0.5830
8.4459e-09,-0.5941
8.4692e-09,-0.5220
8.4925e-09,-0.3618
8.5157e-09,-0.1746
8.5390e-09,0.0389
8.5623e-09,0.2833
8.5855e-09,0.5028
8.6088e-09,0.6299
8.6321e-09,0.6558
8.6553e-09,0.6398
8.6786e-09,0.6107
8.7019e-09,0.5695
8.7251e-09,0.5388
8.7484e-09,0.5490
8.7717e-09,0.6025
8.7949e-09,0.6708
8.8182e-09,0.7253
8.8415e-09,0.7499
8.8647e-09,0.7383
8.8880e-09,0.6925
8.9113e-09,0.6229
8.9345e-09,0.5492
8.9578e-09,0.4959
8.9811e-09,0.4811
9.0043e-09,0.5036
9.0276e-09,0.5476
9.0509e-09,0.5887
9.0741e-09,0.5914
9.0974e-09,0.5024
9.1207e-09,0.3357
9.1439e-09,0.1503
9.1672e-09,-0.0687
9.1905e-09,-0.3165
9.2137e-09,-0.5275
9.2370e-09,-0.6360
9.2603e-09,-0.6520
9.2835e-09,-0.6366
9.3068e-09,-0.6065
9.3301e-09,-0.5630
9.3533e-09,-0.5362
9.3766e-09,-0.5547
9.3999e-09,-0.6125
9.4231e-09,-0.6795
9.4464e-09,-0.7308
9.4697e-09,-0.7510
9.4929e-09,-0.7335
9.5162e-09,-0.6828
9.5395e-09,-0.6119
9.5627e-09,-0.5392
9.5860e-09,-0.4891
9.6093e-09,-0.4801
9.6325e-09,-0.5085
9.6558e-09,-0.5537
9.6791e-09,-0.5899
9.7023e-09,-0.5826
9.7256e-09,-0.4810
9.7489e-09,-0.3085
9.7721e-09,-0.1182
9.7954e-09,0.1081
9.8187e-09,0.3529
9.8419e-09,0.5509
9.8652e-09,0.6452
9.8885e-09,0.6533
9.9117e-09,0.6341
9.9350e-09,0.6000
9.9583e-09,0.5579
9.9815e-09,0.5365
1.00048e-08,0.5607
1.00281e-08,0.6217
1.00513e-08,0.6881
1.00746e-08,0.7354
1.00979e-08,0.7501
1.01211e-08,0.7284
1.01444e-08,0.6744
1.01677e-08,0.6013
1.01909e-08,0.5309
1.02142e-08,0.4876
1.02375e-08,0.4845
1.02607e-08,0.5148
1.02840e-08,0.5608
1.03073e-08,0.5960
1.03305e-08,0.5788
1.03538e-08,0.4616
1.03771e-08,0.2847
1.04003e-08,0.0945
1.04236e-08,-0.1357
1.04469e-08,-0.3821
1.04702e-08,-0.5704
1.04934e-08,-0.6477
1.05167e-08,-0.6485
1.05400e-08,-0.6299
1.05632e-08,-0.5957
1.05865e-08,-0.5527
1.06098e-08,-0.5361
1.06330e-08,-0.5678
1.06563e-08,-0.6318
1.06796e-08,-0.6965
1.07028e-08,-0.7401
1.07261e-08,-0.7499
1.07494e-08,-0.7223
1.07726e-08,-0.6645
1.07959e-08,-0.5909
1.08192e-08,-0.5218
1.08424e-08,-0.4819
1.08657e-08,-0.4848
1.08890e-08,-0.5206
1.09122e-08,-0.5658
1.09355e-08,-0.5946
1.09588e-08,-0.5659
1.09820e-08,-0.4395
1.10053e-08,-0.2603
1.10286e-08,-0.0607
1.10518e-08,0.1748
1.10751e-08,0.4128
1.10984e-08,0.5866
1.11216e-08,0.6534
1.11449e-08,0.6504
1.11682e-08,0.6260
1.11914e-08,0.5877
1.12147e-08,0.5485
1.12380e-08,0.5386
1.12612e-08,0.5748
1.12845e-08,0.6399
1.13078e-08,0.7034
