.HEADER
..NAMES
Time,V U1.U2
.DATA
0.0e+00,1.1999
9.6e-12,1.1999
1.93e-11,1.1999
2.89e-11,1.1999
3.86e-11,1.1999
4.82e-11,1.1999
5.79e-11,1.1999
6.75e-11,1.1999
7.72e-11,1.1999
8.68e-11,1.1999
9.65e-11,1.1999
1.061e-10,1.1999
1.157e-10,1.1999
1.254e-10,1.1999
1.350e-10,1.1999
1.447e-10,1.1999
1.543e-10,1.1999
1.640e-10,1.1999
1.736e-10,1.1999
1.833e-10,1.1999
1.929e-10,1.1999
2.025e-10,1.1999
2.122e-10,1.1999
2.218e-10,1.1999
2.315e-10,1.1999
2.411e-10,1.1999
2.508e-10,1.1999
2.604e-10,1.1999
2.701e-10,1.1999
2.797e-10,1.1999
2.893e-10,1.1999
2.990e-10,1.1999
3.086e-10,1.1999
3.183e-10,1.1999
3.279e-10,1.1999
3.376e-10,1.1999
3.472e-10,1.1999
3.569e-10,1.1998
3.665e-10,1.1993
3.762e-10,1.1970
3.858e-10,1.1910
3.954e-10,1.1784
4.051e-10,1.1564
4.147e-10,1.1228
4.244e-10,1.0769
4.340e-10,1.0195
4.437e-10,0.9524
4.533e-10,0.8781
4.630e-10,0.7988
4.726e-10,0.7164
4.823e-10,0.6323
4.919e-10,0.5470
5.015e-10,0.4612
5.112e-10,0.3757
5.208e-10,0.2916
5.305e-10,0.2099
5.401e-10,0.1320
5.498e-10,0.0592
5.594e-10,-0.0071
5.691e-10,-0.0658
5.787e-10,-0.1164
5.883e-10,-0.1589
5.980e-10,-0.1936
6.076e-10,-0.2212
6.173e-10,-0.2419
6.269e-10,-0.2563
6.366e-10,-0.2650
6.462e-10,-0.2691
6.559e-10,-0.2695
6.655e-10,-0.2673
6.751e-10,-0.2639
6.848e-10,-0.2601
6.944e-10,-0.2567
7.041e-10,-0.2544
7.137e-10,-0.2535
7.234e-10,-0.2541
7.330e-10,-0.2560
7.427e-10,-0.2586
7.523e-10,-0.2615
7.620e-10,-0.2640
7.716e-10,-0.2657
7.812e-10,-0.2662
7.909e-10,-0.2652
8.005e-10,-0.2626
8.102e-10,-0.2584
8.198e-10,-0.2530
8.295e-10,-0.2470
8.391e-10,-0.2411
8.488e-10,-0.2362
8.584e-10,-0.2333
8.681e-10,-0.2326
