.HEADER
..NAMES
Time,V U1.V5
.DATA
0.0e+00,1.1999
9.6e-12,1.1999
1.93e-11,1.1999
2.89e-11,1.1999
3.86e-11,1.1999
4.82e-11,1.1999
5.79e-11,1.1999
6.75e-11,1.1999
7.72e-11,1.1999
8.68e-11,1.1999
9.65e-11,1.1999
1.061e-10,1.1999
1.157e-10,1.1999
1.254e-10,1.1999
1.350e-10,1.1999
1.447e-10,1.1999
1.543e-10,1.1999
1.640e-10,1.1999
1.736e-10,1.1999
1.833e-10,1.1999
1.929e-10,1.1999
2.025e-10,1.1999
2.122e-10,1.1999
2.218e-10,1.1999
2.315e-10,1.1999
2.411e-10,1.1999
2.508e-10,1.1999
2.604e-10,1.1999
2.701e-10,1.1999
2.797e-10,1.1999
2.893e-10,1.1999
2.990e-10,1.1999
3.086e-10,1.1999
3.183e-10,1.1999
3.279e-10,1.1999
3.376e-10,1.1999
3.472e-10,1.1998
3.569e-10,1.1994
3.665e-10,1.1973
3.762e-10,1.1915
3.858e-10,1.1794
3.954e-10,1.1579
4.051e-10,1.1247
4.147e-10,1.0793
4.244e-10,1.0224
4.340e-10,0.9553
4.437e-10,0.8802
4.533e-10,0.7992
4.630e-10,0.7142
4.726e-10,0.6266
4.823e-10,0.5377
4.919e-10,0.4487
5.015e-10,0.3609
5.112e-10,0.2754
5.208e-10,0.1937
5.305e-10,0.1167
5.401e-10,0.0454
5.498e-10,-0.0188
5.594e-10,-0.0751
5.691e-10,-0.1231
5.787e-10,-0.1631
5.883e-10,-0.1958
5.980e-10,-0.2217
6.076e-10,-0.2414
6.173e-10,-0.2552
6.269e-10,-0.2636
6.366e-10,-0.2675
6.462e-10,-0.2681
6.559e-10,-0.2665
6.655e-10,-0.2640
6.751e-10,-0.2615
6.848e-10,-0.2599
6.944e-10,-0.2595
7.041e-10,-0.2606
7.137e-10,-0.2630
7.234e-10,-0.2663
7.330e-10,-0.2701
7.427e-10,-0.2737
7.523e-10,-0.2762
7.620e-10,-0.2771
7.716e-10,-0.2759
7.812e-10,-0.2727
7.909e-10,-0.2677
8.005e-10,-0.2613
8.102e-10,-0.2546
8.198e-10,-0.2486
8.295e-10,-0.2440
8.391e-10,-0.2414
8.488e-10,-0.2408
8.584e-10,-0.2417
