.HEADER
..NAMES
Time,V U1.V6
.DATA
0.0e+00,0.0022
9.6e-12,0.0022
1.93e-11,0.0022
2.89e-11,0.0022
3.86e-11,0.0022
4.82e-11,0.0022
5.79e-11,0.0022
6.75e-11,0.0022
7.72e-11,0.0022
8.68e-11,0.0022
9.65e-11,0.0022
1.061e-10,0.0022
1.157e-10,0.0022
1.254e-10,0.0022
1.350e-10,0.0022
1.447e-10,0.0022
1.543e-10,0.0022
1.640e-10,0.0022
1.736e-10,0.0022
1.833e-10,0.0022
1.929e-10,0.0022
2.025e-10,0.0022
2.122e-10,0.0022
2.218e-10,0.0022
2.315e-10,0.0022
2.411e-10,0.0022
2.508e-10,0.0022
2.604e-10,0.0022
2.701e-10,0.0022
2.797e-10,0.0022
2.893e-10,0.0022
2.990e-10,0.0022
3.086e-10,0.0022
3.183e-10,0.0022
3.279e-10,0.0022
3.376e-10,0.0022
3.472e-10,0.0021
3.569e-10,0.0019
3.665e-10,0.0021
3.762e-10,0.0037
3.858e-10,0.0078
3.954e-10,0.0151
4.051e-10,0.0264
4.147e-10,0.0424
4.244e-10,0.0640
4.340e-10,0.0925
4.437e-10,0.1286
4.533e-10,0.1721
4.630e-10,0.2220
4.726e-10,0.2770
4.823e-10,0.3357
4.919e-10,0.3972
5.015e-10,0.4603
5.112e-10,0.5238
5.208e-10,0.5864
5.305e-10,0.6467
5.401e-10,0.7041
5.498e-10,0.7578
5.594e-10,0.8076
5.691e-10,0.8533
5.787e-10,0.8946
5.883e-10,0.9316
5.980e-10,0.9645
6.076e-10,0.9939
6.173e-10,1.0198
6.269e-10,1.0427
6.366e-10,1.0630
6.462e-10,1.0809
6.559e-10,1.0966
6.655e-10,1.1106
6.751e-10,1.1229
6.848e-10,1.1338
6.944e-10,1.1435
7.041e-10,1.1521
7.137e-10,1.1600
7.234e-10,1.1674
7.330e-10,1.1745
7.427e-10,1.1814
7.523e-10,1.1883
7.620e-10,1.1952
7.716e-10,1.2021
7.812e-10,1.2086
7.909e-10,1.2146
8.005e-10,1.2199
8.102e-10,1.2244
8.198e-10,1.2281
8.295e-10,1.2309
8.391e-10,1.2329
8.488e-10,1.2343
8.584e-10,1.2354
8.681e-10,1.2365
8.777e-10,1.2378
8.873e-10,1.2395
8.970e-10,1.2414
9.066e-10,1.2431
9.163e-10,1.2444
9.259e-10,1.2449
9.356e-10,1.2447
9.452e-10,1.2435
9.549e-10,1.2412
9.645e-10,1.2375
9.741e-10,1.2323
9.838e-10,1.2256
9.934e-10,1.2178
1.0031e-09,1.2092
1.0127e-09,1.2002
1.0224e-09,1.1909
1.0320e-09,1.1816
1.0417e-09,1.1728
1.0513e-09,1.1646
1.0609e-09,1.1576
1.0706e-09,1.1518
1.0802e-09,1.1472
1.0899e-09,1.1439
1.0995e-09,1.1418
1.1092e-09,1.1408
1.1188e-09,1.1407
1.1285e-09,1.1413
1.1381e-09,1.1425
1.1478e-09,1.1441
1.1574e-09,1.1460
1.1670e-09,1.1482
1.1767e-09,1.1508
1.1863e-09,1.1538
1.1960e-09,1.1570
1.2056e-09,1.1604
1.2153e-09,1.1639
1.2249e-09,1.1674
1.2346e-09,1.1708
1.2442e-09,1.1738
1.2539e-09,1.1763
1.2635e-09,1.1782
1.2731e-09,1.1796
1.2828e-09,1.1806
1.2924e-09,1.1811
1.3021e-09,1.1813
1.3117e-09,1.1815
1.3214e-09,1.1816
1.3310e-09,1.1819
1.3407e-09,1.1823
1.3503e-09,1.1828
1.3599e-09,1.1835
1.3696e-09,1.1843
1.3792e-09,1.1853
1.3889e-09,1.1864
1.3985e-09,1.1875
1.4082e-09,1.1884
1.4178e-09,1.1891
1.4275e-09,1.1896
1.4371e-09,1.1900
1.4468e-09,1.1902
1.4564e-09,1.1903
1.4660e-09,1.1903
1.4757e-09,1.1903
1.4853e-09,1.1904
1.4950e-09,1.1907
1.5046e-09,1.1913
1.5143e-09,1.1924
1.5239e-09,1.1939
1.5336e-09,1.1956
1.5432e-09,1.1976
1.5528e-09,1.1997
1.5625e-09,1.2019
1.5721e-09,1.2040
1.5818e-09,1.2058
1.5914e-09,1.2073
1.6011e-09,1.2085
1.6107e-09,1.2095
1.6204e-09,1.2102
1.6300e-09,1.2108
1.6396e-09,1.2112
1.6493e-09,1.2114
1.6589e-09,1.2116
1.6686e-09,1.2116
1.6782e-09,1.2115
1.6879e-09,1.2112
1.6975e-09,1.2108
1.7072e-09,1.2102
1.7168e-09,1.2095
1.7265e-09,1.2086
1.7361e-09,1.2076
1.7457e-09,1.2066
1.7554e-09,1.2056
1.7650e-09,1.2047
1.7747e-09,1.2038
1.7843e-09,1.2030
1.7940e-09,1.2024
1.8036e-09,1.2020
1.8133e-09,1.2018
1.8229e-09,1.2018
1.8326e-09,1.2019
1.8422e-09,1.2021
1.8518e-09,1.2024
1.8615e-09,1.2027
1.8711e-09,1.2030
1.8808e-09,1.2033
1.8904e-09,1.2034
1.9001e-09,1.2034
1.9097e-09,1.2032
1.9194e-09,1.2029
1.9290e-09,1.2026
1.9386e-09,1.2022
1.9483e-09,1.2020
1.9579e-09,1.2019
1.9676e-09,1.2019
1.9772e-09,1.2020
1.9869e-09,1.2021
1.9965e-09,1.2023
2.0062e-09,1.2026
2.0158e-09,1.2027
2.0255e-09,1.2028
2.0351e-09,1.2028
2.0447e-09,1.2026
2.0544e-09,1.2024
2.0640e-09,1.2021
2.0737e-09,1.2018
2.0833e-09,1.2014
2.0930e-09,1.2011
2.1026e-09,1.2007
2.1123e-09,1.2004
2.1219e-09,1.2002
2.1315e-09,1.2000
2.1412e-09,1.1998
2.1508e-09,1.1997
2.1605e-09,1.1996
2.1701e-09,1.1995
2.1798e-09,1.1995
2.1894e-09,1.1995
2.1991e-09,1.1995
2.2087e-09,1.1994
2.2183e-09,1.1994
2.2280e-09,1.1993
2.2376e-09,1.1985
2.2473e-09,1.1956
2.2569e-09,1.1882
2.2666e-09,1.1736
2.2762e-09,1.1490
2.2859e-09,1.1127
2.2955e-09,1.0643
2.3052e-09,1.0044
2.3148e-09,0.9342
2.3244e-09,0.8553
2.3341e-09,0.7696
2.3437e-09,0.6791
2.3534e-09,0.5859
2.3630e-09,0.4921
2.3727e-09,0.3995
2.3823e-09,0.3098
2.3920e-09,0.2246
2.4016e-09,0.1451
2.4113e-09,0.0721
2.4209e-09,0.0065
2.4305e-09,-0.0510
2.4402e-09,-0.0999
2.4498e-09,-0.1405
2.4595e-09,-0.1731
2.4691e-09,-0.1989
2.4788e-09,-0.2185
2.4884e-09,-0.2328
2.4981e-09,-0.2422
2.5077e-09,-0.2477
2.5173e-09,-0.2504
2.5270e-09,-0.2513
2.5366e-09,-0.2510
2.5463e-09,-0.2498
2.5559e-09,-0.2479
2.5656e-09,-0.2457
2.5752e-09,-0.2436
2.5849e-09,-0.2424
2.5945e-09,-0.2424
2.6042e-09,-0.2440
2.6138e-09,-0.2472
2.6234e-09,-0.2518
2.6331e-09,-0.2573
2.6427e-09,-0.2628
2.6524e-09,-0.2676
2.6620e-09,-0.2708
2.6717e-09,-0.2720
2.6813e-09,-0.2714
2.6910e-09,-0.2695
2.7006e-09,-0.2671
2.7102e-09,-0.2650
2.7199e-09,-0.2637
2.7295e-09,-0.2633
2.7392e-09,-0.2639
2.7488e-09,-0.2652
2.7585e-09,-0.2670
2.7681e-09,-0.2691
2.7778e-09,-0.2714
2.7874e-09,-0.2734
2.7970e-09,-0.2748
2.8067e-09,-0.2752
2.8163e-09,-0.2744
2.8260e-09,-0.2721
2.8356e-09,-0.2681
2.8453e-09,-0.2620
2.8549e-09,-0.2529
2.8646e-09,-0.2396
2.8742e-09,-0.2209
2.8839e-09,-0.1963
2.8935e-09,-0.1655
2.9031e-09,-0.1284
2.9128e-09,-0.0848
2.9224e-09,-0.0346
2.9321e-09,0.0222
2.9417e-09,0.0849
2.9514e-09,0.1523
2.9610e-09,0.2227
2.9707e-09,0.2949
2.9803e-09,0.3676
2.9900e-09,0.4398
2.9996e-09,0.5107
3.0092e-09,0.5790
3.0189e-09,0.6435
3.0285e-09,0.7031
3.0382e-09,0.7572
3.0478e-09,0.8055
3.0575e-09,0.8480
3.0671e-09,0.8852
3.0768e-09,0.9177
3.0864e-09,0.9464
3.0960e-09,0.9719
3.1057e-09,0.9950
3.1153e-09,1.0162
3.1250e-09,1.0358
3.1346e-09,1.0538
3.1443e-09,1.0702
3.1539e-09,1.0850
3.1636e-09,1.0984
3.1732e-09,1.1105
3.1828e-09,1.1216
3.1925e-09,1.1317
3.2021e-09,1.1411
3.2118e-09,1.1498
3.2214e-09,1.1579
3.2311e-09,1.1656
3.2407e-09,1.1728
3.2504e-09,1.1795
3.2600e-09,1.1855
3.2697e-09,1.1907
3.2793e-09,1.1953
3.2889e-09,1.1994
3.2986e-09,1.2031
3.3082e-09,1.2068
3.3179e-09,1.2105
3.3275e-09,1.2139
3.3372e-09,1.2169
3.3468e-09,1.2194
3.3565e-09,1.2213
3.3661e-09,1.2224
3.3757e-09,1.2228
3.3854e-09,1.2221
3.3950e-09,1.2202
3.4047e-09,1.2168
3.4143e-09,1.2120
3.4240e-09,1.2062
3.4336e-09,1.1994
3.4433e-09,1.1919
3.4529e-09,1.1835
3.4626e-09,1.1742
3.4722e-09,1.1639
3.4818e-09,1.1531
3.4915e-09,1.1422
3.5011e-09,1.1317
3.5108e-09,1.1220
3.5204e-09,1.1136
3.5301e-09,1.1066
3.5397e-09,1.1014
3.5494e-09,1.0981
3.5590e-09,1.0966
3.5687e-09,1.0968
3.5783e-09,1.0984
3.5879e-09,1.1011
3.5976e-09,1.1047
3.6072e-09,1.1091
3.6169e-09,1.1141
3.6265e-09,1.1194
3.6362e-09,1.1250
3.6458e-09,1.1307
3.6555e-09,1.1363
3.6651e-09,1.1417
3.6747e-09,1.1469
3.6844e-09,1.1517
3.6940e-09,1.1560
3.7037e-09,1.1597
3.7133e-09,1.1628
3.7230e-09,1.1655
3.7326e-09,1.1678
3.7423e-09,1.1698
3.7519e-09,1.1717
3.7616e-09,1.1734
3.7712e-09,1.1750
3.7808e-09,1.1764
3.7905e-09,1.1777
3.8001e-09,1.1788
3.8098e-09,1.1799
3.8194e-09,1.1808
3.8291e-09,1.1816
3.8387e-09,1.1823
3.8484e-09,1.1830
3.8580e-09,1.1838
3.8676e-09,1.1848
3.8773e-09,1.1860
3.8869e-09,1.1872
3.8966e-09,1.1883
3.9062e-09,1.1891
3.9159e-09,1.1898
3.9255e-09,1.1903
3.9352e-09,1.1908
3.9448e-09,1.1915
3.9545e-09,1.1923
3.9641e-09,1.1934
3.9737e-09,1.1947
3.9834e-09,1.1963
3.9930e-09,1.1983
4.0027e-09,1.2006
4.0123e-09,1.2030
4.0220e-09,1.2054
4.0316e-09,1.2077
4.0413e-09,1.2099
4.0509e-09,1.2119
4.0605e-09,1.2137
4.0702e-09,1.2152
4.0798e-09,1.2164
4.0895e-09,1.2172
4.0991e-09,1.2177
4.1088e-09,1.2173
4.1184e-09,1.2149
4.1281e-09,1.2084
4.1377e-09,1.1953
4.1474e-09,1.1727
4.1570e-09,1.1387
4.1666e-09,1.0927
4.1763e-09,1.0351
4.1859e-09,0.9669
4.1956e-09,0.8899
4.2052e-09,0.8057
4.2149e-09,0.7163
4.2245e-09,0.6237
