.HEADER
..NAMES
Time,V U1.H6
.DATA
0.0e+00,1.1999
9.6e-12,1.1999
1.93e-11,1.1999
2.89e-11,1.1999
3.86e-11,1.1999
4.82e-11,1.1999
5.79e-11,1.1999
6.75e-11,1.1999
7.72e-11,1.1999
8.68e-11,1.1999
9.65e-11,1.1999
1.061e-10,1.1999
1.157e-10,1.1999
1.254e-10,1.1999
1.350e-10,1.1999
1.447e-10,1.1999
1.543e-10,1.1999
1.640e-10,1.1999
1.736e-10,1.1999
1.833e-10,1.1999
1.929e-10,1.1999
2.025e-10,1.1999
2.122e-10,1.1999
2.218e-10,1.1999
2.315e-10,1.1999
2.411e-10,1.1999
2.508e-10,1.1999
2.604e-10,1.1999
2.701e-10,1.1999
2.797e-10,1.1999
2.893e-10,1.1999
2.990e-10,1.1999
3.086e-10,1.1999
3.183e-10,1.1999
3.279e-10,1.1999
3.376e-10,1.1999
3.472e-10,1.1995
3.569e-10,1.1980
3.665e-10,1.1942
3.762e-10,1.1870
3.858e-10,1.1748
3.954e-10,1.1563
4.051e-10,1.1303
4.147e-10,1.0956
4.244e-10,1.0509
4.340e-10,0.9959
4.437e-10,0.9309
4.533e-10,0.8566
4.630e-10,0.7740
4.726e-10,0.6849
4.823e-10,0.5912
4.919e-10,0.4951
5.015e-10,0.3987
5.112e-10,0.3041
5.208e-10,0.2132
5.305e-10,0.1278
5.401e-10,0.0497
5.498e-10,-0.0200
5.594e-10,-0.0805
5.691e-10,-0.1319
5.787e-10,-0.1738
5.883e-10,-0.2059
5.980e-10,-0.2284
6.076e-10,-0.2425
6.173e-10,-0.2498
6.269e-10,-0.2521
6.366e-10,-0.2508
6.462e-10,-0.2472
6.559e-10,-0.2423
6.655e-10,-0.2370
6.751e-10,-0.2319
6.848e-10,-0.2274
6.944e-10,-0.2237
7.041e-10,-0.2210
7.137e-10,-0.2193
7.234e-10,-0.2189
7.330e-10,-0.2196
7.427e-10,-0.2215
7.523e-10,-0.2249
7.620e-10,-0.2298
7.716e-10,-0.2361
7.812e-10,-0.2434
7.909e-10,-0.2515
8.005e-10,-0.2598
8.102e-10,-0.2678
8.198e-10,-0.2752
8.295e-10,-0.2816
8.391e-10,-0.2865
8.488e-10,-0.2898
8.584e-10,-0.2913
