.HEADER
..NAMES
Time,V U1.F1
.DATA
0.0e+00,0.0022
9.6e-12,0.0022
1.93e-11,0.0022
2.89e-11,0.0022
3.86e-11,0.0022
4.82e-11,0.0022
5.79e-11,0.0022
6.75e-11,0.0022
7.72e-11,0.0022
8.68e-11,0.0022
9.65e-11,0.0022
1.061e-10,0.0022
1.157e-10,0.0022
1.254e-10,0.0022
1.350e-10,0.0022
1.447e-10,0.0022
1.543e-10,0.0022
1.640e-10,0.0022
1.736e-10,0.0022
1.833e-10,0.0022
1.929e-10,0.0022
2.025e-10,0.0022
2.122e-10,0.0022
2.218e-10,0.0022
2.315e-10,0.0022
2.411e-10,0.0022
2.508e-10,0.0022
2.604e-10,0.0022
2.701e-10,0.0022
2.797e-10,0.0022
2.893e-10,0.0022
2.990e-10,0.0022
3.086e-10,0.0022
3.183e-10,0.0022
3.279e-10,0.0022
3.376e-10,0.0022
3.472e-10,0.0021
3.569e-10,0.0020
3.665e-10,0.0023
3.762e-10,0.0036
3.858e-10,0.0062
3.954e-10,0.0101
4.051e-10,0.0160
4.147e-10,0.0251
4.244e-10,0.0381
4.340e-10,0.0558
4.437e-10,0.0787
4.533e-10,0.1067
4.630e-10,0.1401
4.726e-10,0.1789
4.823e-10,0.2232
4.919e-10,0.2724
5.015e-10,0.3256
5.112e-10,0.3820
5.208e-10,0.4406
5.305e-10,0.5003
5.401e-10,0.5603
5.498e-10,0.6198
5.594e-10,0.6780
5.691e-10,0.7340
5.787e-10,0.7870
5.883e-10,0.8367
5.980e-10,0.8824
6.076e-10,0.9241
6.173e-10,0.9620
6.269e-10,0.9959
6.366e-10,1.0259
6.462e-10,1.0523
6.559e-10,1.0753
6.655e-10,1.0951
6.751e-10,1.1119
6.848e-10,1.1262
6.944e-10,1.1378
7.041e-10,1.1471
7.137e-10,1.1542
7.234e-10,1.1594
7.330e-10,1.1631
7.427e-10,1.1654
7.523e-10,1.1668
7.620e-10,1.1677
7.716e-10,1.1682
7.812e-10,1.1686
7.909e-10,1.1694
8.005e-10,1.1706
8.102e-10,1.1723
8.198e-10,1.1745
8.295e-10,1.1772
8.391e-10,1.1804
8.488e-10,1.1841
8.584e-10,1.1880
8.681e-10,1.1921
8.777e-10,1.1961
8.873e-10,1.1999
8.970e-10,1.2036
9.066e-10,1.2069
9.163e-10,1.2097
9.259e-10,1.2120
9.356e-10,1.2136
9.452e-10,1.2146
9.549e-10,1.2150
9.645e-10,1.2149
9.741e-10,1.2141
9.838e-10,1.2126
9.934e-10,1.2104
1.0031e-09,1.2075
1.0127e-09,1.2039
1.0224e-09,1.1996
1.0320e-09,1.1945
1.0417e-09,1.1885
1.0513e-09,1.1819
1.0609e-09,1.1745
1.0706e-09,1.1667
1.0802e-09,1.1585
1.0899e-09,1.1503
1.0995e-09,1.1423
1.1092e-09,1.1347
1.1188e-09,1.1276
1.1285e-09,1.1215
1.1381e-09,1.1163
1.1478e-09,1.1124
1.1574e-09,1.1097
1.1670e-09,1.1082
1.1767e-09,1.1078
1.1863e-09,1.1085
1.1960e-09,1.1102
1.2056e-09,1.1128
1.2153e-09,1.1161
1.2249e-09,1.1201
1.2346e-09,1.1246
1.2442e-09,1.1294
1.2539e-09,1.1344
1.2635e-09,1.1397
1.2731e-09,1.1449
1.2828e-09,1.1502
1.2924e-09,1.1553
1.3021e-09,1.1604
1.3117e-09,1.1652
1.3214e-09,1.1699
1.3310e-09,1.1744
1.3407e-09,1.1787
1.3503e-09,1.1826
1.3599e-09,1.1860
1.3696e-09,1.1891
1.3792e-09,1.1916
1.3889e-09,1.1935
1.3985e-09,1.1949
1.4082e-09,1.1957
1.4178e-09,1.1960
1.4275e-09,1.1959
1.4371e-09,1.1955
1.4468e-09,1.1950
1.4564e-09,1.1943
1.4660e-09,1.1937
1.4757e-09,1.1932
1.4853e-09,1.1927
1.4950e-09,1.1925
1.5046e-09,1.1925
1.5143e-09,1.1926
1.5239e-09,1.1930
1.5336e-09,1.1936
1.5432e-09,1.1943
1.5528e-09,1.1952
1.5625e-09,1.1962
1.5721e-09,1.1973
1.5818e-09,1.1985
1.5914e-09,1.1997
1.6011e-09,1.2009
1.6107e-09,1.2022
1.6204e-09,1.2035
1.6300e-09,1.2049
1.6396e-09,1.2063
1.6493e-09,1.2077
1.6589e-09,1.2091
1.6686e-09,1.2106
1.6782e-09,1.2121
1.6879e-09,1.2135
1.6975e-09,1.2148
1.7072e-09,1.2159
1.7168e-09,1.2168
1.7265e-09,1.2173
1.7361e-09,1.2176
1.7457e-09,1.2176
1.7554e-09,1.2173
1.7650e-09,1.2167
1.7747e-09,1.2158
1.7843e-09,1.2147
1.7940e-09,1.2134
1.8036e-09,1.2121
1.8133e-09,1.2108
1.8229e-09,1.2094
1.8326e-09,1.2081
1.8422e-09,1.2069
1.8518e-09,1.2057
1.8615e-09,1.2046
1.8711e-09,1.2036
1.8808e-09,1.2026
1.8904e-09,1.2018
1.9001e-09,1.2010
1.9097e-09,1.2004
1.9194e-09,1.1998
1.9290e-09,1.1993
1.9386e-09,1.1989
1.9483e-09,1.1986
1.9579e-09,1.1984
1.9676e-09,1.1983
1.9772e-09,1.1983
1.9869e-09,1.1984
1.9965e-09,1.1987
2.0062e-09,1.1991
2.0158e-09,1.1996
2.0255e-09,1.2002
2.0351e-09,1.2008
2.0447e-09,1.2015
2.0544e-09,1.2021
2.0640e-09,1.2026
2.0737e-09,1.2030
2.0833e-09,1.2033
2.0930e-09,1.2035
2.1026e-09,1.2035
2.1123e-09,1.2035
2.1219e-09,1.2034
2.1315e-09,1.2032
2.1412e-09,1.2030
2.1508e-09,1.2027
2.1605e-09,1.2025
2.1701e-09,1.2022
2.1798e-09,1.2019
2.1894e-09,1.2017
2.1991e-09,1.2014
2.2087e-09,1.2012
2.2183e-09,1.2010
2.2280e-09,1.2008
2.2376e-09,1.1999
2.2473e-09,1.1975
2.2569e-09,1.1925
2.2666e-09,1.1835
2.2762e-09,1.1693
2.2859e-09,1.1488
2.2955e-09,1.1212
2.3052e-09,1.0853
2.3148e-09,1.0405
2.3244e-09,0.9868
2.3341e-09,0.9248
2.3437e-09,0.8553
2.3534e-09,0.7791
2.3630e-09,0.6975
2.3727e-09,0.6118
2.3823e-09,0.5233
2.3920e-09,0.4335
2.4016e-09,0.3437
2.4113e-09,0.2556
2.4209e-09,0.1706
2.4305e-09,0.0906
2.4402e-09,0.0168
2.4498e-09,-0.0503
2.4595e-09,-0.1101
2.4691e-09,-0.1620
2.4788e-09,-0.2050
2.4884e-09,-0.2389
2.4981e-09,-0.2640
2.5077e-09,-0.2814
2.5173e-09,-0.2922
2.5270e-09,-0.2974
2.5366e-09,-0.2977
2.5463e-09,-0.2940
2.5559e-09,-0.2871
2.5656e-09,-0.2778
2.5752e-09,-0.2668
2.5849e-09,-0.2550
2.5945e-09,-0.2432
2.6042e-09,-0.2320
2.6138e-09,-0.2221
2.6234e-09,-0.2139
2.6331e-09,-0.2079
2.6427e-09,-0.2042
2.6524e-09,-0.2028
2.6620e-09,-0.2035
2.6717e-09,-0.2059
2.6813e-09,-0.2099
2.6910e-09,-0.2151
2.7006e-09,-0.2215
2.7102e-09,-0.2287
2.7199e-09,-0.2362
2.7295e-09,-0.2437
2.7392e-09,-0.2508
2.7488e-09,-0.2570
2.7585e-09,-0.2619
2.7681e-09,-0.2653
2.7778e-09,-0.2672
2.7874e-09,-0.2676
2.7970e-09,-0.2667
2.8067e-09,-0.2647
2.8163e-09,-0.2618
2.8260e-09,-0.2582
2.8356e-09,-0.2543
2.8453e-09,-0.2501
2.8549e-09,-0.2457
2.8646e-09,-0.2409
2.8742e-09,-0.2356
2.8839e-09,-0.2300
2.8935e-09,-0.2236
2.9031e-09,-0.2165
2.9128e-09,-0.2085
2.9224e-09,-0.1995
2.9321e-09,-0.1895
2.9417e-09,-0.1784
2.9514e-09,-0.1663
2.9610e-09,-0.1533
2.9707e-09,-0.1396
2.9803e-09,-0.1256
2.9900e-09,-0.1114
2.9996e-09,-0.0971
3.0092e-09,-0.0828
3.0189e-09,-0.0686
3.0285e-09,-0.0546
3.0382e-09,-0.0411
3.0478e-09,-0.0280
3.0575e-09,-0.0155
3.0671e-09,-0.0038
3.0768e-09,0.0071
3.0864e-09,0.0170
3.0960e-09,0.0259
3.1057e-09,0.0337
3.1153e-09,0.0404
3.1250e-09,0.0463
3.1346e-09,0.0513
3.1443e-09,0.0556
3.1539e-09,0.0590
3.1636e-09,0.0616
3.1732e-09,0.0631
3.1828e-09,0.0634
3.1925e-09,0.0627
3.2021e-09,0.0609
3.2118e-09,0.0585
3.2214e-09,0.0555
3.2311e-09,0.0524
3.2407e-09,0.0495
3.2504e-09,0.0471
3.2600e-09,0.0453
3.2697e-09,0.0443
3.2793e-09,0.0438
3.2889e-09,0.0439
3.2986e-09,0.0444
3.3082e-09,0.0452
3.3179e-09,0.0462
3.3275e-09,0.0476
3.3372e-09,0.0493
3.3468e-09,0.0513
3.3565e-09,0.0536
3.3661e-09,0.0559
3.3757e-09,0.0582
3.3854e-09,0.0604
3.3950e-09,0.0621
3.4047e-09,0.0635
3.4143e-09,0.0645
3.4240e-09,0.0652
3.4336e-09,0.0656
3.4433e-09,0.0659
3.4529e-09,0.0661
3.4626e-09,0.0663
3.4722e-09,0.0661
3.4818e-09,0.0655
3.4915e-09,0.0649
3.5011e-09,0.0646
3.5108e-09,0.0647
3.5204e-09,0.0653
3.5301e-09,0.0670
3.5397e-09,0.0708
3.5494e-09,0.0778
3.5590e-09,0.0890
3.5687e-09,0.1048
3.5783e-09,0.1256
3.5879e-09,0.1515
3.5976e-09,0.1831
3.6072e-09,0.2204
3.6169e-09,0.2631
3.6265e-09,0.3106
3.6362e-09,0.3620
3.6458e-09,0.4164
3.6555e-09,0.4728
3.6651e-09,0.5303
3.6747e-09,0.5882
3.6844e-09,0.6455
3.6940e-09,0.7014
3.7037e-09,0.7551
3.7133e-09,0.8059
3.7230e-09,0.8534
3.7326e-09,0.8974
3.7423e-09,0.9378
3.7519e-09,0.9744
3.7616e-09,1.0074
3.7712e-09,1.0367
3.7808e-09,1.0626
3.7905e-09,1.0853
3.8001e-09,1.1050
3.8098e-09,1.1220
3.8194e-09,1.1365
3.8291e-09,1.1484
3.8387e-09,1.1579
3.8484e-09,1.1651
3.8580e-09,1.1703
3.8676e-09,1.1737
3.8773e-09,1.1755
3.8869e-09,1.1762
3.8966e-09,1.1760
3.9062e-09,1.1756
3.9159e-09,1.1752
3.9255e-09,1.1753
3.9352e-09,1.1760
3.9448e-09,1.1773
3.9545e-09,1.1794
3.9641e-09,1.1820
3.9737e-09,1.1851
3.9834e-09,1.1886
3.9930e-09,1.1923
4.0027e-09,1.1961
4.0123e-09,1.1998
4.0220e-09,1.2036
4.0316e-09,1.2074
4.0413e-09,1.2109
4.0509e-09,1.2139
4.0605e-09,1.2165
4.0702e-09,1.2184
4.0798e-09,1.2198
4.0895e-09,1.2206
4.0991e-09,1.2207
4.1088e-09,1.2202
4.1184e-09,1.2191
4.1281e-09,1.2174
4.1377e-09,1.2153
4.1474e-09,1.2125
4.1570e-09,1.2089
4.1666e-09,1.2045
4.1763e-09,1.1992
4.1859e-09,1.1929
4.1956e-09,1.1856
4.2052e-09,1.1778
4.2149e-09,1.1695
