.HEADER
..NAMES
Time,V U1.G2
.DATA
0.0e+00,0.0022
9.6e-12,0.0022
1.93e-11,0.0022
2.89e-11,0.0022
3.86e-11,0.0022
4.82e-11,0.0022
5.79e-11,0.0022
6.75e-11,0.0022
7.72e-11,0.0022
8.68e-11,0.0022
9.65e-11,0.0022
1.061e-10,0.0022
1.157e-10,0.0022
1.254e-10,0.0022
1.350e-10,0.0022
1.447e-10,0.0022
1.543e-10,0.0022
1.640e-10,0.0022
1.736e-10,0.0022
1.833e-10,0.0022
1.929e-10,0.0022
2.025e-10,0.0022
2.122e-10,0.0022
2.218e-10,0.0022
2.315e-10,0.0022
2.411e-10,0.0022
2.508e-10,0.0022
2.604e-10,0.0022
2.701e-10,0.0022
2.797e-10,0.0022
2.893e-10,0.0022
2.990e-10,0.0022
3.086e-10,0.0022
3.183e-10,0.0022
3.279e-10,0.0022
3.376e-10,0.0021
3.472e-10,0.0020
3.569e-10,0.0022
3.665e-10,0.0032
3.762e-10,0.0054
3.858e-10,0.0089
3.954e-10,0.0143
4.051e-10,0.0224
4.147e-10,0.0344
4.244e-10,0.0507
4.340e-10,0.0721
4.437e-10,0.0989
4.533e-10,0.1315
4.630e-10,0.1697
4.726e-10,0.2136
4.823e-10,0.2630
4.919e-10,0.3170
5.015e-10,0.3748
5.112e-10,0.4352
5.208e-10,0.4973
5.305e-10,0.5598
5.401e-10,0.6217
5.498e-10,0.6817
5.594e-10,0.7391
5.691e-10,0.7930
5.787e-10,0.8428
5.883e-10,0.8880
5.980e-10,0.9286
6.076e-10,0.9643
6.173e-10,0.9953
6.269e-10,1.0217
6.366e-10,1.0442
6.462e-10,1.0630
6.559e-10,1.0787
6.655e-10,1.0916
6.751e-10,1.1024
6.848e-10,1.1113
6.944e-10,1.1186
7.041e-10,1.1246
7.137e-10,1.1296
7.234e-10,1.1340
7.330e-10,1.1380
7.427e-10,1.1420
7.523e-10,1.1460
7.620e-10,1.1504
7.716e-10,1.1551
7.812e-10,1.1603
7.909e-10,1.1660
8.005e-10,1.1723
8.102e-10,1.1791
8.198e-10,1.1863
8.295e-10,1.1937
8.391e-10,1.2009
8.488e-10,1.2077
8.584e-10,1.2139
8.681e-10,1.2191
8.777e-10,1.2233
8.873e-10,1.2263
8.970e-10,1.2281
9.066e-10,1.2286
9.163e-10,1.2277
9.259e-10,1.2255
9.356e-10,1.2221
9.452e-10,1.2177
9.549e-10,1.2125
9.645e-10,1.2066
9.741e-10,1.2003
9.838e-10,1.1937
9.934e-10,1.1870
1.0031e-09,1.1802
1.0127e-09,1.1733
1.0224e-09,1.1665
1.0320e-09,1.1596
1.0417e-09,1.1529
1.0513e-09,1.1463
1.0609e-09,1.1401
1.0706e-09,1.1342
1.0802e-09,1.1287
1.0899e-09,1.1237
1.0995e-09,1.1194
1.1092e-09,1.1158
1.1188e-09,1.1132
1.1285e-09,1.1118
1.1381e-09,1.1114
1.1478e-09,1.1123
1.1574e-09,1.1141
1.1670e-09,1.1170
1.1767e-09,1.1206
1.1863e-09,1.1248
1.1960e-09,1.1296
1.2056e-09,1.1347
1.2153e-09,1.1401
1.2249e-09,1.1454
1.2346e-09,1.1506
1.2442e-09,1.1555
1.2539e-09,1.1601
1.2635e-09,1.1641
1.2731e-09,1.1677
1.2828e-09,1.1710
1.2924e-09,1.1738
1.3021e-09,1.1764
1.3117e-09,1.1786
1.3214e-09,1.1806
1.3310e-09,1.1824
1.3407e-09,1.1839
1.3503e-09,1.1852
1.3599e-09,1.1862
1.3696e-09,1.1871
1.3792e-09,1.1878
1.3889e-09,1.1883
1.3985e-09,1.1886
1.4082e-09,1.1887
1.4178e-09,1.1886
1.4275e-09,1.1885
1.4371e-09,1.1884
1.4468e-09,1.1885
1.4564e-09,1.1888
1.4660e-09,1.1894
1.4757e-09,1.1903
1.4853e-09,1.1916
1.4950e-09,1.1931
1.5046e-09,1.1949
1.5143e-09,1.1970
1.5239e-09,1.1991
1.5336e-09,1.2014
1.5432e-09,1.2038
1.5528e-09,1.2060
1.5625e-09,1.2081
1.5721e-09,1.2099
1.5818e-09,1.2115
1.5914e-09,1.2127
1.6011e-09,1.2133
1.6107e-09,1.2125
1.6204e-09,1.2092
1.6300e-09,1.2024
1.6396e-09,1.1908
1.6493e-09,1.1731
1.6589e-09,1.1487
1.6686e-09,1.1165
1.6782e-09,1.0756
1.6879e-09,1.0256
1.6975e-09,0.9665
1.7072e-09,0.8990
1.7168e-09,0.8234
1.7265e-09,0.7409
1.7361e-09,0.6533
1.7457e-09,0.5621
1.7554e-09,0.4691
1.7650e-09,0.3759
1.7747e-09,0.2844
1.7843e-09,0.1964
1.7940e-09,0.1134
1.8036e-09,0.0369
1.8133e-09,-0.0319
1.8229e-09,-0.0924
1.8326e-09,-0.1442
1.8422e-09,-0.1867
1.8518e-09,-0.2194
1.8615e-09,-0.2427
1.8711e-09,-0.2579
1.8808e-09,-0.2662
1.8904e-09,-0.2689
1.9001e-09,-0.2671
1.9097e-09,-0.2621
1.9194e-09,-0.2547
1.9290e-09,-0.2458
1.9386e-09,-0.2363
1.9483e-09,-0.2271
1.9579e-09,-0.2187
1.9676e-09,-0.2115
1.9772e-09,-0.2058
1.9869e-09,-0.2021
1.9965e-09,-0.2006
2.0062e-09,-0.2013
2.0158e-09,-0.2043
2.0255e-09,-0.2096
2.0351e-09,-0.2170
2.0447e-09,-0.2260
2.0544e-09,-0.2359
2.0640e-09,-0.2460
2.0737e-09,-0.2558
2.0833e-09,-0.2645
2.0930e-09,-0.2721
2.1026e-09,-0.2781
2.1123e-09,-0.2823
2.1219e-09,-0.2845
2.1315e-09,-0.2847
2.1412e-09,-0.2828
2.1508e-09,-0.2790
2.1605e-09,-0.2734
2.1701e-09,-0.2663
2.1798e-09,-0.2582
2.1894e-09,-0.2497
2.1991e-09,-0.2411
2.2087e-09,-0.2325
2.2183e-09,-0.2236
2.2280e-09,-0.2137
2.2376e-09,-0.2022
2.2473e-09,-0.1886
2.2569e-09,-0.1722
2.2666e-09,-0.1516
2.2762e-09,-0.1259
2.2859e-09,-0.0941
2.2955e-09,-0.0554
2.3052e-09,-0.0093
2.3148e-09,0.0439
2.3244e-09,0.1039
2.3341e-09,0.1698
2.3437e-09,0.2404
2.3534e-09,0.3145
2.3630e-09,0.3904
2.3727e-09,0.4665
2.3823e-09,0.5415
2.3920e-09,0.6141
2.4016e-09,0.6827
2.4113e-09,0.7463
2.4209e-09,0.8040
2.4305e-09,0.8551
2.4402e-09,0.8994
2.4498e-09,0.9369
2.4595e-09,0.9682
2.4691e-09,0.9938
2.4788e-09,1.0145
2.4884e-09,1.0309
2.4981e-09,1.0440
2.5077e-09,1.0542
2.5173e-09,1.0622
2.5270e-09,1.0686
2.5366e-09,1.0738
2.5463e-09,1.0785
2.5559e-09,1.0828
2.5656e-09,1.0871
2.5752e-09,1.0915
2.5849e-09,1.0961
2.5945e-09,1.1012
2.6042e-09,1.1070
2.6138e-09,1.1138
2.6234e-09,1.1216
2.6331e-09,1.1305
2.6427e-09,1.1403
2.6524e-09,1.1506
2.6620e-09,1.1610
2.6717e-09,1.1713
2.6813e-09,1.1808
2.6910e-09,1.1894
2.7006e-09,1.1967
2.7102e-09,1.2023
2.7199e-09,1.2062
2.7295e-09,1.2081
2.7392e-09,1.2078
2.7488e-09,1.2055
2.7585e-09,1.2012
2.7681e-09,1.1950
2.7778e-09,1.1873
2.7874e-09,1.1786
2.7970e-09,1.1692
2.8067e-09,1.1595
2.8163e-09,1.1498
2.8260e-09,1.1402
2.8356e-09,1.1310
2.8453e-09,1.1218
2.8549e-09,1.1117
2.8646e-09,1.0998
2.8742e-09,1.0856
2.8839e-09,1.0679
2.8935e-09,1.0453
2.9031e-09,1.0168
2.9128e-09,0.9820
2.9224e-09,0.9402
2.9321e-09,0.8907
2.9417e-09,0.8339
2.9514e-09,0.7707
2.9610e-09,0.7018
2.9707e-09,0.6280
2.9803e-09,0.5504
2.9900e-09,0.4707
2.9996e-09,0.3902
3.0092e-09,0.3099
3.0189e-09,0.2311
3.0285e-09,0.1555
3.0382e-09,0.0843
3.0478e-09,0.0183
3.0575e-09,-0.0414
3.0671e-09,-0.0942
3.0768e-09,-0.1401
3.0864e-09,-0.1789
3.0960e-09,-0.2100
3.1057e-09,-0.2332
3.1153e-09,-0.2492
3.1250e-09,-0.2590
3.1346e-09,-0.2636
3.1443e-09,-0.2636
3.1539e-09,-0.2601
3.1636e-09,-0.2543
3.1732e-09,-0.2469
3.1828e-09,-0.2384
3.1925e-09,-0.2298
3.2021e-09,-0.2217
3.2118e-09,-0.2145
3.2214e-09,-0.2088
3.2311e-09,-0.2052
3.2407e-09,-0.2040
3.2504e-09,-0.2053
3.2600e-09,-0.2089
3.2697e-09,-0.2146
3.2793e-09,-0.2219
3.2889e-09,-0.2303
3.2986e-09,-0.2390
3.3082e-09,-0.2476
3.3179e-09,-0.2557
3.3275e-09,-0.2626
3.3372e-09,-0.2681
3.3468e-09,-0.2720
3.3565e-09,-0.2741
3.3661e-09,-0.2742
3.3757e-09,-0.2723
3.3854e-09,-0.2689
3.3950e-09,-0.2639
3.4047e-09,-0.2578
3.4143e-09,-0.2509
3.4240e-09,-0.2433
3.4336e-09,-0.2354
3.4433e-09,-0.2275
3.4529e-09,-0.2196
3.4626e-09,-0.2117
3.4722e-09,-0.2033
3.4818e-09,-0.1938
3.4915e-09,-0.1826
3.5011e-09,-0.1691
3.5108e-09,-0.1523
3.5204e-09,-0.1310
3.5301e-09,-0.1043
3.5397e-09,-0.0716
3.5494e-09,-0.0324
3.5590e-09,0.0133
3.5687e-09,0.0653
3.5783e-09,0.1229
3.5879e-09,0.1855
3.5976e-09,0.2524
3.6072e-09,0.3225
3.6169e-09,0.3942
3.6265e-09,0.4663
3.6362e-09,0.5374
3.6458e-09,0.6063
3.6555e-09,0.6717
3.6651e-09,0.7326
3.6747e-09,0.7884
3.6844e-09,0.8386
3.6940e-09,0.8827
3.7037e-09,0.9210
3.7133e-09,0.9536
3.7230e-09,0.9809
3.7326e-09,1.0032
3.7423e-09,1.0214
3.7519e-09,1.0360
3.7616e-09,1.0478
3.7712e-09,1.0572
3.7808e-09,1.0648
3.7905e-09,1.0712
3.8001e-09,1.0767
3.8098e-09,1.0816
3.8194e-09,1.0863
3.8291e-09,1.0910
3.8387e-09,1.0961
3.8484e-09,1.1019
3.8580e-09,1.1085
3.8676e-09,1.1161
3.8773e-09,1.1245
3.8869e-09,1.1335
3.8966e-09,1.1427
3.9062e-09,1.1520
3.9159e-09,1.1611
3.9255e-09,1.1698
3.9352e-09,1.1778
3.9448e-09,1.1848
3.9545e-09,1.1906
3.9641e-09,1.1948
3.9737e-09,1.1974
3.9834e-09,1.1983
3.9930e-09,1.1975
4.0027e-09,1.1951
4.0123e-09,1.1913
4.0220e-09,1.1862
4.0316e-09,1.1799
4.0413e-09,1.1729
4.0509e-09,1.1652
4.0605e-09,1.1571
4.0702e-09,1.1488
4.0798e-09,1.1407
4.0895e-09,1.1328
4.0991e-09,1.1252
4.1088e-09,1.1181
4.1184e-09,1.1112
4.1281e-09,1.1047
4.1377e-09,1.0984
4.1474e-09,1.0924
4.1570e-09,1.0867
4.1666e-09,1.0817
4.1763e-09,1.0774
4.1859e-09,1.0740
