.HEADER
..NAMES
Time,V U1.U3
.DATA
0.0e+00,1.1999
9.6e-12,1.1999
1.93e-11,1.1999
2.89e-11,1.1999
3.86e-11,1.1999
4.82e-11,1.1999
5.79e-11,1.1999
6.75e-11,1.1999
7.72e-11,1.1999
8.68e-11,1.1999
9.65e-11,1.1999
1.061e-10,1.1999
1.157e-10,1.1999
1.254e-10,1.1999
1.350e-10,1.1999
1.447e-10,1.1999
1.543e-10,1.1999
1.640e-10,1.1999
1.736e-10,1.1999
1.833e-10,1.1999
1.929e-10,1.1999
2.025e-10,1.1999
2.122e-10,1.1999
2.218e-10,1.1999
2.315e-10,1.1999
2.411e-10,1.1999
2.508e-10,1.1999
2.604e-10,1.1999
2.701e-10,1.1999
2.797e-10,1.1999
2.893e-10,1.1999
2.990e-10,1.1999
3.086e-10,1.1999
3.183e-10,1.1999
3.279e-10,1.1999
3.376e-10,1.1999
3.472e-10,1.1999
3.569e-10,1.1997
3.665e-10,1.1987
3.762e-10,1.1951
3.858e-10,1.1866
3.954e-10,1.1701
4.051e-10,1.1429
4.147e-10,1.1035
4.244e-10,1.0518
4.340e-10,0.9890
4.437e-10,0.9168
4.533e-10,0.8372
4.630e-10,0.7522
4.726e-10,0.6636
4.823e-10,0.5729
4.919e-10,0.4817
5.015e-10,0.3917
5.112e-10,0.3045
5.208e-10,0.2214
5.305e-10,0.1435
5.401e-10,0.0717
5.498e-10,0.0068
5.594e-10,-0.0506
5.691e-10,-0.1001
5.787e-10,-0.1418
5.883e-10,-0.1763
5.980e-10,-0.2042
6.076e-10,-0.2261
6.173e-10,-0.2427
6.269e-10,-0.2544
6.366e-10,-0.2619
6.462e-10,-0.2659
6.559e-10,-0.2675
6.655e-10,-0.2674
6.751e-10,-0.2660
6.848e-10,-0.2637
6.944e-10,-0.2610
7.041e-10,-0.2583
7.137e-10,-0.2563
7.234e-10,-0.2555
7.330e-10,-0.2562
7.427e-10,-0.2584
7.523e-10,-0.2618
7.620e-10,-0.2658
7.716e-10,-0.2695
7.812e-10,-0.2722
7.909e-10,-0.2732
8.005e-10,-0.2723
8.102e-10,-0.2697
8.198e-10,-0.2661
8.295e-10,-0.2624
8.391e-10,-0.2596
8.488e-10,-0.2582
8.584e-10,-0.2585
8.681e-10,-0.2603
