.HEADER
..NAMES
Time,V U1.R1
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1686
1.861e-10,1.1119
2.094e-10,0.9527
2.327e-10,0.7941
2.559e-10,0.6799
2.792e-10,0.6005
3.025e-10,0.5473
3.257e-10,0.5191
3.490e-10,0.5077
3.723e-10,0.5046
3.955e-10,0.5058
4.188e-10,0.5078
4.421e-10,0.5088
4.653e-10,0.5096
4.886e-10,0.5098
5.119e-10,0.5099
5.351e-10,0.5112
5.584e-10,0.5131
5.817e-10,0.5144
6.049e-10,0.5135
6.282e-10,0.5100
6.515e-10,0.5042
6.747e-10,0.4956
6.980e-10,0.4835
7.213e-10,0.4651
7.445e-10,0.4347
7.678e-10,0.3889
7.911e-10,0.3314
8.143e-10,0.2680
8.376e-10,0.2025
8.609e-10,0.1381
8.841e-10,0.0791
9.074e-10,0.0293
9.307e-10,-0.0088
9.539e-10,-0.0351
9.772e-10,-0.0511
1.0005e-09,-0.0594
1.0237e-09,-0.0626
1.0470e-09,-0.0636
1.0703e-09,-0.0650
1.0935e-09,-0.0677
1.1168e-09,-0.0703
1.1401e-09,-0.0718
1.1633e-09,-0.0723
1.1866e-09,-0.0723
1.2099e-09,-0.0726
1.2332e-09,-0.0729
1.2564e-09,-0.0721
1.2797e-09,-0.0678
1.3030e-09,-0.0584
1.3262e-09,-0.0442
1.3495e-09,-0.0268
1.3728e-09,-0.0074
1.3960e-09,0.0130
1.4193e-09,0.0404
1.4426e-09,0.0932
1.4658e-09,0.2272
1.4891e-09,0.3969
1.5124e-09,0.5207
1.5356e-09,0.6074
1.5589e-09,0.6620
1.5822e-09,0.6868
1.6054e-09,0.6925
1.6287e-09,0.6893
1.6520e-09,0.6833
1.6752e-09,0.6780
1.6985e-09,0.6746
1.7218e-09,0.6731
1.7450e-09,0.6730
1.7683e-09,0.6742
1.7916e-09,0.6742
1.8148e-09,0.6715
1.8381e-09,0.6676
1.8614e-09,0.6635
1.8846e-09,0.6599
1.9079e-09,0.6578
1.9312e-09,0.6581
1.9544e-09,0.6604
1.9777e-09,0.6671
2.0010e-09,0.6856
2.0242e-09,0.7233
