.HEADER
..NAMES
Time,V U1.Y1
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1999
3.723e-10,1.1999
3.955e-10,1.1999
4.188e-10,1.1999
4.421e-10,1.1999
4.653e-10,1.1854
4.886e-10,1.1387
5.119e-10,1.0240
5.351e-10,0.8508
5.584e-10,0.7185
5.817e-10,0.6242
6.049e-10,0.5581
6.282e-10,0.5171
6.515e-10,0.4949
6.747e-10,0.4831
6.980e-10,0.4798
7.213e-10,0.4818
7.445e-10,0.4874
7.678e-10,0.4948
7.911e-10,0.5025
8.143e-10,0.5095
8.376e-10,0.5169
8.609e-10,0.5236
8.841e-10,0.5276
9.074e-10,0.5284
9.307e-10,0.5263
9.539e-10,0.5232
9.772e-10,0.5200
1.0005e-09,0.5152
1.0237e-09,0.5027
1.0470e-09,0.4773
1.0703e-09,0.4388
1.0935e-09,0.3896
1.1168e-09,0.3520
1.1401e-09,0.3902
1.1633e-09,0.5090
1.1866e-09,0.6044
1.2099e-09,0.6587
1.2332e-09,0.6877
1.2564e-09,0.6938
1.2797e-09,0.6865
1.3030e-09,0.6725
1.3262e-09,0.6556
1.3495e-09,0.6369
1.3728e-09,0.6163
1.3960e-09,0.5968
1.4193e-09,0.5797
1.4426e-09,0.5653
1.4658e-09,0.5517
1.4891e-09,0.5375
1.5124e-09,0.5247
1.5356e-09,0.5152
1.5589e-09,0.5107
1.5822e-09,0.5128
1.6054e-09,0.5226
1.6287e-09,0.5420
1.6520e-09,0.5743
1.6752e-09,0.6232
1.6985e-09,0.6870
1.7218e-09,0.7392
1.7450e-09,0.7682
1.7683e-09,0.7062
1.7916e-09,0.6154
1.8148e-09,0.5543
1.8381e-09,0.5143
1.8614e-09,0.4946
1.8846e-09,0.4915
1.9079e-09,0.4967
1.9312e-09,0.5044
1.9544e-09,0.5138
1.9777e-09,0.5251
2.0010e-09,0.5381
2.0242e-09,0.5518
2.0475e-09,0.5654
