.HEADER
..NAMES
Time,V U1.E3
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1999
3.723e-10,1.1999
3.955e-10,1.1999
4.188e-10,1.1999
4.421e-10,1.1999
4.653e-10,1.1855
4.886e-10,1.1393
5.119e-10,1.0261
5.351e-10,0.8563
5.584e-10,0.7285
5.817e-10,0.6411
6.049e-10,0.5850
6.282e-10,0.5587
6.515e-10,0.5502
6.747e-10,0.5440
6.980e-10,0.5395
7.213e-10,0.5388
7.445e-10,0.5354
7.678e-10,0.5258
7.911e-10,0.5164
8.143e-10,0.5112
8.376e-10,0.5062
8.609e-10,0.4995
8.841e-10,0.4978
9.074e-10,0.5046
9.307e-10,0.5136
9.539e-10,0.5221
9.772e-10,0.5316
1.0005e-09,0.5401
1.0237e-09,0.5384
1.0470e-09,0.5216
1.0703e-09,0.4907
1.0935e-09,0.4468
1.1168e-09,0.4096
1.1401e-09,0.4492
1.1633e-09,0.5624
1.1866e-09,0.6451
1.2099e-09,0.6839
1.2332e-09,0.6947
1.2564e-09,0.6797
1.2797e-09,0.6525
1.3030e-09,0.6274
1.3262e-09,0.6079
1.3495e-09,0.5918
1.3728e-09,0.5833
1.3960e-09,0.5862
1.4193e-09,0.5925
1.4426e-09,0.5948
1.4658e-09,0.5957
1.4891e-09,0.5963
1.5124e-09,0.5907
1.5356e-09,0.5757
1.5589e-09,0.5578
1.5822e-09,0.5431
1.6054e-09,0.5325
1.6287e-09,0.5304
1.6520e-09,0.5449
1.6752e-09,0.5814
1.6985e-09,0.6370
1.7218e-09,0.7087
1.7450e-09,0.7943
1.7683e-09,0.8861
1.7916e-09,0.9720
1.8148e-09,1.0457
1.8381e-09,1.1069
1.8614e-09,1.1545
1.8846e-09,1.1862
1.9079e-09,1.2050
1.9312e-09,1.2169
1.9544e-09,1.2238
1.9777e-09,1.2254
2.0010e-09,1.2246
2.0242e-09,1.2252
2.0475e-09,1.2277
