.HEADER
..NAMES
Time,V U1.U3
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1999
3.723e-10,1.1999
3.955e-10,1.1999
4.188e-10,1.1999
4.421e-10,1.1999
4.653e-10,1.1855
4.886e-10,1.1392
5.119e-10,1.0257
5.351e-10,0.8553
5.584e-10,0.7282
5.817e-10,0.6411
6.049e-10,0.5860
6.282e-10,0.5523
6.515e-10,0.5334
6.747e-10,0.5228
6.980e-10,0.5165
7.213e-10,0.5117
7.445e-10,0.5076
7.678e-10,0.5040
7.911e-10,0.5014
8.143e-10,0.4998
8.376e-10,0.4999
8.609e-10,0.5023
8.841e-10,0.5063
9.074e-10,0.5101
9.307e-10,0.5129
9.539e-10,0.5155
9.772e-10,0.5173
1.0005e-09,0.5111
1.0237e-09,0.4895
1.0470e-09,0.4515
1.0703e-09,0.3972
1.0935e-09,0.3305
1.1168e-09,0.2596
1.1401e-09,0.1912
1.1633e-09,0.1308
1.1866e-09,0.0815
1.2099e-09,0.0432
1.2332e-09,0.0141
1.2564e-09,-0.0074
1.2797e-09,-0.0225
1.3030e-09,-0.0330
1.3262e-09,-0.0414
1.3495e-09,-0.0498
1.3728e-09,-0.0579
1.3960e-09,-0.0647
1.4193e-09,-0.0701
1.4426e-09,-0.0754
1.4658e-09,-0.0811
1.4891e-09,-0.0863
1.5124e-09,-0.0894
1.5356e-09,-0.0881
1.5589e-09,-0.0795
1.5822e-09,-0.0632
1.6054e-09,-0.0405
1.6287e-09,-0.0146
1.6520e-09,0.0097
1.6752e-09,0.0288
1.6985e-09,0.0414
1.7218e-09,0.0499
1.7450e-09,0.0742
1.7683e-09,0.1540
1.7916e-09,0.3018
1.8148e-09,0.4366
1.8381e-09,0.5360
1.8614e-09,0.6040
1.8846e-09,0.6436
1.9079e-09,0.6658
1.9312e-09,0.6760
1.9544e-09,0.6814
1.9777e-09,0.6859
2.0010e-09,0.6901
2.0242e-09,0.6947
