.HEADER
..NAMES
Time,V U2.M7
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0037
3.723e-10,0.0134
3.955e-10,0.0511
4.188e-10,0.1464
4.421e-10,0.2846
4.653e-10,0.4175
4.886e-10,0.5399
5.119e-10,0.6772
5.351e-10,0.8217
5.584e-10,0.9539
5.817e-10,1.0647
6.049e-10,1.1464
6.282e-10,1.1977
6.515e-10,1.2262
6.747e-10,1.2445
6.980e-10,1.2596
7.213e-10,1.2757
7.445e-10,1.2949
7.678e-10,1.3158
7.911e-10,1.3296
8.143e-10,1.3280
8.376e-10,1.3140
8.609e-10,1.2983
8.841e-10,1.2833
9.074e-10,1.2562
9.307e-10,1.2083
9.539e-10,1.1509
9.772e-10,1.1015
1.0005e-09,1.0669
1.0237e-09,1.0466
1.0470e-09,1.0386
1.0703e-09,1.0393
1.0935e-09,1.0469
1.1168e-09,1.0618
1.1401e-09,1.0826
1.1633e-09,1.1048
1.1866e-09,1.1248
1.2099e-09,1.1412
1.2332e-09,1.1518
1.2564e-09,1.1546
1.2797e-09,1.1524
1.3030e-09,1.1539
1.3262e-09,1.1661
1.3495e-09,1.1868
1.3728e-09,1.2078
1.3960e-09,1.2246
1.4193e-09,1.2390
1.4426e-09,1.2536
1.4658e-09,1.2672
1.4891e-09,1.2760
1.5124e-09,1.2766
1.5356e-09,1.2679
1.5589e-09,1.2530
1.5822e-09,1.2345
1.6054e-09,1.2038
1.6287e-09,1.1449
1.6520e-09,1.0332
1.6752e-09,0.8797
1.6985e-09,0.7315
1.7218e-09,0.6007
1.7450e-09,0.4590
1.7683e-09,0.3083
1.7916e-09,0.1720
1.8148e-09,0.0593
1.8381e-09,-0.0261
1.8614e-09,-0.0839
1.8846e-09,-0.1194
1.9079e-09,-0.1420
1.9312e-09,-0.1581
1.9544e-09,-0.1723
1.9777e-09,-0.1874
2.0010e-09,-0.2021
2.0242e-09,-0.2080
2.0475e-09,-0.1968
2.0708e-09,-0.1729
2.0940e-09,-0.1475
2.1173e-09,-0.1237
2.1406e-09,-0.0906
2.1638e-09,-0.0387
2.1871e-09,0.0220
2.2104e-09,0.0743
2.2336e-09,0.1118
2.2569e-09,0.1367
2.2802e-09,0.1508
2.3034e-09,0.1563
2.3267e-09,0.1544
2.3500e-09,0.1454
2.3732e-09,0.1307
2.3965e-09,0.1137
2.4198e-09,0.0969
2.4430e-09,0.0814
2.4663e-09,0.0693
2.4896e-09,0.0636
2.5128e-09,0.0625
2.5361e-09,0.0582
2.5594e-09,0.0440
2.5826e-09,0.0219
2.6059e-09,-0.0001
2.6292e-09,-0.0174
2.6524e-09,-0.0320
2.6757e-09,-0.0469
2.6990e-09,-0.0610
2.7222e-09,-0.0707
2.7455e-09,-0.0729
2.7688e-09,-0.0673
2.7920e-09,-0.0559
2.8153e-09,-0.0422
2.8386e-09,-0.0287
2.8618e-09,-0.0128
2.8851e-09,0.0195
2.9084e-09,0.0986
2.9316e-09,0.2320
2.9549e-09,0.3791
2.9782e-09,0.5108
3.0014e-09,0.6440
3.0247e-09,0.7879
3.0480e-09,0.9281
3.0712e-09,1.0529
3.0945e-09,1.1535
3.1178e-09,1.2221
3.1410e-09,1.2594
3.1643e-09,1.2773
3.1876e-09,1.2872
3.2108e-09,1.2959
3.2341e-09,1.3070
3.2574e-09,1.3208
3.2806e-09,1.3308
3.3039e-09,1.3274
3.3272e-09,1.3097
3.3504e-09,1.2878
3.3737e-09,1.2702
3.3970e-09,1.2498
3.4202e-09,1.2125
3.4435e-09,1.1593
3.4668e-09,1.1060
3.4901e-09,1.0648
3.5133e-09,1.0390
3.5366e-09,1.0276
3.5599e-09,1.0269
3.5831e-09,1.0328
3.6064e-09,1.0446
3.6297e-09,1.0632
3.6529e-09,1.0864
3.6762e-09,1.1108
3.6995e-09,1.1335
3.7227e-09,1.1516
3.7460e-09,1.1615
3.7693e-09,1.1629
3.7925e-09,1.1628
3.8158e-09,1.1704
3.8391e-09,1.1880
3.8623e-09,1.2093
3.8856e-09,1.2270
3.9089e-09,1.2401
3.9321e-09,1.2518
3.9554e-09,1.2637
3.9787e-09,1.2737
4.0019e-09,1.2781
4.0252e-09,1.2738
4.0485e-09,1.2614
4.0717e-09,1.2445
4.0950e-09,1.2272
4.1183e-09,1.2124
4.1415e-09,1.2018
4.1648e-09,1.1957
4.1881e-09,1.1927
4.2113e-09,1.1903
4.2346e-09,1.1878
4.2579e-09,1.1873
4.2811e-09,1.1900
4.3044e-09,1.1935
4.3277e-09,1.1934
4.3509e-09,1.1879
4.3742e-09,1.1793
4.3975e-09,1.1722
4.4207e-09,1.1694
4.4440e-09,1.1713
