.HEADER
..NAMES
Time,V U2.M8
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0030
3.723e-10,0.0086
3.955e-10,0.0342
4.188e-10,0.1084
4.421e-10,0.2328
4.653e-10,0.3589
4.886e-10,0.4786
5.119e-10,0.6087
5.351e-10,0.7535
5.584e-10,0.8889
5.817e-10,1.0102
6.049e-10,1.1078
6.282e-10,1.1762
6.515e-10,1.2183
6.747e-10,1.2416
6.980e-10,1.2565
7.213e-10,1.2672
7.445e-10,1.2798
7.678e-10,1.2976
7.911e-10,1.3161
8.143e-10,1.3251
8.376e-10,1.3215
8.609e-10,1.3136
8.841e-10,1.3102
9.074e-10,1.3057
9.307e-10,1.2834
9.539e-10,1.2398
9.772e-10,1.1895
1.0005e-09,1.1437
1.0237e-09,1.1053
1.0470e-09,1.0772
1.0703e-09,1.0598
1.0935e-09,1.0510
1.1168e-09,1.0506
1.1401e-09,1.0594
1.1633e-09,1.0757
1.1866e-09,1.0959
1.2099e-09,1.1179
1.2332e-09,1.1400
1.2564e-09,1.1566
1.2797e-09,1.1621
1.3030e-09,1.1580
1.3262e-09,1.1538
1.3495e-09,1.1579
1.3728e-09,1.1693
1.3960e-09,1.1817
1.4193e-09,1.1917
1.4426e-09,1.2021
1.4658e-09,1.2161
1.4891e-09,1.2329
1.5124e-09,1.2498
1.5356e-09,1.2629
1.5589e-09,1.2687
1.5822e-09,1.2666
1.6054e-09,1.2581
1.6287e-09,1.2452
1.6520e-09,1.2303
1.6752e-09,1.2171
1.6985e-09,1.2078
1.7218e-09,1.2015
1.7450e-09,1.1952
1.7683e-09,1.1894
1.7916e-09,1.1875
1.8148e-09,1.1917
1.8381e-09,1.1993
1.8614e-09,1.2048
1.8846e-09,1.2046
1.9079e-09,1.1997
1.9312e-09,1.1929
1.9544e-09,1.1867
1.9777e-09,1.1822
2.0010e-09,1.1792
2.0242e-09,1.1773
2.0475e-09,1.1768
2.0708e-09,1.1783
2.0940e-09,1.1817
2.1173e-09,1.1872
2.1406e-09,1.1951
2.1638e-09,1.2045
2.1871e-09,1.2126
2.2104e-09,1.2165
2.2336e-09,1.2158
2.2569e-09,1.2129
2.2802e-09,1.2105
2.3034e-09,1.2090
2.3267e-09,1.2072
2.3500e-09,1.2043
2.3732e-09,1.2010
2.3965e-09,1.1992
2.4198e-09,1.2001
2.4430e-09,1.2033
2.4663e-09,1.2074
2.4896e-09,1.2108
2.5128e-09,1.2125
2.5361e-09,1.2121
2.5594e-09,1.2096
2.5826e-09,1.2062
2.6059e-09,1.2029
2.6292e-09,1.2006
2.6524e-09,1.1986
2.6757e-09,1.1961
2.6990e-09,1.1934
2.7222e-09,1.1918
2.7455e-09,1.1927
2.7688e-09,1.1958
2.7920e-09,1.1996
2.8153e-09,1.2026
2.8386e-09,1.2026
2.8618e-09,1.1884
2.8851e-09,1.1448
2.9084e-09,1.0456
2.9316e-09,0.9053
2.9549e-09,0.7698
2.9782e-09,0.6425
3.0014e-09,0.5018
3.0247e-09,0.3490
3.0480e-09,0.2112
3.0712e-09,0.0933
3.0945e-09,0.0062
3.1178e-09,-0.0509
3.1410e-09,-0.0833
3.1643e-09,-0.1027
3.1876e-09,-0.1169
3.2108e-09,-0.1298
3.2341e-09,-0.1458
3.2574e-09,-0.1660
3.2806e-09,-0.1842
3.3039e-09,-0.1906
3.3272e-09,-0.1858
3.3504e-09,-0.1785
3.3737e-09,-0.1741
3.3970e-09,-0.1627
3.4202e-09,-0.1288
3.4435e-09,-0.0740
3.4668e-09,-0.0158
3.4901e-09,0.0346
3.5133e-09,0.0754
3.5366e-09,0.1059
3.5599e-09,0.1265
3.5831e-09,0.1387
3.6064e-09,0.1412
3.6297e-09,0.1336
3.6529e-09,0.1186
3.6762e-09,0.1003
3.6995e-09,0.0815
3.7227e-09,0.0644
3.7460e-09,0.0546
3.7693e-09,0.0558
3.7925e-09,0.0635
3.8158e-09,0.0672
3.8391e-09,0.0610
3.8623e-09,0.0480
3.8856e-09,0.0353
3.9089e-09,0.0248
3.9321e-09,0.0119
3.9554e-09,-0.0060
3.9787e-09,-0.0270
4.0019e-09,-0.0468
4.0252e-09,-0.0608
4.0485e-09,-0.0663
4.0717e-09,-0.0638
4.0950e-09,-0.0553
4.1183e-09,-0.0391
4.1415e-09,-0.0026
4.1648e-09,0.0779
4.1881e-09,0.2074
4.2113e-09,0.3439
4.2346e-09,0.4719
4.2579e-09,0.6067
4.2811e-09,0.7516
4.3044e-09,0.8852
4.3277e-09,1.0015
4.3509e-09,1.1000
4.3742e-09,1.1744
4.3975e-09,1.2258
4.4207e-09,1.2575
4.4440e-09,1.2781
