.HEADER
..NAMES
Time,V U2.P8
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1996
3.723e-10,1.1924
3.955e-10,1.1626
4.188e-10,1.0915
4.421e-10,0.9700
4.653e-10,0.8412
4.886e-10,0.7290
5.119e-10,0.6098
5.351e-10,0.4563
5.584e-10,0.3004
5.817e-10,0.1708
6.049e-10,0.0648
6.282e-10,-0.0222
6.515e-10,-0.0833
6.747e-10,-0.1200
6.980e-10,-0.1378
7.213e-10,-0.1474
7.445e-10,-0.1542
7.678e-10,-0.1629
7.911e-10,-0.1714
8.143e-10,-0.1773
8.376e-10,-0.1779
8.609e-10,-0.1760
8.841e-10,-0.1778
9.074e-10,-0.1879
9.307e-10,-0.2005
9.539e-10,-0.2015
9.772e-10,-0.1788
1.0005e-09,-0.1378
1.0237e-09,-0.0960
1.0470e-09,-0.0600
1.0703e-09,-0.0198
1.0935e-09,0.0274
1.1168e-09,0.0694
1.1401e-09,0.0993
1.1633e-09,0.1210
1.1866e-09,0.1355
1.2099e-09,0.1380
1.2332e-09,0.1267
1.2564e-09,0.1061
1.2797e-09,0.0831
1.3030e-09,0.0643
1.3262e-09,0.0535
1.3495e-09,0.0491
1.3728e-09,0.0464
1.3960e-09,0.0414
1.4193e-09,0.0354
1.4426e-09,0.0335
1.4658e-09,0.0386
1.4891e-09,0.0472
1.5124e-09,0.0510
1.5356e-09,0.0448
1.5589e-09,0.0314
1.5822e-09,0.0161
1.6054e-09,-0.0000
1.6287e-09,-0.0170
1.6520e-09,-0.0224
1.6752e-09,0.0124
1.6985e-09,0.1115
1.7218e-09,0.2358
1.7450e-09,0.3445
1.7683e-09,0.4557
1.7916e-09,0.6079
1.8148e-09,0.7790
1.8381e-09,0.9302
1.8614e-09,1.0555
1.8846e-09,1.1566
1.9079e-09,1.2266
1.9312e-09,1.2673
1.9544e-09,1.2870
1.9777e-09,1.2958
2.0010e-09,1.2981
2.0242e-09,1.2986
