.HEADER
..NAMES
Time,V U2.K2
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0040
3.723e-10,0.0119
3.955e-10,0.0379
4.188e-10,0.0913
4.421e-10,0.1571
4.653e-10,0.2366
4.886e-10,0.3285
5.119e-10,0.4210
5.351e-10,0.5054
5.584e-10,0.5699
5.817e-10,0.6257
6.049e-10,0.6793
6.282e-10,0.7258
6.515e-10,0.7727
6.747e-10,0.8295
6.980e-10,0.8997
7.213e-10,0.9761
7.445e-10,1.0492
7.678e-10,1.1183
7.911e-10,1.1794
8.143e-10,1.2251
8.376e-10,1.2537
8.609e-10,1.2685
8.841e-10,1.2729
9.074e-10,1.2661
9.307e-10,1.2495
9.539e-10,1.2303
9.772e-10,1.2155
1.0005e-09,1.2086
1.0237e-09,1.2109
1.0470e-09,1.2226
1.0703e-09,1.2402
1.0935e-09,1.2563
1.1168e-09,1.2642
1.1401e-09,1.2597
1.1633e-09,1.2428
1.1866e-09,1.2163
1.2099e-09,1.1857
1.2332e-09,1.1566
1.2564e-09,1.1335
1.2797e-09,1.1201
1.3030e-09,1.1179
1.3262e-09,1.1249
1.3495e-09,1.1368
1.3728e-09,1.1498
1.3960e-09,1.1613
1.4193e-09,1.1690
1.4426e-09,1.1712
1.4658e-09,1.1687
1.4891e-09,1.1634
1.5124e-09,1.1565
1.5356e-09,1.1489
1.5589e-09,1.1432
1.5822e-09,1.1404
1.6054e-09,1.1352
1.6287e-09,1.1190
1.6520e-09,1.0775
1.6752e-09,1.0224
1.6985e-09,0.9539
1.7218e-09,0.8658
1.7450e-09,0.7697
1.7683e-09,0.6753
1.7916e-09,0.5969
1.8148e-09,0.5297
1.8381e-09,0.4666
1.8614e-09,0.4143
1.8846e-09,0.3682
1.9079e-09,0.3168
1.9312e-09,0.2545
1.9544e-09,0.1849
1.9777e-09,0.1164
2.0010e-09,0.0497
2.0242e-09,-0.0138
2.0475e-09,-0.0667
2.0708e-09,-0.1055
2.0940e-09,-0.1313
2.1173e-09,-0.1462
2.1406e-09,-0.1484
2.1638e-09,-0.1372
2.1871e-09,-0.1182
2.2104e-09,-0.0990
2.2336e-09,-0.0845
2.2569e-09,-0.0774
2.2802e-09,-0.0797
2.3034e-09,-0.0904
2.3267e-09,-0.1042
2.3500e-09,-0.1142
2.3732e-09,-0.1152
2.3965e-09,-0.1042
2.4198e-09,-0.0823
2.4430e-09,-0.0526
2.4663e-09,-0.0198
2.4896e-09,0.0112
2.5128e-09,0.0356
2.5361e-09,0.0500
2.5594e-09,0.0544
2.5826e-09,0.0518
2.6059e-09,0.0454
2.6292e-09,0.0374
2.6524e-09,0.0303
2.6757e-09,0.0266
2.6990e-09,0.0270
2.7222e-09,0.0306
2.7455e-09,0.0373
2.7688e-09,0.0468
2.7920e-09,0.0569
2.8153e-09,0.0638
2.8386e-09,0.0650
2.8618e-09,0.0626
2.8851e-09,0.0646
2.9084e-09,0.0862
2.9316e-09,0.1272
2.9549e-09,0.1852
2.9782e-09,0.2643
3.0014e-09,0.3579
3.0247e-09,0.4550
3.0480e-09,0.5399
3.0712e-09,0.6094
3.0945e-09,0.6701
3.1178e-09,0.7202
3.1410e-09,0.7603
3.1643e-09,0.8009
3.1876e-09,0.8517
3.2108e-09,0.9138
3.2341e-09,0.9807
3.2574e-09,1.0486
3.2806e-09,1.1161
3.3039e-09,1.1767
3.3272e-09,1.2240
3.3504e-09,1.2574
3.3737e-09,1.2788
3.3970e-09,1.2873
3.4202e-09,1.2809
3.4435e-09,1.2624
3.4668e-09,1.2393
3.4901e-09,1.2183
3.5133e-09,1.2043
3.5366e-09,1.2015
3.5599e-09,1.2114
3.5831e-09,1.2303
3.6064e-09,1.2501
3.6297e-09,1.2632
3.6529e-09,1.2643
3.6762e-09,1.2520
3.6995e-09,1.2283
3.7227e-09,1.1979
3.7460e-09,1.1665
3.7693e-09,1.1398
3.7925e-09,1.1227
3.8158e-09,1.1169
3.8391e-09,1.1207
3.8623e-09,1.1310
3.8856e-09,1.1445
3.9089e-09,1.1583
3.9321e-09,1.1691
3.9554e-09,1.1752
3.9787e-09,1.1765
4.0019e-09,1.1735
4.0252e-09,1.1662
4.0485e-09,1.1561
4.0717e-09,1.1467
4.0950e-09,1.1418
4.1183e-09,1.1439
4.1415e-09,1.1537
4.1648e-09,1.1705
4.1881e-09,1.1910
4.2113e-09,1.2097
4.2346e-09,1.2216
4.2579e-09,1.2245
4.2811e-09,1.2193
4.3044e-09,1.2085
4.3277e-09,1.1959
4.3509e-09,1.1857
4.3742e-09,1.1811
4.3975e-09,1.1830
4.4207e-09,1.1906
4.4440e-09,1.2018
