.HEADER
..NAMES
Time,V U2.C3
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1999
3.723e-10,1.1999
3.955e-10,1.1999
4.188e-10,1.1999
4.421e-10,1.1999
4.653e-10,1.1999
4.886e-10,1.1999
5.119e-10,1.1999
5.351e-10,1.1999
5.584e-10,1.1999
5.817e-10,1.1999
6.049e-10,1.1999
6.282e-10,1.1999
6.515e-10,1.1967
6.747e-10,1.1757
6.980e-10,1.1229
7.213e-10,1.0206
7.445e-10,0.9042
7.678e-10,0.8167
7.911e-10,0.7178
8.143e-10,0.5780
8.376e-10,0.4359
8.609e-10,0.3123
8.841e-10,0.1989
9.074e-10,0.0974
9.307e-10,0.0171
9.539e-10,-0.0416
9.772e-10,-0.0844
1.0005e-09,-0.1165
1.0237e-09,-0.1375
1.0470e-09,-0.1460
1.0703e-09,-0.1438
1.0935e-09,-0.1398
1.1168e-09,-0.1455
1.1401e-09,-0.1621
1.1633e-09,-0.1810
1.1866e-09,-0.1876
1.2099e-09,-0.1722
1.2332e-09,-0.1475
1.2564e-09,-0.1292
1.2797e-09,-0.1067
1.3030e-09,-0.0686
1.3262e-09,-0.0261
1.3495e-09,0.0113
1.3728e-09,0.0463
1.3960e-09,0.0778
1.4193e-09,0.0988
1.4426e-09,0.1074
1.4658e-09,0.1098
1.4891e-09,0.1109
1.5124e-09,0.1101
1.5356e-09,0.1025
1.5589e-09,0.0855
1.5822e-09,0.0639
1.6054e-09,0.0466
1.6287e-09,0.0390
1.6520e-09,0.0398
1.6752e-09,0.0425
1.6985e-09,0.0414
1.7218e-09,0.0389
1.7450e-09,0.0390
1.7683e-09,0.0376
1.7916e-09,0.0296
1.8148e-09,0.0172
1.8381e-09,0.0028
1.8614e-09,-0.0144
1.8846e-09,-0.0326
1.9079e-09,-0.0452
1.9312e-09,-0.0489
1.9544e-09,-0.0468
1.9777e-09,-0.0440
2.0010e-09,-0.0420
