.HEADER
..NAMES
Time,V U2.C8
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0027
3.955e-10,0.0027
4.188e-10,0.0027
4.421e-10,0.0027
4.653e-10,0.0027
4.886e-10,0.0027
5.119e-10,0.0027
5.351e-10,0.0027
5.584e-10,0.0027
5.817e-10,0.0027
6.049e-10,0.0027
6.282e-10,0.0027
6.515e-10,0.0033
6.747e-10,0.0107
6.980e-10,0.0411
7.213e-10,0.1199
7.445e-10,0.2284
7.678e-10,0.3266
7.911e-10,0.4174
8.143e-10,0.5190
8.376e-10,0.6279
8.609e-10,0.7439
8.841e-10,0.8642
9.074e-10,0.9751
9.307e-10,1.0689
9.539e-10,1.1398
9.772e-10,1.1880
1.0005e-09,1.2187
1.0237e-09,1.2415
1.0470e-09,1.2642
1.0703e-09,1.2827
1.0935e-09,1.2906
1.1168e-09,1.2928
1.1401e-09,1.3023
1.1633e-09,1.3210
1.1866e-09,1.3325
1.2099e-09,1.3255
1.2332e-09,1.3030
1.2564e-09,1.2702
1.2797e-09,1.2342
1.3030e-09,1.2036
1.3262e-09,1.1792
1.3495e-09,1.1588
1.3728e-09,1.1399
1.3960e-09,1.1190
1.4193e-09,1.0965
1.4426e-09,1.0796
1.4658e-09,1.0764
1.4891e-09,1.0870
1.5124e-09,1.1018
1.5356e-09,1.1139
1.5589e-09,1.1245
1.5822e-09,1.1370
1.6054e-09,1.1499
1.6287e-09,1.1587
1.6520e-09,1.1618
1.6752e-09,1.1603
1.6985e-09,1.1578
1.7218e-09,1.1593
1.7450e-09,1.1680
1.7683e-09,1.1836
1.7916e-09,1.2033
1.8148e-09,1.2212
1.8381e-09,1.2313
1.8614e-09,1.2336
1.8846e-09,1.2338
1.9079e-09,1.2371
1.9312e-09,1.2423
1.9544e-09,1.2448
1.9777e-09,1.2418
2.0010e-09,1.2346
2.0242e-09,1.2257
2.0475e-09,1.2170
2.0708e-09,1.2094
2.0940e-09,1.2033
2.1173e-09,1.1988
2.1406e-09,1.1962
2.1638e-09,1.1958
2.1871e-09,1.1980
2.2104e-09,1.2026
2.2336e-09,1.2073
2.2569e-09,1.2082
2.2802e-09,1.2027
2.3034e-09,1.1931
2.3267e-09,1.1845
2.3500e-09,1.1806
2.3732e-09,1.1813
2.3965e-09,1.1840
2.4198e-09,1.1865
2.4430e-09,1.1879
2.4663e-09,1.1889
2.4896e-09,1.1904
2.5128e-09,1.1919
2.5361e-09,1.1811
2.5594e-09,1.1443
2.5826e-09,1.0582
2.6059e-09,0.9414
2.6292e-09,0.8396
2.6524e-09,0.7469
2.6757e-09,0.6396
2.6990e-09,0.5215
2.7222e-09,0.3941
2.7455e-09,0.2632
2.7688e-09,0.1489
2.7920e-09,0.0578
2.8153e-09,-0.0060
2.8386e-09,-0.0465
2.8618e-09,-0.0731
2.8851e-09,-0.0961
2.9084e-09,-0.1218
2.9316e-09,-0.1435
2.9549e-09,-0.1538
2.9782e-09,-0.1581
3.0014e-09,-0.1698
3.0247e-09,-0.1903
3.0480e-09,-0.2013
3.0712e-09,-0.1903
3.0945e-09,-0.1627
3.1178e-09,-0.1250
3.1410e-09,-0.0852
3.1643e-09,-0.0481
3.1876e-09,0.0044
3.2108e-09,0.1052
3.2341e-09,0.2480
3.2574e-09,0.3828
3.2806e-09,0.5026
3.3039e-09,0.6230
3.3272e-09,0.7349
3.3504e-09,0.8382
3.3737e-09,0.9455
3.3970e-09,1.0490
3.4202e-09,1.1371
3.4435e-09,1.2006
3.4668e-09,1.2376
3.4901e-09,1.2592
3.5133e-09,1.2770
3.5366e-09,1.2993
3.5599e-09,1.3198
3.5831e-09,1.3234
3.6064e-09,1.3106
3.6297e-09,1.2984
3.6529e-09,1.2964
3.6762e-09,1.2944
3.6995e-09,1.2816
3.7227e-09,1.2585
3.7460e-09,1.2247
3.7693e-09,1.1822
3.7925e-09,1.1440
3.8158e-09,1.1186
3.8391e-09,1.1053
3.8623e-09,1.0995
3.8856e-09,1.0928
3.9089e-09,1.0810
3.9321e-09,1.0704
3.9554e-09,1.0710
3.9787e-09,1.0856
4.0019e-09,1.1045
4.0252e-09,1.1177
4.0485e-09,1.1260
4.0717e-09,1.1344
4.0950e-09,1.1447
4.1183e-09,1.1560
4.1415e-09,1.1673
4.1648e-09,1.1766
4.1881e-09,1.1812
4.2113e-09,1.1835
4.2346e-09,1.1888
4.2579e-09,1.2006
4.2811e-09,1.2188
4.3044e-09,1.2377
4.3277e-09,1.2483
4.3509e-09,1.2480
4.3742e-09,1.2420
4.3975e-09,1.2331
4.4207e-09,1.2087
4.4440e-09,1.1501
4.4673e-09,1.0387
