.HEADER
..NAMES
Time,V U2.K3
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1997
3.723e-10,1.1935
3.955e-10,1.1740
4.188e-10,1.1222
4.421e-10,1.0344
4.653e-10,0.9227
4.886e-10,0.7913
5.119e-10,0.6522
5.351e-10,0.5016
5.584e-10,0.3514
5.817e-10,0.2189
6.049e-10,0.1145
6.282e-10,0.0337
6.515e-10,-0.0342
6.747e-10,-0.0925
6.980e-10,-0.1376
7.213e-10,-0.1593
7.445e-10,-0.1633
7.678e-10,-0.1617
7.911e-10,-0.1588
8.143e-10,-0.1557
8.376e-10,-0.1517
8.609e-10,-0.1521
8.841e-10,-0.1649
9.074e-10,-0.1876
9.307e-10,-0.2088
9.539e-10,-0.2194
9.772e-10,-0.2157
1.0005e-09,-0.1997
1.0237e-09,-0.1739
1.0470e-09,-0.1378
1.0703e-09,-0.0927
1.0935e-09,-0.0451
1.1168e-09,-0.0016
1.1401e-09,0.0346
1.1633e-09,0.0638
1.1866e-09,0.0888
1.2099e-09,0.1090
1.2332e-09,0.1222
1.2564e-09,0.1255
1.2797e-09,0.1176
1.3030e-09,0.0999
1.3262e-09,0.0770
1.3495e-09,0.0542
1.3728e-09,0.0356
1.3960e-09,0.0235
1.4193e-09,0.0190
1.4426e-09,0.0226
1.4658e-09,0.0333
1.4891e-09,0.0464
1.5124e-09,0.0563
1.5356e-09,0.0595
1.5589e-09,0.0565
1.5822e-09,0.0500
1.6054e-09,0.0413
1.6287e-09,0.0297
1.6520e-09,0.0152
1.6752e-09,-0.0003
1.6985e-09,-0.0147
1.7218e-09,-0.0282
1.7450e-09,-0.0420
1.7683e-09,-0.0553
1.7916e-09,-0.0640
1.8148e-09,-0.0639
1.8381e-09,-0.0548
1.8614e-09,-0.0401
1.8846e-09,-0.0241
1.9079e-09,-0.0093
1.9312e-09,0.0032
1.9544e-09,0.0118
1.9777e-09,0.0147
2.0010e-09,0.0116
