Altium Designer Pick and Place Locations
C:\Users\quyen.cong\Desktop\New folder (3)\02.Project Board module Am625_12h_2801_Final\02.Project Board module Am625_20h_1911\Project\Project Outputs for Project Board Module AM625\Pick Place for PCB MODULE AM625.csv

========================================================================================================================
File Design Information:

Date:       03/02/24
Time:       11:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C135","10n","BottomLayer","C0201","13.6553","8.6859","270","CAP CER .01UF 16V 10% X5R 0201"
"R15","49R9","TopLayer","R0402","5.4000","2.0281","90","RES 49.9 OHM 1/16W 1% 0402 SMD"
"R14","0R","TopLayer","R0402","4.5000","2.0281","90","RES 0.0 OHM 1/16W 0402 SMD"
"FL9","BLM18SG260TN1D","TopLayer","BLM18EG101TH1D","27.4617","21.1011","0","FERRITE BEAD 26 OHM 0603 1LN"
"PIN1","Pin OUT AM625","TopLayer","PIN_OUT_AM625_-_136PIN","16.2500","15.6000","0",""
"Y2","32.7680KHZ","TopLayer","ECS327934QSTR","21.3611","2.0750","180","CRYSTAL 32.7680KHZ 9PF SMD"
"Y1","25MHZ","TopLayer","XRCGB25M000F3M00R0","13.4246","2.0682","180","CRYSTAL 25.0000MHZ 6PF SMD"
"R58","10k","TopLayer","R0402","2.6098","21.4325","0","RES 10.0K OHM 1/16W 1% 0402 SMD"
"R57","10k","TopLayer","R0402","2.6098","20.5300","180","RES 10.0K OHM 1/16W 1% 0402 SMD"
"R56","499R","TopLayer","R0402","13.7000","18.2805","180","RES SMD 499 OHM 0.1% 1/16W 0402"
"R55","10k","TopLayer","R0402","2.6098","18.7000","0","RES 10.0K OHM 1/16W 1% 0402 SMD"
"R54","499R","TopLayer","R0402","10.2863","18.2805","0","RES SMD 499 OHM 0.1% 1/16W 0402"
"R53","10k","TopLayer","R0402","2.6098","19.6169","180","RES 10.0K OHM 1/16W 1% 0402 SMD"
"R51","33R","TopLayer","R0201","2.9232","15.3344","0","RES 33 OHM 1% 1/20W 0201"
"R52","33R","TopLayer","R0201","2.9232","13.5867","0","RES 33 OHM 1% 1/20W 0201"
"R50","9.76K","TopLayer","R0201","26.2421","19.5500","0","RES 9.76K OHM 1% 1/20W 0201"
"R49","56.2K","TopLayer","R0201","26.2421","20.1723","180","RES 56.2K OHM 1% 1/20W 0201"
"R48","33R","TopLayer","R0201","7.1612","2.3611","90","RES 33 OHM 1% 1/20W 0201"
"R47","33R","TopLayer","R0201","2.7250","4.2104","180","RES 33 OHM 1% 1/20W 0201"
"R46","2k2","TopLayer","R0402","2.7000","4.9613","180","RES 2.20K OHM 1/16W 1% 0402 SMD"
"R45","2k2","TopLayer","R0402","2.7000","3.3995","180","RES 2.20K OHM 1/16W 1% 0402 SMD"
"R44","2k2","TopLayer","R0402","6.5000","2.0281","270","RES 2.20K OHM 1/16W 1% 0402 SMD"
"R43","2k2","TopLayer","R0402","7.8432","2.0281","270","RES 2.20K OHM 1/16W 1% 0402 SMD"
"R42","0R","TopLayer","R0402","2.7000","6.6750","0","RES 0.0 OHM 1/16W 0402 SMD"
"R41","10k","TopLayer","R0201","8.8854","2.7500","270","RES 10K OHM 1/20W 1% 0201 SMD"
"R40","10k","TopLayer","R0201","2.7065","5.9209","180","RES 10K OHM 1/20W 1% 0201 SMD"
"R39","0R","TopLayer","R0402","17.3000","2.5250","0","RES 0.0 OHM 1/16W 0402 SMD"
"R38","0R","TopLayer","R0402","17.2948","1.5348","0","RES 0.0 OHM 1/16W 0402 SMD"
"R37","2k2","TopLayer","R0402","10.5300","2.4357","270","RES 2.20K OHM 1/16W 1% 0402 SMD"
"R36","2k2","TopLayer","R0402","9.6000","2.4250","270","RES 2.20K OHM 1/16W 1% 0402 SMD"
"R35","33R","TopLayer","R0201","2.8290","7.4687","0","RES 33 OHM 1% 1/20W 0201"
"R34","2k2","TopLayer","R0402","2.6134","9.2503","180","RES 2.20K OHM 1/16W 1% 0402 SMD"
"R33","2k2","TopLayer","R0402","2.6351","8.2985","180","RES 2.20K OHM 1/16W 1% 0402 SMD"
"R32","10k","TopLayer","R0201","20.5000","24.1258","90","RES 10K OHM 1/20W 1% 0201 SMD"
"R31","0R","TopLayer","R0201","21.0897","24.1347","90","RES 0 OHM JUMPER 1/20W 0201"
"R30","10k","TopLayer","R0402","8.6800","27.8839","0","RES 10.0K OHM 1/16W 1% 0402 SMD"
"R29","10k","TopLayer","R0402","18.8449","29.1692","0","RES 10.0K OHM 1/16W 1% 0402 SMD"
"R28","0R","TopLayer","R0402","8.6800","28.7706","0","RES 0.0 OHM 1/16W 0402 SMD"
"R27","0R","TopLayer","R0402","18.8391","28.1500","180","RES 0.0 OHM 1/16W 0402 SMD"
"R26","0R","TopLayer","R0402","9.0790","21.0182","180","RES 0.0 OHM 1/16W 0402 SMD"
"R25","0R","TopLayer","R0201","12.8250","20.9000","270","RES 0 OHM JUMPER 1/20W 0201"
"R24","0R","TopLayer","R0201","15.0000","28.6193","270","RES 0 OHM JUMPER 1/20W 0201"
"R23","0R","TopLayer","R0201","16.0850","28.6193","270","RES 0 OHM JUMPER 1/20W 0201"
"R22","0R","TopLayer","R0201","15.5700","28.6193","270","RES 0 OHM JUMPER 1/20W 0201"
"R21","10k","TopLayer","R0402","14.3000","28.7706","90","RES 10.0K OHM 1/16W 1% 0402 SMD"
"R20","10k","TopLayer","R0402","13.3110","28.7706","90","RES 10.0K OHM 1/16W 1% 0402 SMD"
"R19","10k","TopLayer","R0402","16.9370","22.0217","0","RES 10.0K OHM 1/16W 1% 0402 SMD"
"R18","10k","TopLayer","R0402","8.0968","26.7050","180","RES 10.0K OHM 1/16W 1% 0402 SMD"
"R17","10k","TopLayer","R0201","29.6500","10.9121","180","RES 10K OHM 1/20W 1% 0201 SMD"
"R16","22R","TopLayer","R0402","30.1119","2.6627","0","RES 22.0 OHM 1/16W 1% 0402 SMD"
"R13","22R","TopLayer","R0402","30.4000","14.9883","90","RES 22.0 OHM 1/16W 1% 0402 SMD"
"R12","1k","TopLayer","R0201","29.9000","6.5161","0","RES 1K OHM 1/20W 1% 0201 SMD"
"R11","10k","TopLayer","R0201","29.9000","5.3425","0","RES 10K OHM 1/20W 1% 0201 SMD"
"R10","10k","TopLayer","R0201","29.9000","7.0744","0","RES 10K OHM 1/20W 1% 0201 SMD"
"R9","1k","TopLayer","R0201","29.9000","5.9359","180","RES 1K OHM 1/20W 1% 0201 SMD"
"R8","240R","TopLayer","R0402","29.8689","12.9700","0","RES TF 240 OHM 1% 0.0625W 0402"
"R7","1k","TopLayer","R0201","30.7150","19.5676","0","RES 1K OHM 1/20W 1% 0201 SMD"
"R6","1k","TopLayer","R0201","29.4884","19.5676","0","RES 1K OHM 1/20W 1% 0201 SMD"
"R5","240R","TopLayer","R0201","18.4000","10.1707","180","RES 240 OHM 1/20W 1% 0201"
"R4","39.2R","TopLayer","R0402","30.1000","8.2304","0","RES 39.2 OHM 1% 1/16W 0402"
"R3","39.2R","TopLayer","R0402","30.1000","9.1666","0","RES 39.2 OHM 1% 1/16W 0402"
"R2","1k","TopLayer","R0201","29.9150","4.2880","180","RES 1K OHM 1/20W 1% 0201 SMD"
